"","input","filtered","denoisedF","denoisedR","merged","nonchim","Percent_Merged","Percent_NoChimeras"
"DMO-GOWN-bact-2023-G1-20230321",8805,3608,3600,3602,3369,3282,0.933758314855876,0.909645232815965
"DMO-GOWN-bact-2023-G10-20230321",19145,8187,8164,8075,7499,7345,0.915964333699768,0.897154024673262
"DMO-GOWN-bact-2023-G11-20230321",22723,9493,9472,9477,8942,8462,0.94195723164437,0.8913936584852
"DMO-GOWN-bact-2023-G12-20230321",5642,2376,2370,2373,2228,2130,0.937710437710438,0.896464646464647
"DMO-GOWN-bact-2023-G13-20230321",13643,5704,5669,5666,5265,5101,0.923036465638149,0.894284712482468
"DMO-GOWN-bact-2023-G14-20230321",41585,16485,16384,16367,14724,14104,0.893175614194722,0.855565665756749
"DMO-GOWN-bact-2023-G15-20230321",42947,19852,19790,19750,18288,17784,0.92121700584324,0.895829135603466
"DMO-GOWN-bact-2023-G16-20230321",66801,27680,27553,27590,26114,25153,0.943424855491329,0.908706647398844
"DMO-GOWN-bact-2023-G17-20230321",44160,16762,16631,16652,15219,14968,0.907946545758263,0.892972199021596
"DMO-GOWN-bact-2023-G18-20230321",45984,19262,19191,19188,18334,17855,0.951822240681134,0.926954625687883
"DMO-GOWN-bact-2023-G19-20230321",21280,8549,8519,8502,8184,7985,0.957304947947128,0.934027371622412
"DMO-GOWN-bact-2023-G2-20230321",19893,7003,6982,6981,6374,6191,0.910181350849636,0.884049692988719
"DMO-GOWN-bact-2023-G20-20230321",48752,19976,19840,19805,17968,17543,0.8994793752503,0.878203844613536
"DMO-GOWN-bact-2023-G21-20230321",64206,30305,30256,30202,29106,27812,0.96043557168784,0.917736347137436
"DMO-GOWN-bact-2023-G22-20230321",67723,29244,29114,29169,27482,26643,0.939748324442621,0.911058678703324
"DMO-GOWN-bact-2023-G23-20230321",56447,26527,26473,26489,25494,23806,0.961058544124854,0.897425264824518
"DMO-GOWN-bact-2023-G24-20230321",5913,2714,2713,2711,2542,2401,0.93662490788504,0.884672070744289
"DMO-GOWN-bact-2023-G3-20230321",18820,8233,8216,8214,7919,7695,0.961860804081137,0.934653224826916
"DMO-GOWN-bact-2023-G4-20230321",22489,11090,11075,11084,10509,9878,0.94761045987376,0.890712353471596
"DMO-GOWN-bact-2023-G5-20230321",19258,7591,7571,7570,7156,6903,0.942695297062311,0.909366354893953
"DMO-GOWN-bact-2023-G6-20230321",21386,9762,9725,9707,9137,8833,0.935976234378201,0.904835074779758
"DMO-GOWN-bact-2023-G7-20230321",14422,6512,6491,6478,6172,6002,0.947788697788698,0.921683046683047
"DMO-GOWN-bact-2023-G8-20230321",19993,9199,9170,9169,8779,8537,0.954342863354713,0.928035656049571
"DMO-GOWN-bact-2023-G9-20230321",33524,12098,11972,11976,10132,9867,0.837493800628203,0.815589353612167
