Filename,GenomeCode,Domain,Well,Year,Project
GLC_25GOWN_BACT-56-GW1119_20251021,P56,BACT,GW1119,2024,GOWN
GLC_25GOWN_BACT-57-GW3099_20251021,P57,BACT,GW3099,2024,GOWN
GLC_25GOWN_BACT-58-GW234_20251021,P58,BACT,GW234,2024,GOWN
GLC_25GOWN_BACT-59-GW3073_20251021,P59,BACT,GW3073,2024,GOWN
GLC_25GOWN_BACT-60-GW235_20251021,P60,BACT,GW235,2024,GOWN
GLC_25GOWN_BACT-61-GW333_20251021,P61,BACT,GW333,2024,GOWN
GLC_25GOWN_BACT-62-GW1145_20251021,P62,BACT,GW1145,2024,GOWN
GLC_25GOWN_BACT-63-GW311_20251021,P63,BACT,GW311,2024,GOWN
GLC_25GOWN_BACT-64-GW148_20251021,P64,BACT,GW148,2024,GOWN
GLC_25GOWN_ARCH-56-GW1119_20251021,P56,ARCH,GW1119,2024,GOWN
GLC_25GOWN_ARCH-57-GW3099_20251021,P57,ARCH,GW3099,2024,GOWN
GLC_25GOWN_ARCH-58-GW234_20251021,P58,ARCH,GW234,2024,GOWN
GLC_25GOWN_ARCH-59-GW3073_20251021,P59,ARCH,GW3073,2024,GOWN
GLC_25GOWN_ARCH-60-GW235_20251021,P60,ARCH,GW235,2024,GOWN
GLC_25GOWN_ARCH-61-GW333_20251021,P61,ARCH,GW333,2024,GOWN
GLC_25GOWN_ARCH-62-GW1145_20251021,P62,ARCH,GW1145,2024,GOWN
GLC_25GOWN_ARCH-63-GW311_20251021,P63,ARCH,GW311,2024,GOWN
GLC_25GOWN_ARCH-64-GW148_20251021,P64,ARCH,GW148,2024,GOWN
MLA_24MESO_BACT-M20E-D128-GP1_20251031,M20E,BACT,D128-GP1,D128,MESO
MLA_24MESO_BACT-M21E-D128-GP2_20251031,M21E,BACT,D128-GP2,D128,MESO
MLA_24MESO_BACT-M22E-D128-GP3_20251031,M22E,BACT,D128-GP3,D128,MESO
MLA_24MESO_BACT-M23E-D128-YP1_20251031,M23E,BACT,D128-YP1,D128,MESO
MLA_24MESO_BACT-M24E-D128-YP2_20251031,M24E,BACT,D128-YP2,D128,MESO
MLA_24MESO_BACT-M25E-D128-YP3_20251031,M25E,BACT,D128-YP3,D128,MESO
MLA_24MESO_BACT-M26E-D128-OP1_20251031,M26E,BACT,D128-OP1,D128,MESO
MLA_24MESO_BACT-M27E-D128-OP2_20251031,M27E,BACT,D128-OP2,D128,MESO
MLA_24MESO_BACT-M28E-D128-OP3_20251031,M28E,BACT,D128-OP3,D128,MESO
MLA_24MESO_BACT-M29E-D128-BP1_20251031,M29E,BACT,D128-BP1,D128,MESO
MLA_24MESO_BACT-M30E-D128-BP2_20251031,M30E,BACT,D128-BP2,D128,MESO
MLA_24MESO_BACT-M31E-D128-BP3_20251031,M31E,BACT,D128-BP3,D128,MESO
MLA_24MESO_BACT-M32E-D128-NC_20251031,M32E,BACT,D128-NC,D128,MESO
MLA_24MESO_BACT-M34E-D128-NC_20251031,M34E,BACT,D128-NC,D128,MESO
MLA_25MESO_BACT-M1E-D0-SA1_20251031,M1E,BACT,D0-SA1,D0,MESO
MLA_25MESO_BACT-M2E-D0-SA2_20251031,M2E,BACT,D0-SA2,D0,MESO
MLA_25MESO_BACT-M3E-D0-SA3_20251031,M3E,BACT,D0-SA3,D0,MESO
MLA_25MESO_BACT-M4E-D0-SH1_20251031,M4E,BACT,D0-SH1,D0,MESO
MLA_25MESO_BACT-M5E-D0-SH2_20251031,M5E,BACT,D0-SH2,D0,MESO
MLA_25MESO_BACT-M6E-D0-SH3_20251031,M6E,BACT,D0-SH3,D0,MESO
MLA_25MESO_BACT-M7E-D0-SS1_20251031,M7E,BACT,D0-SS1,D0,MESO
MLA_25MESO_BACT-M8E-D0-SS2_20251031,M8E,BACT,D0-SS2,D0,MESO
MLA_25MESO_BACT-M9E-D0-SS3_20251031,M9E,BACT,D0-SS3,D0,MESO
MLA_25MESO_BACT-M10E-D0-CO1_20251031,M10E,BACT,D0-CO1,D0,MESO
MLA_25MESO_BACT-M11E-D0-CO2_20251031,M11E,BACT,D0-CO2,D0,MESO
MLA_25MESO_BACT-M12E-D0-CO3_20251031,M12E,BACT,D0-CO3,D0,MESO
MLA_25MESO_BACT-M13E-D0-CL1_20251031,M13E,BACT,D0-CL1,D0,MESO
MLA_25MESO_BACT-M14E-D0-CL2_20251031,M14E,BACT,D0-CL2,D0,MESO
MLA_25MESO_BACT-M15E-D0-CL3_20251031,M15E,BACT,D0-CL3,D0,MESO
MLA_25MESO_BACT-M16E-D0-GW1_20251031,M16E,BACT,D0-GW1,D0,MESO
MLA_25MESO_BACT-M17E-D0-GW2_20251031,M17E,BACT,D0-GW2,D0,MESO
MLA_25MESO_BACT-M18E-D0-GW3_20251031,M18E,BACT,D0-GW3,D0,MESO
MLA_25MESO_BACT-M19E-D0-NC_20251031,M19E,BACT,D0-NC,D0,MESO
MLA_25MESO_BACT-M16-D36-SA1_20251031,M16,BACT,D36-SA1,D36,MESO
MLA_25MESO_BACT-M17-D36-SA2_20251031,M17,BACT,D36-SA2,D36,MESO
MLA_25MESO_BACT-M18-D36-SA3_20251031,M18,BACT,D36-SA3,D36,MESO
MLA_25MESO_BACT-M19-D36-SH1_20251031,M19,BACT,D36-SH1,D36,MESO
MLA_25MESO_BACT-M20-D36-SH2_20251031,M20,BACT,D36-SH2,D36,MESO
MLA_25MESO_BACT-M21-D36-SH3_20251031,M21,BACT,D36-SH3,D36,MESO
MLA_25MESO_BACT-M22-D36-SS1_20251031,M22,BACT,D36-SS1,D36,MESO
MLA_25MESO_BACT-M23-D36-SS2_20251031,M23,BACT,D36-SS2,D36,MESO
MLA_25MESO_BACT-M24-D36-SS3_20251031,M24,BACT,D36-SS3,D36,MESO
MLA_25MESO_BACT-M25-D36-CO1_20251031,M25,BACT,D36-CO1,D36,MESO
MLA_25MESO_BACT-M26-D36-CO2_20251031,M26,BACT,D36-CO2,D36,MESO
MLA_25MESO_BACT-M27-D36-CO3_20251031,M27,BACT,D36-CO3,D36,MESO
MLA_25MESO_BACT-M28-D36-CL1_20251031,M28,BACT,D36-CL1,D36,MESO
MLA_25MESO_BACT-M29-D36-CL2_20251031,M29,BACT,D36-CL2,D36,MESO
MLA_25MESO_BACT-M30-D36-CL3_20251031,M30,BACT,D36-CL3,D36,MESO
MLA_25MESO_BACT-M47-D36-NC_20251031,M47,BACT,D36-NC,D36,MESO
MLA_25MESO_BACT-M31-D56-SA1_20251031,M31,BACT,D56-SA1,D56,MESO
MLA_25MESO_BACT-M32-D56-SA2_20251031,M32,BACT,D56-SA2,D56,MESO
MLA_25MESO_BACT-M33-D56-SA3_20251031,M33,BACT,D56-SA3,D56,MESO
MLA_25MESO_BACT-M34-D56-SH1_20251031,M34,BACT,D56-SH1,D56,MESO
MLA_25MESO_BACT-M35-D56-SH2_20251031,M35,BACT,D56-SH2,D56,MESO
MLA_25MESO_BACT-M36-D56-SH3_20251031,M36,BACT,D56-SH3,D56,MESO
MLA_25MESO_BACT-M37-D56-SS1_20251031,M37,BACT,D56-SS1,D56,MESO
MLA_25MESO_BACT-M38-D56-SS2_20251031,M38,BACT,D56-SS2,D56,MESO
MLA_25MESO_BACT-M39-D56-SS3_20251031,M39,BACT,D56-SS3,D56,MESO
MLA_25MESO_BACT-M40-D56-CO1_20251031,M40,BACT,D56-CO1,D56,MESO
MLA_25MESO_BACT-M41-D56-CO2_20251031,M41,BACT,D56-CO2,D56,MESO
MLA_25MESO_BACT-M42-D56-CO3_20251031,M42,BACT,D56-CO3,D56,MESO
MLA_25MESO_BACT-M43-D56-CL1_20251031,M43,BACT,D56-CL1,D56,MESO
MLA_25MESO_BACT-M44-D56-CL2_20251031,M44,BACT,D56-CL2,D56,MESO
MLA_25MESO_BACT-M45-D56-CL3_20251031,M45,BACT,D56-CL3,D56,MESO
MLA_25MESO_BACT-M66-D56-NC_20251031,M66,BACT,D56-NC,D56,MESO
MLA_25MESO_PROK-M67-D88-SA1-SED_20251031,M67,PROK,D88-SA1-SED,D88,MESO
MLA_25MESO_PROK-M68-D88-SA2-SED_20251031,M68,PROK,D88-SA2-SED,D88,MESO
MLA_25MESO_PROK-M69-D88-SA3-SED_20251031,M69,PROK,D88-SA3-SED,D88,MESO
MLA_25MESO_PROK-M70-D88-SH1-SED_20251031,M70,PROK,D88-SH1-SED,D88,MESO
MLA_25MESO_PROK-M71-D88-SH2-SED_20251031,M71,PROK,D88-SH2-SED,D88,MESO
MLA_25MESO_PROK-M72-D88-SH3-SED_20251031,M72,PROK,D88-SH3-SED,D88,MESO
MLA_25MESO_PROK-M73-D88-SS1-SED_20251031,M73,PROK,D88-SS1-SED,D88,MESO
MLA_25MESO_PROK-M74-D88-SS2-SED_20251031,M74,PROK,D88-SS2-SED,D88,MESO
MLA_25MESO_PROK-M75-D88-SS3-SED_20251031,M75,PROK,D88-SS3-SED,D88,MESO
MLA_25MESO_PROK-M76-D88-CO1-SED_20251031,M76,PROK,D88-CO1-SED,D88,MESO
MLA_25MESO_PROK-M77-D88-CO2-SED_20251031,M77,PROK,D88-CO2-SED,D88,MESO
MLA_25MESO_PROK-M78-D88-CO3-SED_20251031,M78,PROK,D88-CO3-SED,D88,MESO
MLA_25MESO_PROK-M79-D88-NC-SED_20251031,M79,PROK,D88-NC-SED,D88,MESO
GLC_25GOWN_BACT-1-GW222_20251021,P01,BACT,GW222,2024,GOWN
GLC_25GOWN_BACT-2-GW250_20251021,P02,BACT,GW250,2024,GOWN
GLC_25GOWN_BACT-3-GW112_20251021,P03,BACT,GW112,2024,GOWN
GLC_25GOWN_BACT-4-GW192_20251021,P04,BACT,GW192,2024,GOWN
GLC_25GOWN_BACT-5-GW972_20251021,P05,BACT,GW972,2024,GOWN
GLC_25GOWN_BACT-6-GW3026_20251021,P06,BACT,GW3026,2024,GOWN
GLC_25GOWN_BACT-7-GW3016_20251021,P07,BACT,GW3016,2024,GOWN
GLC_25GOWN_BACT-8-GW193_20251021,P08,BACT,GW193,2024,GOWN
GLC_25GOWN_BACT-10-GW150_20251021,P10,BACT,GW150,2024,GOWN
