Filename,GenomeCode,Well,Location,SamplingCode,Year,Project
GLC_23GOWN_SHMG-GW389-L01-20251210,L01,389,ZAMA North South,23GWG00017,2023,GOWN
GLC_23GOWN_SHMG-GW265-L05-20251210,L05,265,Metiskow,23GWE00068,2023,GOWN
GLC_23GOWN_SHMG-GW178-L06-20251210,L06,178,Bruderheim,23GWE00158,2023,GOWN
GLC_23GOWN_SHMG-GW381-L07-20251210,L07,381,Meander River 87-2,23GWG00015,2023,GOWN
GLC_23GOWN_SHMG-GW176-L17-20251210,L17,176,Bruderheim,23GWE00132,2023,GOWN
GLC_24GOWN_SHMG-GW229-L24-20251210,L24,229,Kirkpatrick Lake,24GWC00021,2024,GOWN
,L27,760,Canmore Tourise Info,24GWC00012,2024,
,L28,175,Bruderheim N,24GWE00056,2024,
GLC_24GOWN_SHMG-GW230-L32-20251210,L32,230,Kirkpatrick Lake,24GWC00024,2024,GOWN
,L34,985,Cochrane West Shallow,24GWC00034,2024,
GLC_24GOWN_SHMG-GW986-L37-20251210,L37,986,Cochrane East Deep,24GWC00048,2024,GOWN
GLC_24GOWN_SHMG-GW218-L42-20251210,L42,218,Cluny 85-1,24GWC00048,2024,GOWN
GLC_24GOWN_SHMG-GW114-L48-20251210,L48,114,Ross Creek,24GWC00032,2024,GOWN
GLC_24GOWN_SHMG-GW265-L52-20251210,L52,265,Metiskow 88-1,24GWE00108,2024,GOWN
GLC_24GOWN_SHMG-GW890-L56-20251210,L56,890,Ross Creek,24GWC00054,2024,GOWN
GLC_24GOWN_SHMG-GW276-L58-20251210,L58,276,Cavendish,24GWC00059,2024,GOWN
GLC_24GOWN_SHMG-GW267-L62-20251210,L62,267,Metiskow 88-1,24GWE00112,2024,GOWN
,LNC,NC,Negative Control,24GWNC,2024,
GLC_24GOWN_SHMG-GW222-P01-20251210,P01,222,Bigstone 2415E,24GWC00063,2024,GOWN
GLC_24GOWN_SHMG-GW250-P02-20251210,P02,250,(Station # O6ACG050),24GWO10008,2024,GOWN
GLC_24GOWN_SHMG-GW192-P04-20251210,P04,192,(Station # O6ACG047),24GWO10005,2024,GOWN
GLC_24GOWN_SHMG-GW972-P05-20251210,P05,972,Rosebud #2,24GWC00066,2024,GOWN
GLC_24GOWN_SHMG-GW3026-P06-20251210,P06,3026,Rockyford,24GWC00080,2024,GOWN
GLC_24GOWN_SHMG-GW3016-P07-20251210,P07,3016,Priddis ,24GWC00082,2024,GOWN
GLC_24GOWN_SHMG-GW193-P08-20251210,P08,193,(Station # O6ACG048),24GWO10006,2024,GOWN
GLC_24GOWN_SHMG-GW150-P09-20251210,P09,150,WETASKIWIN #26,24GWE00079,2024,GOWN
GLC_24GOWN_SHMG-GW3103-P11-20251210,P11,3103,HAMILTON SOUTH,24GWE00178,2024,GOWN
GLC_24GOWN_SHMG-GW339-P12-20251210,P12,339,GRIMSHAW KERNDALE_0339,24GWG00012,2024,GOWN
GLC_24GOWN_SHMG-GW117-P14-20251210,P14,117,Barons 615E,24GWC00093,2024,GOWN
GLC_24GOWN_SHMG-GW160-P15-20251210,P15,160,DEVON BOTANIC,24GWE00083,2024,GOWN
GLC_24GOWN_SHMG-GW984-P16-20251210,P16,984,Sundre North Deep,24GWC00083,2024,GOWN
GLC_24GOWN_SHMG-GW3022-P17-20251210,P17,3022,Leedale Shallow,24GWC00085,2024,GOWN
GLC_24GOWN_SHMG-GW982-P18-20251210,P18,982,Leedale Deep,24GWC00087,2024,GOWN
GLC_24GOWN_SHMG-GW989-P19-20251210,P19,989,BUCK LAKE,24GWE00162,2024,GOWN
GLC_24GOWN_SHMG-GW162-P20-20251210,P20,162,DEVON BOTANIC,24GWE00086,2024,GOWN
GLC_24GOWN_SHMG-GW983-P21-20251210,P21,983,Sundre Shallow,24GWC00091,2024,GOWN
GLC_24GOWN_SHMG-GW200-P22-20251210,P22,200,Wolf Grazing (Station # O6ACG061),24GWO10009,2024,GOWN
GLC_24GOWN_SHMG-GW949-P23-20251210,P23,949,Fort Kent (Station # O6ACG035),24GWO10025,2024,GOWN
GLC_24GOWN_SHMG-GW247-P24-20251210,P24,247,(Station # O6AAG005) ,24GW010032,2024,GOWN
GLC_24GOWN_SHMG-GW1143-P28-20251210,P28,1143,Waddell Creek (Station # O7CEG006),24GWO10018,2024,GOWN
GLC_24GOWN_SHMG-GW243-P29-20251210,P29,243,Hythe (Station # O6ADG002),24GWO10029,2024,GOWN
GLC_24GOWN_SHMG-GW945-P30-20251210,P30,945,Moose Lake (Station # O6ACG053),24GWO10010,2024,GOWN
GLC_24GOWN_SHMG-GW244-P31-20251210,P31,244,(Station # N/A),24GWO10030,2024,GOWN
GLC_24GOWN_SHMG-GW1144-P32-20251210,P32,1144,Waddell Creek (Station # O7CEG007),24GWO10019,2024,GOWN
GLC_24GOWN_SHMG-GW246-P33-20251210,P33,246,Truman (Station # O6AAG004),24GWO10031,2024,GOWN
GLC_24GOWN_SHMG-GW950-P34-20251210,P34,950,Fort Kent (Station # O6ACG034),24GWO10026,2024,GOWN
GLC_24GOWN_SHMG-GW991-P35-20251210,P35,991,CYNTHIA DEEP,24GWE00166,2024,GOWN
GLC_24GOWN_SHMG-GW1151-P36-20251210,P36,1151,Wiau Lake (Station # O7CAG012),24GWO10015,2024,GOWN
GLC_24GOWN_SHMG-GW3010-P38-20251210,P38,3010,Carmangay West,24GWC00100,2024,GOWN
GLC_24GOWN_SHMG-GW1150-P39-20251210,P39,1150,Wiau Lake (Station # O7CAG011),24GWO10014,2024,GOWN
GLC_24GOWN_SHMG-GW248-P41-20251210,P41,248,(Station # O6AAG006),24GWO10033,2024,GOWN
GLC_24GOWN_SHMG-GW50-P42-20251210,P42,50,Fort McMurray (Station # O7DAG024),24GWO10012,2024,GOWN
GLC_24GOWN_SHMG-GW44-P43-20251210,P43,44,Fort McMurray (Station # O7DAG040),24GWO10036,2024,GOWN
GLC_24GOWN_SHMG-GW387-P44-20251210,P44,387,ZAMA NORTH 87-5 NORTH,24GWG00015,2024,GOWN
GLC_24GOWN_SHMG-GW3098-P45-20251210,P45,3098,",Primrose Range Road (Station # O6ACG059)",24GWO10024,2024,GOWN
GLC_24GOWN_SHMG-GW369-P47-20251210,P47,369,(Station # O7GJG005),24GWO10039,2024,GOWN
GLC_24GOWN_SHMG-GW275-P48-20251210,P48,275,Sounding Creek 2562E,24GWC00105 ,2024,GOWN
GLC_24GOWN_SHMG-GW239-P49-20251210,P49,239,(Station # O5EEG002) ,24GWO10041,2024,GOWN
GLC_24GOWN_SHMG-GW381-P50-20251210,P50,381,MEANDER RIVER 87-2,24GWG00014,2024,GOWN
GLC_24GOWN_SHMG-GW277-P51-20251210,P51,277,Cavendish 2529E ,24GWC00109,2024,GOWN
GLC_24GOWN_SHMG-GW379-P52-20251210,P52,379,(Station # O7FCG005),24GWO10038,2024,GOWN
GLC_24GOWN_SHMG-GW389-P53-20251210,P53,389,Zama ,24GWG00016,2024,GOWN
GLC_24GOWN_SHMG-GW273-P54-20251210,P54,273,Sounding Creek 2533E,24GWC00102,2024,GOWN
GLC_24GOWN_SHMG-GW238-P55-20251210,P55,238,(Station # O5EEG001),24GWO10040,2024,GOWN
GLC_24GOWN_SHMG-GW1119-P56-20251210,P56,1119,(Station # O7DBG017),24GWO10035,2024,GOWN
GLC_24GOWN_SHMG-GW333-P61-20251210,P61,333,BARRHEAD,24GWE00148,2024,GOWN
GLC_24GOWN_SHMG-GW1145-P62-20251210,P62,1145,(Station # 07CEG008),24GWO10020,2024,GOWN
GLC_24GOWN_SHMG-GW311-P63-20251210,P63,311,WARBURG 2179E,24GWE00125,2024,GOWN
GLC_24GOWN_SHMG-GW148-P64-20251210,P64,148,Flagstaff,24GWE00075,2024,GOWN
GLC_24GOWN_SHMG-GW312-P40-20251210,P40,312,WARBURG 2180E,24GWE00128,2024,GOWN
GLC_24GOWN_SHMG-GW980-P13-20251210,P13,980,Rocky Mountain House,24GWC00089,2024,GOWN
GLC_24GOWN_SHMG-GW242-P25-20251210,P25,242,(Station # O6ADG001),24GWO10028,2024,GOWN
