2019,2022,2023,2024,2025
GW986,GW265,GW176,GW1119,GW101
GW972,GW117,GW178,GW114,GW107
GW3026,GW3026,GW265,GW1143,GW109
GW983,GW983,GW381,GW1144,GW112
GW980,GW246,GW389,GW1145,GW113
GW218,GW113,,GW1150,GW114
GW114,,,GW1151,GW117
GW137,,,GW117,GW143
GW144,,,GW148,GW144
GW150,,,GW150,GW146
GW265,,,GW160,GW148
GW139,,,GW162,GW162
GW142,,,GW192,GW175
GW123,,,GW193,GW176
GW760,,,GW200,GW178
GW117,,,GW218,GW212
GW449,,,GW222,GW214
GW991,,,GW229,GW217
GW200,,,GW230,GW222
GW33,,,GW238,GW234
GW1124,,,GW239,GW235
GW1153,,,GW242,GW237
GW1117,,,GW243,GW265
GW62,,,GW244,GW265
GW186,,,GW246,GW267
,,,GW247,GW275
,,,GW248,GW277
,,,GW250,GW278
,,,GW265,GW281
,,,GW267,GW289
,,,GW273,GW294
,,,GW275,GW295
,,,GW276,GW301
,,,GW277,GW3010
,,,GW3010,GW3021
,,,GW3016,GW3050
,,,GW3022,GW310
,,,GW3026,GW3103
,,,GW3098,GW3104
,,,GW3103,GW312
,,,GW311,GW313
,,,GW312,GW314
,,,GW313,GW328
,,,GW333,GW332
,,,GW339,GW332
,,,GW369,GW333
,,,GW379,GW339
,,,GW381,GW340
,,,GW387,GW374
,,,GW389,GW376
,,,GW44,GW381
,,,GW50,GW386
,,,GW890,GW387
,,,GW945,GW4016
,,,GW949,GW429
,,,GW950,GW626
,,,GW972,GW759
,,,GW980,GW764
,,,GW982,GW931
,,,GW983,
,,,GW984,
,,,GW986,
,,,GW989,
,,,GW991,
