2016,2017,2019,2020,2021,2022,2023,2024,2025
GW126,GW787,GW986,GW991,GW986,GW760,GW389,GWRAVEN,GW101
GW259,GW113,GW984,GW989,GW218,GW972,GW3004,GWBERRY,GW109
GW110,GW214,GW972,GW986,GW972,GW986,GW160,GW292,GW112
GW212,GW3004,GW3026,GW984,GW265,GW971,GW329,GW165,GW114
GW214,GW150,GW983,GW982,GW760,GW110,GW265,GW931,GW126
GW3010,GW456,GW3022,GW980,GW3026,GW219,GW178,GW763,GW143
GW969,GW228,GW982,GW972,GW983,GW218,GW381,GW761,GW146
GW111,GW229,GW980,GW951,GW117,GW258,GW991,GWMYRNAM,GW148
GW398,GW230,GW218,GW760,GW211,GW3028,GW387,GW229,GW162
GW985,GW945,GW114,GW439,GW114,GW273,GW989,GW3028,GW175
GW986,GW312,GW398,GW398,GW3004,GW275,GW3069,GWTOFIELD,GW176
GW3026,GW991,GW137,GW381,GW3104,GW113,GW992,GW760,GW178
GW128,GW947,GW144,GW3104,GW341,GW211,GW339,GW175,GW217
GW951,GW3104,GW3018,GW3089,GW373,GW985,GW235,GW3004,GW218
GW239,GW242,GW150,GW3026,GW374,GW213,GW176,GW429,GW222
GW155,GW123,GW140,GW3021,GW3089,GW212,,GW121,GW237
GW3104,GW239,GW265,GW3018,GW381,GW214,,GW230,GW265
GW150,GW984,GW139,GW3010,GW387,GW126,,GW164,GW267
GW333,GW983,GW142,GW3004,GW0988,GW114,,GW985,GW274
GW160,GW144,GW123,GW265,GW1143,GW220,,GW378,GW275
GW280,GW217,GW760,GW239,GW1144,GW3026,,GW111,GW277
GW114,GW104,GW003,GW223,GW1150,GW983,,GW986,GW281
GW270,GW286,GW117,GW218,GW1151,GW786,,GW220,GW292
GW218,GW152,GW449,GW147,GW1152 ,GW117,,GW279,GW294
GW219,GW3021,GW991,GW142,GW1153,GW295,,GW26,GW295
GW121,GW277,GW953,GW140,GW26,GW312,,GW329,GW3021
GW222,GW215,GW992,GW139,GW1139,GW139,,GW218,GW3050
GW298,GW139,GW187,GW128,GW1140,GW313,,GW3018,GW3089
GW760,GW117,GW200,GW121,GW246,GW329,,GW3104,GW3103
GW338,GW142,GW59,GW117,GW338,GW377,,GW110,GW328
GW373,GW147,GW1133,GW113,GW369,GW449,,GW222,GW332
GW341,GW332,GW33,GW111,GW379,GW953,,GW150,GW339
GW137,GW3026,GW1124,,GW188,GW988,,GW3103,GW340
GW439,GW128,GW1125,,GW191,GW989,,GW339,GW364
GW220,GW760,GW1126,,GW249,GW991,,GW980,GW373
GW381,GW373,GW1127,,GW250,GW992,,GW117,GW374
GW387,GW125,GW1153,,GW192,GW3004,,GW160,GW376
GW117,GW340,GW1155,,GW44,GW140,,GW984,GW4016
GW990,GW379,GW1156,,GW193,GW3018,,GW3022,GW429
GW211,GW4016,GWFotchip,,,GW3104,,GW982,GW449
GW989,GW223,GWJackfish,,,GW294,,GW989,GW456
GW263,GW985,GW1117,,,GW142,,GW250,GW481
GW972,GW378,GW61,,,GW340,,GW162,GW626
GW267,GW212,GW62,,,GW341,,GW983,GW628
GW265,GW211,GW190,,,GW147,,GW200,GW760
GW140,GW313,GW186,,,GW373,,GW949,GW931
,GW311,GW946,,,GW374,,GW247,
,GW3053,,,,GW381,,GW242,
,GW114,,,,GW387,,GW992,
,GW3050,,,,GW389,,GW1153,
,GW218,,,,GW3089,,GW1143,
,GW986,,,,GW150,,GW243,
,GW137,,,,GW160,,GW112,
,GW135,,,,GW176,,GW945,
,GW259,,,,GW234,,GW244,
,GW398,,,,GW265,,GW1144,
,GW980,,,,GW266,,GW246,
,GW982,,,,GW1140,,GW950,
,GW3002,,,,GW379,,GW991,
,GW140,,,,GW26,,GW1151,
,GW265,,,,GW188,,GW313,
,GW266,,,,GW249,,GW3010,
,GW267,,,,GW250,,GW1150,
,GW274,,,,GW369,,GW192,
,GW273,,,,GW1144,,GW312,
,GW275,,,,GW1150,,GW248,
,GW381,,,,GW1151,,GW50,
,GW191,,,,GW1152,,GW44,
,GW101,,,,GW1153,,GW387,
,GW111,,,,GW1139,,GW3098,
,GW126,,,,GW246,,GW281,
,GW291,,,,GW338,,GW369,
,GW384,,,,,,GW275,
,,,,,,,GW239,
,,,,,,,GW972,
,,,,,,,GW381,
,,,,,,,GW277,
,,,,,,,GW379,
,,,,,,,GW389,
,,,,,,,GW273,
,,,,,,,GW238,
,,,,,,,GW1119,
,,,,,,,GW3099,
,,,,,,,GW234,
,,,,,,,GW3073,
,,,,,,,GW3026,
,,,,,,,GW235,
,,,,,,,GW333,
,,,,,,,GW1145,
,,,,,,,GW311,
,,,,,,,GW148,
,,,,,,,GW3016,
,,,,,,,GW193,
