NewName,OldName,OldSeqNumber,SeqDate,Primer,Year,GenomeCode,User,GOWNWell,GOWN_Location,Sampling ID
DMO_19GOWN_ARCH-C1-GW986_20200316_S140,DMO-arch-GOWN-C1-20200316_S140_L001_R1_001.fastq.gz,S140,20200316,ARCH,19GOWN,C1,DMO,GW986,986 Cochrane East,19GWC19006
DMO_19GOWN_ARCH-C10-GW114_20200316_S149,DMO-arch-GOWN-C10-20200316_S149_L001_R1_001.fastq.gz,S149,20200316,ARCH,19GOWN,C10,DMO,GW114,114 Ross Creek,19GWC19028
DMO_19GOWN_ARCH-C11-GW398_20200316_S150,DMO-arch-GOWN-C11-20200316_S150_L001_R1_001.fastq.gz,S150,20200316,ARCH,19GOWN,C11,DMO,GW398,398 Pine Lake,19GWC19030
DMO_19GOWN_ARCH-C12-GW137_20200316_S151,DMO-arch-GOWN-C12-20200316_S151_L001_R1_001.fastq.gz,S151,20200316,ARCH,19GOWN,C12,DMO,GW137,137 Stettler,19GWC19036
DMO_19GOWN_ARCH-C13-GW144_20200316_S152,DMO-arch-GOWN-C13-20200316_S152_L001_R1_001.fastq.gz,S152,20200316,ARCH,19GOWN,C13,DMO,GW144,144 Ponoka,19GWC19038
DMO_19GOWN_ARCH-C14-GW3018_20200316_S153,DMO-arch-GOWN-C14-20200316_S153_L001_R1_001.fastq.gz,S153,20200316,ARCH,19GOWN,C14,DMO,GW3018,3018 Bear Hills Lake,19GWC19040
DMO_19GOWN_ARCH-C15-GW150_20200316_S154,DMO-arch-GOWN-C15-20200316_S154_L001_R1_001.fastq.gz,S154,20200316,ARCH,19GOWN,C15,DMO,GW150,150 Wetaskiwin,19GWC19041
DMO_19GOWN_ARCH-C16-GW140_20200316_S155,DMO-arch-GOWN-C16-20200316_S155_L001_R1_001.fastq.gz,S155,20200316,ARCH,19GOWN,C16,DMO,GW140,140 Wainwright,19GWC19043
DMO_19GOWN_ARCH-C17-GW265_20200316_S156,DMO-arch-GOWN-C17-20200316_S156_L001_R1_001.fastq.gz,S156,20200316,ARCH,19GOWN,C17,DMO,GW265,265 Metiskow,19GWC19045
DMO_19GOWN_ARCH-C18-GW139_20200316_S157,DMO-arch-GOWN-C18-20200316_S157_L001_R1_001.fastq.gz,S157,20200316,ARCH,19GOWN,C18,DMO,GW139,139 Hardisty Airport,19GWC19047
