NewName,OldName,OldSeqNumber,SeqDate,Primer,Year,GenomeCode,User,GOWN Code,GOWN Location,Sampling ID
ERU_17GOWN_BACT-BE140-GW101_20180807_S64,ERU-GW101-BE140-S64-20180807_S213_L001_R1_001.fastq.gz,S64,20180807,BACT,17GOWN,BE140,ERU,GW101,,
ERU_17GOWN_ARCH-BE140-GW101_20181025_S64,ERU-GW101-BE140-S64-Av6-20181025_S105_L001_R1_001.fastq.gz,S64,20181025,ARCH,17GOWN,BE140,ERU,GW101,,
ERU_17GOWN_BACT-BE087-GW104_20180807_S56,ERU-GW104-BE087-S56-20180807_S205_L001_R1_001.fastq.gz,S56,20180807,BACT,17GOWN,BE087,ERU,GW104,,
ERU_17GOWN_ARCH-BE087-GW104_20181025_S56,ERU-GW104-BE087-S56-Av6-20181025_S176_L001_R1_001.fastq.gz,S56,20181025,ARCH,17GOWN,BE087,ERU,GW104,,
ERU_16GOWN_BACT-BE003-GW110_20180807_S154,ERU-GW110-BE003-S154-20180807_S252_L001_R1_001.fastq.gz,S154,20180807,BACT,16GOWN,BE003,ERU,GW110,,
ERU_16GOWN_ARCH-BE003-GW110_20181025_S154,ERU-GW110-BE003-S154-Av6-20181025_S186_L001_R1_001.fastq.gz,S154,20181025,ARCH,16GOWN,BE003,ERU,GW110,,
ERU_16GOWN_BACT-BE003-GW110_20180807_S87,ERU-GW110-BE003-S87-20180807_S234_L001_R1_001.fastq.gz,S87,20180807,BACT,16GOWN,BE003,ERU,GW110,,
ERU_16GOWN_ARCH-BE003-GW110_20181025_S87,ERU-GW110-BE003-S87-Av6-20181025_S122_L001_R1_001.fastq.gz,S87,20181025,ARCH,16GOWN,BE003,ERU,GW110,,
ERU_16GOWN_BACT-BE008-GW111_20180807_S100,ERU-GW111-BE008-S100-20180807_S104_L001_R1_001.fastq.gz,S100,20180807,BACT,16GOWN,BE008,ERU,GW111,,
ERU_16GOWN_ARCH-BE008-GW111_20181025_S100,ERU-GW111-BE008-S100-Av6-20181025_S46_L001_R1_001.fastq.gz,S100,20181025,ARCH,16GOWN,BE008,ERU,GW111,,
ERU_17GOWN_BACT-BE141-GW111_20180807_S129,ERU-GW111-BE141-S129-20180807_S133_L001_R1_001.fastq.gz,S129,20180807,BACT,17GOWN,BE141,ERU,GW111,,
ERU_17GOWN_ARCH-BE141-GW111_20181025_S129,ERU-GW111-BE141-S129-Av6-20181025_S183_L001_R1_001.fastq.gz,S129,20181025,ARCH,17GOWN,BE141,ERU,GW111,,
ERU_17GOWN_BACT-BE063-GW113_20180807_S53,ERU-GW113-BE063-S53-20180807_S202_L001_R1_001.fastq.gz,S53,20180807,BACT,17GOWN,BE063,ERU,GW113,,
ERU_17GOWN_ARCH-BE063-GW113_20181025_S53,ERU-GW113-BE063-S53-Av6-20181025_S84_L001_R1_001.fastq.gz,S53,20181025,ARCH,17GOWN,BE063,ERU,GW113,,
ERU_16GOWN_BACT-BE029-GW114_20180807_S85,ERU-GW114-BE029-S85-20180807_S232_L001_R1_001.fastq.gz,S85,20180807,BACT,16GOWN,BE029,ERU,GW114,,
ERU_16GOWN_ARCH-BE029-GW114_20181025_S85,ERU-GW114-BE029-S85-Av6-20181025_S120_L001_R1_001.fastq.gz,S85,20181025,ARCH,16GOWN,BE029,ERU,GW114,,
ERU_17GOWN_BACT-BE118-GW114_20180807_S106,ERU-GW114-BE118-S106-20180807_S110_L001_R1_001.fastq.gz,S106,20180807,BACT,17GOWN,BE118,ERU,GW114,,
ERU_17GOWN_ARCH-BE118-GW114_20181025_S106,ERU-GW114-BE118-S106-Av6-20181025_S52_L001_R1_001.fastq.gz,S106,20181025,ARCH,17GOWN,BE118,ERU,GW114,,
ERU_16GOWN_BACT-BE052-GW117_20180807_S34,ERU-GW117-BE052-S34-20180807_S183_L001_R1_001.fastq.gz,S34,20180807,BACT,16GOWN,BE052,ERU,GW117,,
ERU_16GOWN_ARCH-BE052-GW117_20181025_S34,ERU-GW117-BE052-S34-Av6-20181025_S32_L001_R1_001.fastq.gz,S34,20181025,ARCH,16GOWN,BE052,ERU,GW117,,
ERU_17GOWN_BACT-BE096-GW117_20180807_S94,ERU-GW117-BE096-S94-20180807_S241_L001_R1_001.fastq.gz,S94,20180807,BACT,17GOWN,BE096,ERU,GW117,,
ERU_17GOWN_ARCH-BE096-GW117_20181025_S94,ERU-GW117-BE096-S94-Av6-20181025_S182_L001_R1_001.fastq.gz,S94,20181025,ARCH,17GOWN,BE096,ERU,GW117,,
ERU_16GOWN_BACT-BE033-GW121_20180807_S8,ERU-GW121-BE033-S8-20180807_S157_L001_R1_001.fastq.gz,S8,20180807,BACT,16GOWN,BE033,ERU,GW121,,
ERU_16GOWN_ARCH-BE033-GW121_20181025_S8,ERU-GW121-BE033-S8-Av6-20181025_S8_L001_R1_001.fastq.gz,S8,20181025,ARCH,16GOWN,BE033,ERU,GW121,,
ERU_16GOWN_BACT-BE034-GW121_20180807_S69,ERU-GW121-BE034-S69-20180807_S216_L001_R1_001.fastq.gz,S69,20180807,BACT,16GOWN,BE034,ERU,GW121,,
ERU_16GOWN_ARCH-BE034-GW121_20181025_S69,ERU-GW121-BE034-S69-Av6-20181025_S177_L001_R1_001.fastq.gz,S69,20181025,ARCH,16GOWN,BE034,ERU,GW121,,
ERU_17GOWN_BACT-BE081-GW123_20180807_S105,ERU-GW123-BE081-S105-20180807_S109_L001_R1_001.fastq.gz,S105,20180807,BACT,17GOWN,BE081,ERU,GW123,,
ERU_17GOWN_ARCH-BE081-GW123_20181025_S105,ERU-GW123-BE081-S105-Av6-20181025_S51_L001_R1_001.fastq.gz,S105,20181025,ARCH,17GOWN,BE081,ERU,GW123,,
ERU_17GOWN_BACT-BE091-GW123_20180807_S110,ERU-GW123-BE091-S110-20180807_S114_L001_R1_001.fastq.gz,S110,20180807,BACT,17GOWN,BE091,ERU,GW123,,
ERU_17GOWN_ARCH-BE091-GW123_20181025_S110,ERU-GW123-BE091-S110-Av6-20181025_S90_L001_R1_001.fastq.gz,S110,20181025,ARCH,17GOWN,BE091,ERU,GW123,,
ERU_17GOWN_BACT-BE092-GW123_20180807_S117,ERU-GW123-BE092-S117-20180807_S121_L001_R1_001.fastq.gz,S117,20180807,BACT,17GOWN,BE092,ERU,GW123,,
