NewName,OldName,OldSeqNumber,SeqDate,Primer,Year,GenomeCode,User,GOWNWell,GOWN Location,SampleID
ERU_16GOWN_BACT-BE001-GW126_20180709_S63,ERU_GW126_BE001_S63_20180709,S63,20180709,BACT,16GOWN,BE001,ERU,GW126,Olds,
ERU_16GOWN_ARCH-BE001-GW126_20181025_S63_Av6,ERU_GW126_BE001_S63_Av6_20181025,S63_Av6,20181025,ARCH,16GOWN,BE001,ERU,GW126,Olds,
ERU_16GOWN_BACT-BE002-GW259_20180709_S38,ERU_GW259_BE002_S38_20180709,S38,20180709,BACT,16GOWN,BE002,ERU,GW259,Three_Hills,
ERU_16GOWN_ARCH-BE002-GW259_20181025_S38_Av6,ERU_GW259_BE002_S38_Av6_20181025,S38_Av6,20181025,ARCH,16GOWN,BE002,ERU,GW259,Three_Hills,
ERU_16GOWN_BACT-BE003-GW110_20180709_S154,ERU_GW110_BE003_S154_20180709,S154,20180709,BACT,16GOWN,BE003,ERU,GW110,Mclly,
ERU_16GOWN_BACT-BE003-GW110_20180709_S87,ERU_GW110_BE003_S87_20180709,S87,20180709,BACT,16GOWN,BE003,ERU,GW110,Mclly,
ERU_16GOWN_ARCH-BE003-GW110_20181025_S154_Av6,ERU_GW110_BE003_S154_Av6_20181025,S154_Av6,20181025,ARCH,16GOWN,BE003,ERU,GW110,Mclly,
ERU_16GOWN_ARCH-BE003-GW110_20181025_S87_Av6,ERU_GW110_BE003_S87_Av6_20181025,S87_Av6,20181025,ARCH,16GOWN,BE003,ERU,GW110,Mclly,
ERU_16GOWN_BACT-BE004-GW212_20180709_S103,ERU_GW212_BE004_S103_20180709,S103,20180709,BACT,16GOWN,BE004,ERU,GW212,Milk_River,
ERU_16GOWN_ARCH-BE004-GW212_20181025_S103_Av6,ERU_GW212_BE004_S103_Av6_20181025,S103_Av6,20181025,ARCH,16GOWN,BE004,ERU,GW212,Milk_River,
ERU_16GOWN_BACT-BE005-GW214_20180709_S78,ERU_GW214_BE005_S78_20180709,S78,20180709,BACT,16GOWN,BE005,ERU,GW214,Warner_North,
ERU_16GOWN_BACT-BE005-GW214_20180709_S79,ERU_GW214_BE005_S79_20180709,S79,20180709,BACT,16GOWN,BE005,ERU,GW214,Warner_North,
ERU_16GOWN_ARCH-BE005-GW214_20181025_S78_Av6,ERU_GW214_BE005_S78_Av6_20181025,S78_Av6,20181025,ARCH,16GOWN,BE005,ERU,GW214,Warner_North,
ERU_16GOWN_ARCH-BE005-GW214_20181025_S79_Av6,ERU_GW214_BE005_S79_Av6_20181025,S79_Av6,20181025,ARCH,16GOWN,BE005,ERU,GW214,Warner_North,
ERU_16GOWN_ARCH-BE005-GW214_20181025_S78_Av4,ERU_GW214_BE005_S78_Av4_20181025,S78_Av4,20181025,ARCH,16GOWN,BE005,ERU,GW214,Warner_North,
ERU_16GOWN_BACT-BE006-GW3010_20180709_S5,ERU_GW3010_BE006_S5_20180709,S5,20180709,BACT,16GOWN,BE006,ERU,GW3010,Carmangay,
ERU_16GOWN_ARCH-BE006-GW3010_20181025_S5_Av6,ERU_GW3010_BE006_S5_Av6_20181025,S5_Av6,20181025,ARCH,16GOWN,BE006,ERU,GW3010,Carmangay,
ERU_16GOWN_ARCH-BE006-GW3010_20181025_S5_Av4,ERU_GW3010_BE006_S5_Av4_20181025,S5_Av4,20181025,ARCH,16GOWN,BE006,ERU,GW3010,Carmangay,
ERU_16GOWN_BACT-BE007-GW969_20180709_S119,ERU_GW969_BE007_S119_20180709,S119,20180709,BACT,16GOWN,BE007,ERU,GW969,Crossfield,
