NewName,OldName,OldSeqNumber,SeqDate,GenomeCode,Primer,Year,User,GOWNWell,GOWN Location,Sample ID
ERU_17GOWN_BACT-BE062-GW787_20180709_S15,ERU_GW787_BE062_S15_20180709,S15,20180709,BE062,BACT,17GOWN,ERU,GW787,Okotoks_N,
ERU_17GOWN_ARCH-BE062-GW787_20181025_S15_Av6,ERU_GW787_BE062_S15_Av6_20181025,S15_Av6,20181025,BE062,ARCH,17GOWN,ERU,GW787,Okotoks_N,
ERU_17GOWN_BACT-BE063-GW113_20180709_S53,ERU_GW113_BE063_S53_20180709,S53,20180709,BE063,BACT,17GOWN,ERU,GW113,KEHO_Lake,
ERU_17GOWN_ARCH-BE063-GW113_20181025_S53_Av6,ERU_GW113_BE063_S53_Av6_20181025,S53_Av6,20181025,BE063,ARCH,17GOWN,ERU,GW113,KEHO_Lake,
ERU_17GOWN_BACT-BE064-GW214_20180709_S,ERU_GW214_BE064_S_20180709,S,20180709,BE064,BACT,17GOWN,ERU,GW214,Warner,
ERU_17GOWN_ARCH-BE064-GW214_20181025_S_Av6,ERU_GW214_BE064_S_Av6_20181025,S_Av6,20181025,BE064,ARCH,17GOWN,ERU,GW214,Warner,
ERU_17GOWN_BACT-BE065-GW3004_20180709_S29,ERU_GW3004_BE065_S29_20180709,S29,20180709,BE065,BACT,17GOWN,ERU,GW3004,Devon_Botanical,
ERU_17GOWN_ARCH-BE065-GW3004_20181025_S29_Av6,ERU_GW3004_BE065_S29_Av6_20181025,S29_Av6,20181025,BE065,ARCH,17GOWN,ERU,GW3004,Devon_Botanical,
ERU_17GOWN_BACT-BE066-GW150_20180709_S55,ERU_GW150_BE066_S55_20180709,S55,20180709,BE066,BACT,17GOWN,ERU,GW150,Wetaskiwin,
ERU_17GOWN_ARCH-BE066-GW150_20181025_S55_Av6,ERU_GW150_BE066_S55_Av6_20181025,S55_Av6,20181025,BE066,ARCH,17GOWN,ERU,GW150,Wetaskiwin,
ERU_17GOWN_BACT-BE067-GW456_20180709_S91,ERU_GW456_BE067_S91_20180709,S91,20180709,BE067,BACT,17GOWN,ERU,GW456,Aet_C003_Airdrie_replicate,
ERU_17GOWN_ARCH-BE067-GW456_20181025_S91_Av6,ERU_GW456_BE067_S91_Av6_20181025,S91_Av6,20181025,BE067,ARCH,17GOWN,ERU,GW456,Aet_C003_Airdrie_replicate,
ERU_17GOWN_ARCH-BE067-GW456_20181025_S91_Av4,ERU_GW456_BE067_S91_Av4_20181025,S91_Av4,20181025,BE067,ARCH,17GOWN,ERU,GW456,Aet_C003_Airdrie_replicate,
ERU_17GOWN_BACT-BE068-GW456_20180709_S102,ERU_GW456_BE068_S102_20180709,S102,20180709,BE068,BACT,17GOWN,ERU,GW456,Airdrie,
ERU_17GOWN_ARCH-BE068-GW456_20181025_S102_Av6,ERU_GW456_BE068_S102_Av6_20181025,S102_Av6,20181025,BE068,ARCH,17GOWN,ERU,GW456,Airdrie,
ERU_17GOWN_ARCH-BE068-GW456_20181025_S102_Av4,ERU_GW456_BE068_S102_Av4_20181025,S102_Av4,20181025,BE068,ARCH,17GOWN,ERU,GW456,Airdrie,
ERU_17GOWN_BACT-BE069-GW456_20180709_S83,ERU_GW456_BE069_S83_20180709,S83,20180709,BE069,BACT,17GOWN,ERU,GW456,Aet_C002_Airdrie_replicate,
ERU_17GOWN_ARCH-BE069-GW456_20181025_S83_Av6,ERU_GW456_BE069_S83_Av6_20181025,S83_Av6,20181025,BE069,ARCH,17GOWN,ERU,GW456,Aet_C002_Airdrie_replicate,
ERU_17GOWN_ARCH-BE069-GW456_20181025_S83_Av4,ERU_GW456_BE069_S83_Av4_20181025,S83_Av4,20181025,BE069,ARCH,17GOWN,ERU,GW456,Aet_C002_Airdrie_replicate,
ERU_17GOWN_BACT-BE070-GW228_20180709_S31,ERU_GW228_BE070_S31_20180709,S31,20180709,BE070,BACT,17GOWN,ERU,GW228,Kirkpatrick,
ERU_17GOWN_ARCH-BE070-GW228_20181025_S31_Av6,ERU_GW228_BE070_S31_Av6_20181025,S31_Av6,20181025,BE070,ARCH,17GOWN,ERU,GW228,Kirkpatrick,
ERU_17GOWN_BACT-BE071-GW229_20180709_S136,ERU_GW229_BE071_S136_20180709,S136,20180709,BE071,BACT,17GOWN,ERU,GW229,Kirkpatrick,
ERU_17GOWN_ARCH-BE071-GW229_20181025_S136_Av6,ERU_GW229_BE071_S136_Av6_20181025,S136_Av6,20181025,BE071,ARCH,17GOWN,ERU,GW229,Kirkpatrick,
ERU_17GOWN_ARCH-BE071-GW229_20181025_S136_Av4,ERU_GW229_BE071_S136_Av4_20181025,S136_Av4,20181025,BE071,ARCH,17GOWN,ERU,GW229,Kirkpatrick,
ERU_17GOWN_BACT-BE072-GW230_20180709_S132,ERU_GW230_BE072_S132_20180709,S132,20180709,BE072,BACT,17GOWN,ERU,GW230,Kirkpatrick,
ERU_17GOWN_ARCH-BE072-GW230_20181025_S132_Av6,ERU_GW230_BE072_S132_Av6_20181025,S132_Av6,20181025,BE072,ARCH,17GOWN,ERU,GW230,Kirkpatrick,
ERU_17GOWN_BACT-BE073-GW945_20180709_S74,ERU_GW945_BE073_S74_20180709,S74,20180709,BE073,BACT,17GOWN,ERU,GW945,Moose_Lake,
