NewName,OldName,OldSeqNumber,SeqDate,Primer,Year,GenomeCode,User,GOWN Well,GOWN Location,Sample ID
DMO_20_BACT-A1-GW398_20210201_S118,DMO-GOWN-bact-A1-20210201_S118_L001_R1_001.fastq.gz,S118,20210201,BACT,20,A1,DMO,GW398,Pine Lake 2_2676E_0398,
DMO_20_BACT-A2-GW398_20210201_S119,DMO-GOWN-bact-A2-20210201_S119_L001_R1_001.fastq.gz,S119,20210201,BACT,20,A2,DMO,GW398,,
DMO_20_BACT-A3-GW398_20210201_S120,DMO-GOWN-bact-A3-20210201_S120_L001_R1_001.fastq.gz,S120,20210201,BACT,20,A3,DMO,GW398,,
DMO_20_BACT-A4-GW982_20210201_S121,DMO-GOWN-bact-A4-20210201_S121_L001_R1_001.fastq.gz,S121,20210201,BACT,20,A4,DMO,GW982,Leedale Deep_0982,
DMO_20_BACT-A5-GW984_20210201_S122,DMO-GOWN-bact-A5-20210201_S122_L001_R1_001.fastq.gz,S122,20210201,BACT,20,A5,DMO,GW984,Sundre North Deep_0984,
DMO_20_BACT-A6-GW218_20210201_S123,DMO-GOWN-bact-A6-20210201_S123_L001_R1_001.fastq.gz,S123,20210201,BACT,20,A6,DMO,GW218,Cluny 85-1_0218,
DMO_20_BACT-A7-GW951_20210201_S124,DMO-GOWN-bact-A7-20210201_S124_L001_R1_001.fastq.gz,S124,20210201,BACT,20,A7,DMO,GW951,Redland_0951,
DMO_20_BACT-A8-GW3026_20210201_S125,DMO-GOWN-bact-A8-20210201_S125_L001_R1_001.fastq.gz,S125,20210201,BACT,20,A8,DMO,GW3026,Rockyford_3026,
DMO_20_BACT-A9-GW3018_20210201_S126,DMO-GOWN-bact-A9-20210201_S126_L001_R1_001.fastq.gz,S126,20210201,BACT,20,A9,DMO,GW3018,Bear Hills Lake_3018,
DMO_20_BACT-A10-GW3021_20210201_S127,DMO-GOWN-bact-A10-20210201_S127_L001_R1_001.fastq.gz,S127,20210201,BACT,20,A10,DMO,GW3021,Morningside_3021,
DMO_20_BACT-A11-GW121_20210201_S128,DMO-GOWN-bact-A11-20210201_S128_L001_R1_001.fastq.gz,S128,20210201,BACT,20,A11,DMO,GW121,Gem 66-7_0121,
DMO_20_BACT-A12-GW980_20210201_S129,DMO-GOWN-bact-A12-20210201_S129_L001_R1_001.fastq.gz,S129,20210201,BACT,20,A12,DMO,GW980,Rocky Mountain House Shallow_0980,
DMO_20_BACT-A13-GW986_20210201_S130,DMO-GOWN-bact-A13-20210201_S130_L001_R1_001.fastq.gz,S130,20210201,BACT,20,A13,DMO,GW986,Cochrane East Deep_0986,
DMO_20_BACT-A14-GW760_20210201_S131,DMO-GOWN-bact-A14-20210201_S131_L001_R1_001.fastq.gz,S131,20210201,BACT,20,A14,DMO,GW760,Canmore Tourist Info_0760,
DMO_20_BACT-A15-GW3010_20210201_S132,DMO-GOWN-bact-A15-20210201_S132_L001_R1_001.fastq.gz,S132,20210201,BACT,20,A15,DMO,GW3010,Carmangay West_3010,
DMO_20_BACT-A16-GW972_20210201_S133,DMO-GOWN-bact-A16-20210201_S133_L001_R1_001.fastq.gz,S133,20210201,BACT,20,A16,DMO,GW972,Rosebud #2_0972,
DMO_20_BACT-A17-GW117_20210201_S134,DMO-GOWN-bact-A17-20210201_S134_L001_R1_001.fastq.gz,S134,20210201,BACT,20,A17,DMO,GW117,Barons 615E_0117,
DMO_20_BACT-A18-GW223_20210201_S135,DMO-GOWN-bact-A18-20210201_S135_L001_R1_001.fastq.gz,S135,20210201,BACT,20,A18,DMO,GW223,Irricana 2376E_0223,
DMO_20_BACT-A19-GW128_20210201_S136,DMO-GOWN-bact-A19-20210201_S136_L001_R1_001.fastq.gz,S136,20210201,BACT,20,A19,DMO,GW128,Elnora #6_0128,
DMO_20_BACT-A20-GW111_20210201_S137,DMO-GOWN-bact-A20-20210201_S137_L001_R1_001.fastq.gz,S137,20210201,BACT,20,A20,DMO,GW111,Orton 1514E_0111,
DMO_20_BACT-A21-GW113_20210201_S138,DMO-GOWN-bact-A21-20210201_S138_L001_R1_001.fastq.gz,S138,20210201,BACT,20,A21,DMO,GW113,Keho Lake 2019E_0113,
DMO_20_BACT-D1-GW113_20210201_S139,DMO-GOWN-bact-D1-20210201_S139_L001_R1_001.fastq.gz,S139,20210201,BACT,20,D1,DMO,GW113,,
DMO_20_BACT-D2-GW113_20210201_S140,DMO-GOWN-bact-D2-20210201_S140_L001_R1_001.fastq.gz,S140,20210201,BACT,20,D2,DMO,GW113,,
DMO_20_BACT-D3-GW239_20210201_S141,DMO-GOWN-bact-D3-20210201_S141_L001_R1_001.fastq.gz,S141,20210201,BACT,20,D3,DMO,GW239,Dewberry 2367E South_0239,
DMO_20_BACT-D4-GW239_20210201_S142,DMO-GOWN-bact-D4-20210201_S142_L001_R1_001.fastq.gz,S142,20210201,BACT,20,D4,DMO,GW239,,
DMO_20_BACT-D5-GW381_20210201_S143,DMO-GOWN-bact-D5-20210201_S143_L001_R1_001.fastq.gz,S143,20210201,BACT,20,D5,DMO,GW381,Meander River 87-2_0381,
DMO_20_BACT-D6-GW381_20210201_S144,DMO-GOWN-bact-D6-20210201_S144_L001_R1_001.fastq.gz,S144,20210201,BACT,20,D6,DMO,GW381,,
DMO_20_BACT-D7-GW439_20210201_S145,DMO-GOWN-bact-D7-20210201_S145_L001_R1_001.fastq.gz,S145,20210201,BACT,20,D7,DMO,GW439,Ministik Lake 2323E_0439,
DMO_20_BACT-D8-GW439_20210201_S146,DMO-GOWN-bact-D8-20210201_S146_L001_R1_001.fastq.gz,S146,20210201,BACT,20,D8,DMO,GW439,,
DMO_20_BACT-D9-GW439_20210201_S147,DMO-GOWN-bact-D9-20210201_S147_L001_R1_001.fastq.gz,S147,20210201,BACT,20,D9,DMO,GW439,,
DMO_20_BACT-D10-GW989_20210201_S148,DMO-GOWN-bact-D10-20210201_S148_L001_R1_001.fastq.gz,S148,20210201,BACT,20,D10,DMO,GW989,Buck Lake Shallow_0989,
DMO_20_BACT-D11-GW991_20210201_S149,DMO-GOWN-bact-D11-20210201_S149_L001_R1_001.fastq.gz,S149,20210201,BACT,20,D11,DMO,GW991,Cynthia Deep_0991,
DMO_20_BACT-D12-GW3004_20210201_S150,DMO-GOWN-bact-D12-20210201_S150_L001_R1_001.fastq.gz,S150,20210201,BACT,20,D12,DMO,GW3004,Devon Botanic Gardens_3004,
DMO_20_BACT-D13-GW3089_20210201_S151,DMO-GOWN-bact-D13-20210201_S151_L001_R1_001.fastq.gz,S151,20210201,BACT,20,D13,DMO,GW3089,Grimshaw_3089,
DMO_20_BACT-D14-GW3104_20210201_S152,DMO-GOWN-bact-D14-20210201_S152_L001_R1_001.fastq.gz,S152,20210201,BACT,20,D14,DMO,GW3104,Hamilin Northwest_3104,
DMO_20_BACT-D15-GW139_20210201_S153,DMO-GOWN-bact-D15-20210201_S153_L001_R1_001.fastq.gz,S153,20210201,BACT,20,D15,DMO,GW139,Hardisty Airport 3B_0139,
DMO_20_BACT-D16-GW142_20210201_S154,DMO-GOWN-bact-D16-20210201_S154_L001_R1_001.fastq.gz,S154,20210201,BACT,20,D16,DMO,GW142,Hardisty 1869 1A_0142,
DMO_20_BACT-D17-GW140_20210201_S155,DMO-GOWN-bact-D17-20210201_S155_L001_R1_001.fastq.gz,S155,20210201,BACT,20,D17,DMO,GW140,Wainwright Farm 811E #1_0140,
DMO_20_BACT-D18-GW265_20210201_S156,DMO-GOWN-bact-D18-20210201_S156_L001_R1_001.fastq.gz,S156,20210201,BACT,20,D18,DMO,GW265,Metiskow 88-1_0265,
DMO_20_BACT-D19-GW147_20210201_S157,DMO-GOWN-bact-D19-20210201_S157_L001_R1_001.fastq.gz,S157,20210201,BACT,20,D19,DMO,GW147,Ferintosh Regional Landfill 85-1_0147,
DMO_20_BACT-D20-GW147_20210201_S158,DMO-GOWN-bact-D20-20210201_S158_L001_R1_001.fastq.gz,S158,20210201,BACT,20,D20,DMO,GW147,,
