NewName,Filename,OldSeqNumber,SeqDate,Primer,Year,GenomeCode,User,GOWN Well,GOWN Location,Sample ID
DMO_21GOWN_BACT-L1-GW986_20210917_S223,DMO-GOWN-bact-2021-L1-20210917_S223_L001_R1_001.fastq.gz,S223,20210917,BACT,21GOWN,L1,DMO,GW986,Cochrane 986,21GWC21009
DMO_21GOWN_BACT-L2-GW218_20210917_S224,DMO-GOWN-bact-2021-L2-20210917_S224_L001_R1_001.fastq.gz,S224,20210917,BACT,21GOWN,L2,DMO,GW218,Cluny 218,21GWC21020 
DMO_21GOWN_BACT-L3-GW972_20210917_S225,DMO-GOWN-bact-2021-L3-20210917_S225_L001_R1_001.fastq.gz,S225,20210917,BACT,21GOWN,L3,DMO,GW972,Rosebud 972,21GWC21026
DMO_21GOWN_BACT-L4-GW265_20210917_S226,DMO-GOWN-bact-2021-L4-20210917_S226_L001_R1_001.fastq.gz,S226,20210917,BACT,21GOWN,L4,DMO,GW265,265 Metiskow,21GWC21030 
DMO_21GOWN_BACT-L5-GW760_20211115_S343,DMO-GOWN-bact-2021-L5-20211115_S343_L001_R1_001.fastq.gz,S343,20211115,BACT,21GOWN,L5,DMO,GW760,760 Canmore,21GWC21034
DMO_21GOWN_BACT-L6-GW3026_20211115_S344,DMO-GOWN-bact-2021-L6-20211115_S344_L001_R1_001.fastq.gz,S344,20211115,BACT,21GOWN,L6,DMO,GW3026,3026 Rockyford,21GWC21037
DMO_21GOWN_BACT-L7-GW983_20211115_S345,DMO-GOWN-bact-2021-L7-20211115_S345_L001_R1_001.fastq.gz,S345,20211115,BACT,21GOWN,L7,DMO,GW983,983 Sundre,21GWC21039
DMO_21GOWN_BACT-L8-GW117_20211115_S346,DMO-GOWN-bact-2021-L8-20211115_S346_L001_R1_001.fastq.gz,S346,20211115,BACT,21GOWN,L8,DMO,GW117,117 Barons,21GWC21042
DMO_21GOWN_BACT-L9-GW211_20211115_S347,DMO-GOWN-bact-2021-L9-20211115_S347_L001_R1_001.fastq.gz,S347,20211115,BACT,21GOWN,L9,DMO,GW211,211 Smith Coulee,21GWC21045
DMO_21GOWN_BACT-L10-GW114_20211115_S348,DMO-GOWN-bact-2021-L10-20211115_S348_L001_R1_001.fastq.gz,S348,20211115,BACT,21GOWN,L10,DMO,GW114,114 Ross Creek,21GWC21049
DMO_21GOWN_BACT-M1-GW3004_20210917_S227,DMO-GOWN-bact-2021-M1-20210917_S227_L001_R1_001.fastq.gz,S227,20210917,BACT,21GOWN,M1,DMO,GW3004,Devon Bot Gardens 3004,21GWE00015
DMO_21GOWN_BACT-M2-GW3104_20210917_S228,DMO-GOWN-bact-2021-M2-20210917_S228_L001_R1_001.fastq.gz,S228,20210917,BACT,21GOWN,M2,DMO,GW3104,Hamilin Northwest 3104,21GWE00018
DMO_21GOWN_BACT-M3-GW341_20210917_S229,DMO-GOWN-bact-2021-M3-20210917_S229_L001_R1_001.fastq.gz,S229,20210917,BACT,21GOWN,M3,DMO,GW341,341_BEAVERLODGE,21GWE00025
DMO_21GOWN_BACT-M4-GW373_20210917_S230,DMO-GOWN-bact-2021-M4-20210917_S230_L001_R1_001.fastq.gz,S230,20210917,BACT,21GOWN,M4,DMO,GW373,373_BEAVERLODGE,21GWE00029
DMO_21GOWN_BACT-M5-GW374_20210917_S231,DMO-GOWN-bact-2021-M5-20210917_S231_L001_R1_001.fastq.gz,S231,20210917,BACT,21GOWN,M5,DMO,GW374,374 KLESKUN 2426E,21GWE00033
DMO_21GOWN_BACT-M6-GW3089_20210917_S232,DMO-GOWN-bact-2021-M6-20210917_S232_L001_R1_001.fastq.gz,S232,20210917,BACT,21GOWN,M6,DMO,GW3089,3089_GRIMSHAW,21GWE00036
DMO_21GOWN_BACT-M7-GW381_20210917_S233,DMO-GOWN-bact-2021-M7-20210917_S233_L001_R1_001.fastq.gz,S233,20210917,BACT,21GOWN,M7,DMO,GW381,381_MEANDER RIVER 87-2,21GWE00040
DMO_21GOWN_BACT-M8-GW387_20210917_S234,DMO-GOWN-bact-2021-M8-20210917_S234_L001_R1_001.fastq.gz,S234,20210917,BACT,21GOWN,M8,DMO,GW387,387_ZAMA NORTH 87-5 NORTH,21GWE00044
DMO_21GOWN_BACT-M9-GW0988_20211115_S349,DMO-GOWN-bact-2021-M9-20211115_S349_L001_R1_001.fastq.gz,S349,20211115,BACT,21GOWN,M9,DMO,GW0988,FOX CREEK_0988,21GWE00021
DMO_21GOWN_BACT-O1-GW1143_20210917_S235,DMO-GOWN-bact-2021-O1-20210917_S235_L001_R1_001.fastq.gz,S235,20210917,BACT,21GOWN,O1,DMO,GW1143,07CEG006 GOWN1143,21GWO10003-1
DMO_21GOWN_BACT-O2-GW1144_20210917_S236,DMO-GOWN-bact-2021-O2-20210917_S236_L001_R1_001.fastq.gz,S236,20210917,BACT,21GOWN,O2,DMO,GW1144,07CEG007 GOWN1144,21GWO10004-01
DMO_21GOWN_BACT-O3-GW1150_20210917_S237,DMO-GOWN-bact-2021-O3-20210917_S237_L001_R1_001.fastq.gz,S237,20210917,BACT,21GOWN,O3,DMO,GW1150,07CAG011 GOWN1150,21GWO10005-01
DMO_21GOWN_BACT-O4-GW1151_20210917_S238,DMO-GOWN-bact-2021-O4-20210917_S238_L001_R1_001.fastq.gz,S238,20210917,BACT,21GOWN,O4,DMO,GW1151,07CAG012 GOWN1151,21GWO10006-01
