NewName,OldName,OldSeqNumber,SeqDate,Primer,Year,GenomeCode,User,GOWN Code,GOWN LOCATION,Sample ID
DMO_22GOWN_BACT-G10-GW760_20230321_S200,DMO-GOWN-bact-2023-G10-20230321_S200_L001_R1_001.fastq.gz,S200,20230321,BACT,22GOWN,G10,DMO,GW760,760 Canmore,22GWC22053
DMO_22GOWN_BACT-G11-GW972_20230321_S201,DMO-GOWN-bact-2023-G11-20230321_S201_L001_R1_001.fastq.gz,S201,20230321,BACT,22GOWN,G11,DMO,GW972,972 Rosebud,22GWC22056
DMO_22GOWN_BACT-G1-GW986_20230321_S191,DMO-GOWN-bact-2023-G1-20230321_S191_L001_R1_001.fastq.gz,S191,20230321,BACT,22GOWN,G1,DMO,GW986,Cochrane 986,22GWC22016
DMO_22GOWN_BACT-G12-GW971_20230321_S202,DMO-GOWN-bact-2023-G12-20230321_S202_L001_R1_001.fastq.gz,S202,20230321,BACT,22GOWN,G12,DMO,GW971,971 Redland,22GWC22067
DMO_22GOWN_BACT-G13-GW110_20230321_S203,DMO-GOWN-bact-2023-G13-20230321_S203_L001_R1_001.fastq.gz,S203,20230321,BACT,22GOWN,G13,DMO,GW110,110 McNally,22GWC22070
DMO_22GOWN_BACT-G14-GW219_20230321_S204,DMO-GOWN-bact-2023-G14-20230321_S204_L001_R1_001.fastq.gz,S204,20230321,BACT,22GOWN,G14,DMO,GW219,219 Cluny Shallow,22GWC22073
DMO_22GOWN_BACT-G15-GW218_20230321_S205,DMO-GOWN-bact-2023-G15-20230321_S205_L001_R1_001.fastq.gz,S205,20230321,BACT,22GOWN,G15,DMO,GW218,218 Cluny 85-2 Deep,22GWC22075
DMO_22GOWN_BACT-G16-GW258_20230321_S206,DMO-GOWN-bact-2023-G16-20230321_S206_L001_R1_001.fastq.gz,S206,20230321,BACT,22GOWN,G16,DMO,GW258,258 Cessford,22GWC22078
DMO_22GOWN_BACT-G17-GW3028_20230321_S207,DMO-GOWN-bact-2023-G17-20230321_S207_L001_R1_001.fastq.gz,S207,20230321,BACT,22GOWN,G17,DMO,GW3028,3028 Scotfield,22GWC22081
DMO_22GOWN_BACT-G18-GW273_20230321_S208,DMO-GOWN-bact-2023-G18-20230321_S208_L001_R1_001.fastq.gz,S208,20230321,BACT,22GOWN,G18,DMO,GW273,273 Sounding Creek,22GWC22083
DMO_22GOWN_BACT-G19-GW275_20230321_S209,DMO-GOWN-bact-2023-G19-20230321_S209_L001_R1_001.fastq.gz,S209,20230321,BACT,22GOWN,G19,DMO,GW275,275 Sounding Creek,22GWC22086
