NewName,OldName,OldSeqNumber,SeqDate,Primer,Year,Genome Code,User,GOWN Code,GOWN Location,Sample ID
LB_23GOWN_GOWN-L1-GW389_20240806_S193,193-LB-Gown-2024-bact-20240806-1_S193_R1_001.fastq.gz,S193,20240806,GOWN,23GOWN,L1,LB,GW389,389 ZAMA NORTH 87-4 South,23GWG00017
LB_23GOWN_GOWN-L2-GW3004_20240806_S194,194-LB-Gown-2024-bact-20240806-2_S194_R1_001.fastq.gz,S194,20240806,GOWN,23GOWN,L2,LB,GW3004,3004 DEVON BOT GARD,23GWE00141
LB_23GOWN_GOWN-L3-GW160_20240806_S195,195-LB-Gown-2024-bact-20240806-3_S195_R1_001.fastq.gz,S195,20240806,GOWN,23GOWN,L3,LB,GW160,160 DEVON BOT GARDS,23GWE00049
LB_23GOWN_GOWN-L4-GW329_20240806_S196,196-LB-Gown-2024-bact-20240806-4_S196_R1_001.fastq.gz,S196,20240806,GOWN,23GOWN,L4,LB,GW329,329 PADDLE RIVER,23GWE00135
LB_23GOWN_GOWN-L5-GW265_20240806_S197,197-LB-Gown-2024-bact-20240806-5_S197_R1_001.fastq.gz,S197,20240806,GOWN,23GOWN,L5,LB,GW265,265 METISKOW 88-1,23GWE00068
LB_23GOWN_GOWN-L6-GW178_20240806_S198,198-LB-Gown-2024-bact-20240806-6_S198_R1_001.fastq.gz,S198,20240806,GOWN,23GOWN,L6,LB,GW178,178 BRUDERHEIM,23GWE00158
LB_23GOWN_GOWN-L7-GW381_20240806_S199,199-LB-Gown-2024-bact-20240806-7_S199_R1_001.fastq.gz,S199,20240806,GOWN,23GOWN,L7,LB,GW381,381 MEANDER RIVER 87-2,23GWG00015
LB_23GOWN_GOWN-L8-GW991_20240806_S200,200-LB-Gown-2024-bact-20240806-8_S200_R1_001.fastq.gz,S200,20240806,GOWN,23GOWN,L8,LB,GW991,991 CYNTHIA DEEP,23GWE00117
LB_23GOWN_GOWN-L10-GW387_20240806_S202,202-LB-Gown-2024-bact-20240806-10_S202_R1_001.fastq.gz,S202,20240806,GOWN,23GOWN,L10,LB,GW387,387 ZAMA NORTH 87-5 NORTH,23GWG00016
LB_23GOWN_GOWN-L11-GW989_20240806_S203,203-LB-Gown-2024-bact-20240806-11_S203_R1_001.fastq.gz,S203,20240806,GOWN,23GOWN,L11,LB,GW989,989 BUCK LAKE SHALLOW,23GWE00138
LB_23GOWN_GOWN-L13-GW3069_20240806_S205,205-LB-Gown-2024-bact-20240806-13_S205_R1_001.fastq.gz,S205,20240806,GOWN,23GOWN,L13,LB,GW3069,3069 BRUDERHEIM N,23GWE00155
LB_23GOWN_GOWN-L14-GW992_20240806_S206,206-LB-Gown-2024-bact-20240806-14_S206_R1_001.fastq.gz,S206,20240806,GOWN,23GOWN,L14,LB,GW992,992 CYNTHIA SHALLOW,23GWE00120
LB_23GOWN_GOWN-L15-GW339_20240806_S207,207-LB-Gown-2024-bact-20240806-15_S207_R1_001.fastq.gz,S207,20240806,GOWN,23GOWN,L15,LB,GW339,339 GRIMSHAW KERNDALE 0339,23GWG00014
LB_23GOWN_GOWN-L16-GW235_20240806_S208,208-LB-Gown-2024-bact-20240806-16_S208_R1_001.fastq.gz,S208,20240806,GOWN,23GOWN,L16,LB,GW235,235 INNISFREE 2403E,23GWE00064
LB_23GOWN_GOWN-L17-GW176_20240806_S209,209-LB-Gown-2024-bact-20240806-17_S209_R1_001.fastq.gz,S209,20240806,GOWN,23GOWN,L17,LB,GW176,176 BRUDERHEIM,23GWE00132
LB_23GOWN_GOWN-L1-GW389_20240806_S238,238-LB-Gown-2024-arcea-20240806-1_S238_R1_001.fastq.gz,S238,20240806,GOWN,23GOWN,L1,LB,GW389,389 ZAMA NORTH 87-4 South,23GWG00017
LB_23GOWN_GOWN-L2-GW3004_20240806_S239,239-LB-Gown-2024-arcea-20240806-2_S239_R1_001.fastq.gz,S239,20240806,GOWN,23GOWN,L2,LB,GW3004,3004 DEVON BOT GARD,23GWE00141
LB_23GOWN_GOWN-L3-GW160_20240806_S240,240-LB-Gown-2024-arcea-20240806-3_S240_R1_001.fastq.gz,S240,20240806,GOWN,23GOWN,L3,LB,GW160,160 DEVON BOT GARDS,23GWE00049
LB_23GOWN_GOWN-L4-GW329_20240806_S241,241-LB-Gown-2024-arcea-20240806-4_S241_R1_001.fastq.gz,S241,20240806,GOWN,23GOWN,L4,LB,GW329,329 PADDLE RIVER,23GWE00135
LB_23GOWN_GOWN-L5-GW265_20240806_S242,242-LB-Gown-2024-arcea-20240806-5_S242_R1_001.fastq.gz,S242,20240806,GOWN,23GOWN,L5,LB,GW265,265 METISKOW 88-1,23GWE00068
LB_23GOWN_GOWN-L6-GW178_20240806_S243,243-LB-Gown-2024-arcea-20240806-6_S243_R1_001.fastq.gz,S243,20240806,GOWN,23GOWN,L6,LB,GW178,178 BRUDERHEIM,23GWE00158
LB_23GOWN_GOWN-L7-GW381_20240806_S244,244-LB-Gown-2024-arcea-20240806-7_S244_R1_001.fastq.gz,S244,20240806,GOWN,23GOWN,L7,LB,GW381,381 MEANDER RIVER 87-2,23GWG00015
LB_23GOWN_GOWN-L8-GW991_20240806_S245,245-LB-Gown-2024-arcea-20240806-8_S245_R1_001.fastq.gz,S245,20240806,GOWN,23GOWN,L8,LB,GW991,991 CYNTHIA DEEP,23GWE00117
LB_23GOWN_GOWN-L10-GW387_20240806_S247,247-LB-Gown-2024-arcea-20240806-10_S247_R1_001.fastq.gz,S247,20240806,GOWN,23GOWN,L10,LB,GW387,387 ZAMA NORTH 87-5 NORTH,23GWG00016
LB_23GOWN_GOWN-L11-GW989_20240806_S248,248-LB-Gown-2024-arcea-20240806-11_S248_R1_001.fastq.gz,S248,20240806,GOWN,23GOWN,L11,LB,GW989,989 BUCK LAKE SHALLOW,23GWE00138
LB_23GOWN_GOWN-L13-GW3069_20240806_S250,250-LB-Gown-2024-arcea-20240806-13_S250_R1_001.fastq.gz,S250,20240806,GOWN,23GOWN,L13,LB,GW3069,3069 BRUDERHEIM N,23GWE00155
LB_23GOWN_GOWN-L14-GW992_20240806_S251,251-LB-Gown-2024-arcea-20240806-14_S251_R1_001.fastq.gz,S251,20240806,GOWN,23GOWN,L14,LB,GW992,992 CYNTHIA SHALLOW,23GWE00120
LB_23GOWN_GOWN-L15-GW339_20240806_S252,252-LB-Gown-2024-arcea-20240806-15_S252_R1_001.fastq.gz,S252,20240806,GOWN,23GOWN,L15,LB,GW339,339 GRIMSHAW KERNDALE 0339,23GWG00014
LB_23GOWN_GOWN-L16-GW235_20240806_S253,253-LB-Gown-2024-arcea-20240806-16_S253_R1_001.fastq.gz,S253,20240806,GOWN,23GOWN,L16,LB,GW235,235 INNISFREE 2403E,23GWE00064
LB_23GOWN_GOWN-L17-GW176_20240806_S254,254-LB-Gown-2024-arcea-20240806-17_S254_R1_001.fastq.gz,S254,20240806,GOWN,23GOWN,L17,LB,GW176,176 BRUDERHEIM,23GWE00132
