NewName,OldName,OldSeqNumber,Seq Date,Primer,Year,Genome Code,User,GOWN Code,GOWN Location,Sample ID
GLC_25GOWN_ARCH-G5-GW101_20251031_S119_R1_001.fastq.gz,GLC_25GOWN_ARCH-G5-GW101_20251031_S119_R1_001.fastq.gz,S119,20251031,ARCH,25GOWN,G5,GLC,GW101,,
GLC_25GOWN_BACT-G5-GW101_20251031_S167_R1_001.fastq.gz,GLC_25GOWN_BACT-G5-GW101_20251031_S167_R1_001.fastq.gz,S167,20251031,BACT,25GOWN,G5,GLC,GW101,,
GLC_25GOWN_ARCH-G4-GW109_20251031_S118_R1_001.fastq.gz,GLC_25GOWN_ARCH-G4-GW109_20251031_S118_R1_001.fastq.gz,S118,20251031,ARCH,25GOWN,G4,GLC,GW109,,
GLC_25GOWN_BACT-G4-GW109_20251031_S166_R1_001.fastq.gz,GLC_25GOWN_BACT-G4-GW109_20251031_S166_R1_001.fastq.gz,S166,20251031,BACT,25GOWN,G4,GLC,GW109,,
GLC_25GOWN_ARCH-G3-GW112_20251031_S117_R1_001.fastq.gz,GLC_25GOWN_ARCH-G3-GW112_20251031_S117_R1_001.fastq.gz,S117,20251031,ARCH,25GOWN,G3,GLC,GW112,,
GLC_25GOWN_BACT-G3-GW112_20251031_S165_R1_001.fastq.gz,GLC_25GOWN_BACT-G3-GW112_20251031_S165_R1_001.fastq.gz,S165,20251031,BACT,25GOWN,G3,GLC,GW112,,
GLC_25GOWN_ARCH-G12-GW114_20251031_S126_R1_001.fastq.gz,GLC_25GOWN_ARCH-G12-GW114_20251031_S126_R1_001.fastq.gz,S126,20251031,ARCH,25GOWN,G12,GLC,GW114,,
GLC_25GOWN_BACT-G12-GW114_20251031_S174_R1_001.fastq.gz,GLC_25GOWN_BACT-G12-GW114_20251031_S174_R1_001.fastq.gz,S174,20251031,BACT,25GOWN,G12,GLC,GW114,,
GLC_25GOWN_ARCH-G13-GW126_20251031_S127_R1_001.fastq.gz,GLC_25GOWN_ARCH-G13-GW126_20251031_S127_R1_001.fastq.gz,S127,20251031,ARCH,25GOWN,G13,GLC,GW126,,
GLC_25GOWN_BACT-G13-GW126_20251031_S175_R1_001.fastq.gz,GLC_25GOWN_BACT-G13-GW126_20251031_S175_R1_001.fastq.gz,S175,20251031,BACT,25GOWN,G13,GLC,GW126,,
