NewName,OldName,OldSeqNumber,Seq Date,Primer,Year,Genome Code,User,GOWN Code,GOWN Location,Sample ID
GLC_24GOWN_ARCH-L46-GW295_20260515_S193_R1_001.fastq.gz,GLC_24GOWN_ARCH-L46-GW295_20260515_S193_L001_R1_001.fastq.gz,S193,20260515,ARCH,24GOWN,L46,GLC,GW295,VERMILION 2586E,24GWE00121
GLC_24GOWN_ARCH-L47-GW374_20260515_S194_R1_001.fastq.gz,GLC_24GOWN_ARCH-L47-GW374_20260515_S194_L001_R1_001.fastq.gz,S194,20260515,ARCH,24GOWN,L47,GLC,GW374,KLESKUN 2426E,24GWG00002
GLC_24GOWN_ARCH-L48-GW114_20260515_S195_R1_001.fastq.gz,GLC_24GOWN_ARCH-L48-GW114_20260515_S195_L001_R1_001.fastq.gz,S195,20260515,ARCH,24GOWN,L48,GLC,GW114,Ross Creek,24GWC00032
GLC_24GOWN_ARCH-L50-GW3053_20260515_S197_R1_001.fastq.gz,GLC_24GOWN_ARCH-L50-GW3053_20260515_S197_L001_R1_001.fastq.gz,S197,20260515,ARCH,24GOWN,L50,GLC,GW3053,HAYS EAST,24GWC00052
GLC_24GOWN_ARCH-L51-GW237_20260515_S198_R1_001.fastq.gz,GLC_24GOWN_ARCH-L51-GW237_20260515_S198_L001_R1_001.fastq.gz,S198,20260515,ARCH,24GOWN,L51,GLC,GW237,DEWBERRY 2410E,24GWE00104
GLC_24GOWN_ARCH-L52-GW265_20260515_S200_R1_001.fastq.gz,GLC_24GOWN_ARCH-L52-GW265_20260515_S200_L001_R1_001.fastq.gz,S200,20260515,ARCH,24GOWN,L52,GLC,GW265,Metiskow 88-1,24GWE00108
GLC_24GOWN_ARCH-L53-GW143_20260515_S201_R1_001.fastq.gz,GLC_24GOWN_ARCH-L53-GW143_20260515_S201_L001_R1_001.fastq.gz,S201,20260515,ARCH,24GOWN,L53,GLC,GW143,HARDISTY RODEO,24GWE00071
GLC_24GOWN_ARCH-L54-GW140_20260515_S202_R1_001.fastq.gz,GLC_24GOWN_ARCH-L54-GW140_20260515_S202_L001_R1_001.fastq.gz,S202,20260515,ARCH,24GOWN,L54,GLC,GW140,WAINWRIGHT FARM,24GWE00068
GLC_24GOWN_ARCH-L55-GW139_20260515_S203_R1_001.fastq.gz,GLC_24GOWN_ARCH-L55-GW139_20260515_S203_L001_R1_001.fastq.gz,S203,20260515,ARCH,24GOWN,L55,GLC,GW139,HARDISTY AIRPORT,24GWE00065
GLC_24GOWN_ARCH-L56-GW890_20260515_S204_R1_001.fastq.gz,GLC_24GOWN_ARCH-L56-GW890_20260515_S204_L001_R1_001.fastq.gz,S204,20260515,ARCH,24GOWN,L56,GLC,GW890,Ross Creek,24GWC00054
GLC_24GOWN_ARCH-L57-GW294_20260515_S205_R1_001.fastq.gz,GLC_24GOWN_ARCH-L57-GW294_20260515_S205_L001_R1_001.fastq.gz,S205,20260515,ARCH,24GOWN,L57,GLC,GW294,VERMILION 2597E,24GWE00118
GLC_24GOWN_ARCH-L58-GW276_20260515_S206_R1_001.fastq.gz,GLC_24GOWN_ARCH-L58-GW276_20260515_S206_L001_R1_001.fastq.gz,S206,20260515,ARCH,24GOWN,L58,GLC,GW276,Cavendish,24GWC00059
GLC_24GOWN_ARCH-L59-GWUNK1_20260515_S207_R1_001.fastq.gz,GLC_24GOWN_ARCH-L59-GWUNK1_20260515_S207_L001_R1_001.fastq.gz,S207,20260515,ARCH,24GOWN,L59,GLC,GWUNK1,BEZANSON_1984G,24GWG00003
GLC_24GOWN_ARCH-L61-GW373_20260515_S209_R1_001.fastq.gz,GLC_24GOWN_ARCH-L61-GW373_20260515_S209_L001_R1_001.fastq.gz,S209,20260515,ARCH,24GOWN,L61,GLC,GW373,BEAVERLODGE 2427E,24GWG00007
GLC_24GOWN_ARCH-L62-GW267_20260515_S210_R1_001.fastq.gz,GLC_24GOWN_ARCH-L62-GW267_20260515_S210_L001_R1_001.fastq.gz,S210,20260515,ARCH,24GOWN,L62,GLC,GW267,Metiskow 88-1,24GWE00112
GLC_24GOWN_ARCH-L63-GWUNK2_20260515_S211_R1_001.fastq.gz,GLC_24GOWN_ARCH-L63-GWUNK2_20260515_S211_L001_R1_001.fastq.gz,S211,20260515,ARCH,24GOWN,L63,GLC,GWUNK2,FITZSIMMONS_1987G,24GWG00004
GLC_24GOWN_ARCH-L64-GWCTL1_20260515_S199_R1_001.fastq.gz,GLC_24GOWN_ARCH-L64-GWCTL1_20260515_S199_L001_R1_001.fastq.gz,S199,20260515,ARCH,24GOWN,L64,GLC,GWCTL1,NEG,24GWNEGCTL
GLC_24GOWN_ARCH-L65-GWCTL2_20260515_S208_R1_001.fastq.gz,GLC_24GOWN_ARCH-L65-GWCTL2_20260515_S208_L001_R1_001.fastq.gz,S208,20260515,ARCH,24GOWN,L65,GLC,GWCTL2,NEG,24GWNEGCTL
GLC_24GOWN_ARCH-NEG-GWPCR_20260515_S196_R1_001.fastq.gz,GLC_24GOWN_ARCH-NEG-GWPCR_20260515_S196_L001_R1_001.fastq.gz,S196,20260515,ARCH,24GOWN,NEG,GLC,GWPCR,PCRNEG,PCRNEG
GLC_24GOWN_BACT-L46-GW295_20260515_S233_R1_001.fastq.gz,GLC_24GOWN_BACT-L46-GW295_20260515_S233_L001_R1_001.fastq.gz,S233,20260515,BACT,24GOWN,L46,GLC,GW295,VERMILION 2586E,24GWE00121
GLC_24GOWN_BACT-L47-GW374_20260515_S234_R1_001.fastq.gz,GLC_24GOWN_BACT-L47-GW374_20260515_S234_L001_R1_001.fastq.gz,S234,20260515,BACT,24GOWN,L47,GLC,GW374,KLESKUN 2426E,24GWG00002
GLC_24GOWN_BACT-L48-GW114_20260515_S235_R1_001.fastq.gz,GLC_24GOWN_BACT-L48-GW114_20260515_S235_L001_R1_001.fastq.gz,S235,20260515,BACT,24GOWN,L48,GLC,GW114,Ross Creek,24GWC00032
GLC_24GOWN_BACT-L50-GW3053_20260515_S237_R1_001.fastq.gz,GLC_24GOWN_BACT-L50-GW3053_20260515_S237_L001_R1_001.fastq.gz,S237,20260515,BACT,24GOWN,L50,GLC,GW3053,HAYS EAST,24GWC00052
GLC_24GOWN_BACT-L51-GW237_20260515_S238_R1_001.fastq.gz,GLC_24GOWN_BACT-L51-GW237_20260515_S238_L001_R1_001.fastq.gz,S238,20260515,BACT,24GOWN,L51,GLC,GW237,DEWBERRY 2410E,24GWE00104
GLC_24GOWN_BACT-L52-GW265_20260515_S240_R1_001.fastq.gz,GLC_24GOWN_BACT-L52-GW265_20260515_S240_L001_R1_001.fastq.gz,S240,20260515,BACT,24GOWN,L52,GLC,GW265,Metiskow 88-1,24GWE00108
GLC_24GOWN_BACT-L53-GW143_20260515_S241_R1_001.fastq.gz,GLC_24GOWN_BACT-L53-GW143_20260515_S241_L001_R1_001.fastq.gz,S241,20260515,BACT,24GOWN,L53,GLC,GW143,HARDISTY RODEO,24GWE00071
GLC_24GOWN_BACT-L54-GW140_20260515_S242_R1_001.fastq.gz,GLC_24GOWN_BACT-L54-GW140_20260515_S242_L001_R1_001.fastq.gz,S242,20260515,BACT,24GOWN,L54,GLC,GW140,WAINWRIGHT FARM,24GWE00068
GLC_24GOWN_BACT-L55-GW139_20260515_S243_R1_001.fastq.gz,GLC_24GOWN_BACT-L55-GW139_20260515_S243_L001_R1_001.fastq.gz,S243,20260515,BACT,24GOWN,L55,GLC,GW139,HARDISTY AIRPORT,24GWE00065
GLC_24GOWN_BACT-L56-GW890_20260515_S244_R1_001.fastq.gz,GLC_24GOWN_BACT-L56-GW890_20260515_S244_L001_R1_001.fastq.gz,S244,20260515,BACT,24GOWN,L56,GLC,GW890,Ross Creek,24GWC00054
GLC_24GOWN_BACT-L57-GW294_20260515_S245_R1_001.fastq.gz,GLC_24GOWN_BACT-L57-GW294_20260515_S245_L001_R1_001.fastq.gz,S245,20260515,BACT,24GOWN,L57,GLC,GW294,VERMILION 2597E,24GWE00118
GLC_24GOWN_BACT-L58-GW276_20260515_S246_R1_001.fastq.gz,GLC_24GOWN_BACT-L58-GW276_20260515_S246_L001_R1_001.fastq.gz,S246,20260515,BACT,24GOWN,L58,GLC,GW276,Cavendish,24GWC00059
GLC_24GOWN_BACT-L59-GWUNK1_20260515_S247_R1_001.fastq.gz,GLC_24GOWN_BACT-L59-GWUNK1_20260515_S247_L001_R1_001.fastq.gz,S247,20260515,BACT,24GOWN,L59,GLC,GWUNK1,BEZANSON_1984G,24GWG00003
GLC_24GOWN_BACT-L61-GW373_20260515_S249_R1_001.fastq.gz,GLC_24GOWN_BACT-L61-GW373_20260515_S249_L001_R1_001.fastq.gz,S249,20260515,BACT,24GOWN,L61,GLC,GW373,BEAVERLODGE 2427E,24GWG00007
GLC_24GOWN_BACT-L62-GW267_20260515_S250_R1_001.fastq.gz,GLC_24GOWN_BACT-L62-GW267_20260515_S250_L001_R1_001.fastq.gz,S250,20260515,BACT,24GOWN,L62,GLC,GW267,Metiskow 88-1,24GWE00112
GLC_24GOWN_BACT-L63-GWUNK2_20260515_S251_R1_001.fastq.gz,GLC_24GOWN_BACT-L63-GWUNK2_20260515_S251_L001_R1_001.fastq.gz,S251,20260515,BACT,24GOWN,L63,GLC,GWUNK2,FITZSIMMONS_1987G,24GWG00004
GLC_24GOWN_BACT-L64-GWCTL1_20260515_S239_R1_001.fastq.gz,GLC_24GOWN_BACT-L64-GWCTL1_20260515_S239_L001_R1_001.fastq.gz,S239,20260515,BACT,24GOWN,L64,GLC,GWCTL1,NEG,24GWNEGCTL
GLC_24GOWN_BACT-L65-GWCTL2_20260515_S248_R1_001.fastq.gz,GLC_24GOWN_BACT-L65-GWCTL2_20260515_S248_L001_R1_001.fastq.gz,S248,20260515,BACT,24GOWN,L65,GLC,GWCTL2,NEG,24GWNEGCTL
GLC_24GOWN_BACT-NEG-GWPCR_20260515_S236_R1_001.fastq.gz,GLC_24GOWN_BACT-NEG-GWPCR_20260515_S236_L001_R1_001.fastq.gz,S236,20260515,BACT,24GOWN,NEG,GLC,GWPCR,PCRNEG,PCRNEG
GLC_25GOWN_ARCH-G49-GW764_20260515_S212_R1_001.fastq.gz,GLC_25GOWN_ARCH-G49-GW764_20260515_S212_L001_R1_001.fastq.gz,S212,20260515,ARCH,25GOWN,G49,GLC,GW764,Hanie Heights,25GWC00076
GLC_25GOWN_ARCH-G50-GW386_20260515_S213_R1_001.fastq.gz,GLC_25GOWN_ARCH-G50-GW386_20260515_S213_L001_R1_001.fastq.gz,S213,20260515,ARCH,25GOWN,G50,GLC,GW386,Marmot Creek Basin,25GW
GLC_25GOWN_ARCH-G51-GW301_20260515_S214_R1_001.fastq.gz,GLC_25GOWN_ARCH-G51-GW301_20260515_S214_L001_R1_001.fastq.gz,S214,20260515,ARCH,25GOWN,G51,GLC,GW301,Marmot Creek Basin,25GWC00073
GLC_25GOWN_ARCH-G52-GW117_20260515_S215_R1_001.fastq.gz,GLC_25GOWN_ARCH-G52-GW117_20260515_S215_L001_R1_001.fastq.gz,S215,20260515,ARCH,25GOWN,G52,GLC,GW117,Barons,25GWC00082
