Domain,GW,Year_old,Year_new,Sample_old,Sample_new,Year_pair,Time_Diff
ARCH,GW003,2019,2019,DMO_19GOWN_ARCH-C22-GW003_20200316_S161,DMO_19GOWN_ARCH-C23-GW003_20200316_S162,2019_to_2019,0
ARCH,GW101,2017,2025,ERU_17GOWN_ARCH-BE140-GW101_20181025_S64,GLC_25GOWN_ARCH-G5-GW101_20251031_S119,2017_to_2025,8
ARCH,GW110,2016,2016,ERU_16GOWN_ARCH-BE003-GW110_20181025_S154,ERU_16GOWN_ARCH-BE003-GW110_20181025_S87,2016_to_2016,0
ARCH,GW110,2016,2024,ERU_16GOWN_ARCH-BE003-GW110_20181025_S87,GLC_24GOWN_ARCH-P09-GW110_20251021_S211,2016_to_2024,8
ARCH,GW111,2016,2017,ERU_16GOWN_ARCH-BE008-GW111_20181025_S100,ERU_17GOWN_ARCH-BE141-GW111_20181025_S129,2016_to_2017,1
ARCH,GW111,2017,2024,ERU_17GOWN_ARCH-BE141-GW111_20181025_S129,LB_24GOWN_ARCH-L36-GW111_20240806_S273,2017_to_2024,7
ARCH,GW112,2024,2025,GLC_24GOWN_ARCH-P3-GW112_20251021_S108,GLC_25GOWN_ARCH-G3-GW112_20251031_S117,2024_to_2025,1
ARCH,GW113,2017,2025,ERU_17GOWN_ARCH-BE063-GW113_20181025_S53,GLC_25GOWN_ARCH-G70-GW113_20260515_S227_L001,2017_to_2025,8
ARCH,GW114,2016,2017,ERU_16GOWN_ARCH-BE029-GW114_20181025_S85,ERU_17GOWN_ARCH-BE118-GW114_20181025_S106,2016_to_2017,1
ARCH,GW114,2017,2019,ERU_17GOWN_ARCH-BE118-GW114_20181025_S106,DMO_19GOWN_ARCH-C10-GW114_20200316_S149,2017_to_2019,2
ARCH,GW114,2019,2024,DMO_19GOWN_ARCH-C10-GW114_20200316_S149,GLC_24GOWN_ARCH-L48-GW114_20260515_S195_L001,2019_to_2024,5
ARCH,GW114,2024,2025,GLC_24GOWN_ARCH-L48-GW114_20260515_S195_L001,GLC_25GOWN_ARCH-G12-GW114_20251031_S126,2024_to_2025,1
ARCH,GW1153,2019,2024,DMO_19GOWN_ARCH-E14-GW1153_20200316_S177,GLC_24GOWN_ARCH-P27-GW1153_20251021_S228,2019_to_2024,5
ARCH,GW117,2016,2017,ERU_16GOWN_ARCH-BE052-GW117_20181025_S34,ERU_17GOWN_ARCH-BE096-GW117_20181025_S94,2016_to_2017,1
ARCH,GW117,2017,2019,ERU_17GOWN_ARCH-BE096-GW117_20181025_S94,DMO_19GOWN_ARCH-C24-GW117_20200316_S163,2017_to_2019,2
ARCH,GW117,2019,2024,DMO_19GOWN_ARCH-C24-GW117_20200316_S163,GLC_24GOWN_ARCH-P14-GW117_20251021_S215,2019_to_2024,5
