"GW","Year","Shannon","Simpson","Observed_ASVs","Total_Reads","n_samples","Year_plot"
"GW218","16GOWN",4.84420687699847,0.985865913419714,494,18978,1,"2016"
"GW218","17GOWN",3.68503382832589,0.959729803929034,277,22344,1,"2017"
"GW218","19GOWN",3.78820104604319,0.962042698016063,246,21046,1,"2019"
"GW218","20GOWN",5.68328833748253,0.994373840486433,768,34293,1,"2020"
"GW218","21GOWN",4.23957790378903,0.979472523807749,193,9269,1,"2021"
"GW218","22GOWN",5.32635343255831,0.99056236875233,500,17905,1,"2022"
"GW218","25GOWN",6.06861922238465,0.99163390263272,4498,359301,1,"2025"
"GW265","16GOWN",4.20470901461624,0.970334147843293,374,12820,1,"2016"
"GW265","17GOWN",3.91557672832675,0.963457535946101,318,17039,1,"2017"
"GW265","19GOWN",3.91923429971146,0.975811097228577,151,14105,1,"2019"
"GW265","20GOWN",4.48261666281125,0.978421515970509,368,22923,1,"2020"
"GW265","21GOWN",4.19451469751903,0.971401017640709,254,10645,1,"2021"
"GW265","22GOWN",5.01629843166037,0.989616371974574,305,12302,1,"2022"
"GW265","25GOWN",5.44405109812402,0.990818169204528,2811,329556,1,"2025"
"GW760","16GOWN",4.79668150110961,0.986106452143721,347,12635,2,"2016"
"GW760","17GOWN",3.67727047183111,0.949667437636513,240,17246,1,"2017"
"GW760","19GOWN",4.32449784981526,0.97388121822442,312,13864,1,"2019"
"GW760","20GOWN",3.7812283045185,0.954233146539433,202,19470,1,"2020"
"GW760","21GOWN",4.12677039982199,0.95830932579775,446,27296,1,"2021"
"GW760","22GOWN",2.90888313378174,0.889318062441549,118,7434,1,"2022"
"GW760","25GOWN",3.25501097719474,0.902133046956519,2005,125643,1,"2025"
