"Run","Sample","Shannon","Simpson","Observed_ASVs","Total_Reads","GW","Year","Primer"
"run180807-ERU_16-17","ERU_16GOWN_BACT-BE031-GW218_20180807_S22",4.84420687699847,0.985865913419714,494,18978,"GW218","16GOWN","BACT"
"run180807-ERU_16-17","ERU_16GOWN_BACT-BE037-GW760_20180807_S30",4.9581600933215,0.986740823893872,474,19253,"GW760","16GOWN","BACT"
"run180807-ERU_16-17","ERU_16GOWN_BACT-BE038-GW760_20180807_S37",4.63520290889772,0.985472080393569,220,6017,"GW760","16GOWN","BACT"
"run180807-ERU_16-17","ERU_16GOWN_BACT-BE060-GW265_20180807_S123",4.20470901461624,0.970334147843293,374,12820,"GW265","16GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE104-GW760_20180807_S18",3.67727047183111,0.949667437636513,240,17246,"GW760","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE120-GW218_20180807_S145",3.68503382832589,0.959729803929034,277,22344,"GW218","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE132-GW265_20180807_S134",3.91557672832675,0.963457535946101,318,17039,"GW265","17GOWN","BACT"
"run200316-MDIDMO_2019","MDI_19GOWN_BACT-C17-GW265_20200316_S108",3.91923429971146,0.975811097228577,151,14105,"GW265","19GOWN","BACT"
"run200316-MDIDMO_2019","MDI_19GOWN_BACT-C21-GW760_20200316_S112",4.32449784981526,0.97388121822442,312,13864,"GW760","19GOWN","BACT"
"run200316-MDIDMO_2019","MDI_19GOWN_BACT-C9-GW218_20200316_S100",3.78820104604319,0.962042698016063,246,21046,"GW218","19GOWN","BACT"
"run210201-DMO_2020","DMO_20GOWN_BACT-A14-GW760_20210201_S131",3.7812283045185,0.954233146539433,202,19470,"GW760","20GOWN","BACT"
"run210201-DMO_2020","DMO_20GOWN_BACT-A6-GW218_20210201_S123",5.68328833748253,0.994373840486433,768,34293,"GW218","20GOWN","BACT"
"run210201-DMO_2020","DMO_20GOWN_BACT-D18-GW265_20210201_S156",4.48261666281125,0.978421515970509,368,22923,"GW265","20GOWN","BACT"
"run210917-DMO_2021","DMO_21GOWN_BACT-L2-GW218_20210917_S224",4.23957790378903,0.979472523807749,193,9269,"GW218","21GOWN","BACT"
"run210917-DMO_2021","DMO_21GOWN_BACT-L4-GW265_20210917_S226",4.19451469751903,0.971401017640709,254,10645,"GW265","21GOWN","BACT"
"run210917-DMO_2021","DMO_21GOWN_BACT-L5-GW760_20211115_S343",4.12677039982199,0.95830932579775,446,27296,"GW760","21GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G10-GW760_20230321_S200",2.90888313378174,0.889318062441549,118,7434,"GW760","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G15-GW218_20230321_S205",5.32635343255831,0.99056236875233,500,17905,"GW218","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-N8-GW265_20230321_S161",5.01629843166037,0.989616371974574,305,12302,"GW265","22GOWN","BACT"
"run251210-GLC_2025","GLC_25GOWN_BACT-G1-GW265_20251031_S163",5.44405109812402,0.990818169204528,2811,329556,"GW265","25GOWN","BACT"
"run251210-GLC_2025","GLC_25GOWN_BACT-G46-GW760_20251031_S208",3.25501097719474,0.902133046956519,2005,125643,"GW760","25GOWN","BACT"
"run251210-GLC_2025","GLC_25GOWN_BACT-G47-GW218_20251031_S209",6.06861922238465,0.99163390263272,4498,359301,"GW218","25GOWN","BACT"
