"GW","Year","Shannon","Simpson","Observed_ASVs","Total_Reads","n_samples","Year_plot"
"GW114","16GOWN",4.62765936613326,0.975784081688852,634,26845,1,"2016"
"GW114","17GOWN",4.09845773751167,0.968165521088536,217,5913,1,"2017"
"GW114","21GOWN",6.02021177954066,0.993563186728378,1001,36242,1,"2021"
"GW114","22GOWN",4.00678195637983,0.973010285113849,128,9488,1,"2022"
"GW114","25GOWN",7.33932720341841,0.998510610953652,4643,217182,1,"2025"
"GW218","16GOWN",4.84420687699847,0.985865913419714,494,18978,1,"2016"
"GW218","17GOWN",3.68503382832589,0.959729803929034,277,22344,1,"2017"
"GW218","21GOWN",4.23957790378903,0.979472523807749,193,9269,1,"2021"
"GW218","22GOWN",5.32635343255831,0.99056236875233,500,17905,1,"2022"
"GW218","25GOWN",6.06861922238465,0.99163390263272,4498,359301,1,"2025"
"GW265","16GOWN",4.20470901461624,0.970334147843293,374,12820,1,"2016"
"GW265","17GOWN",3.91557672832675,0.963457535946101,318,17039,1,"2017"
"GW265","21GOWN",4.19451469751903,0.971401017640709,254,10645,1,"2021"
"GW265","22GOWN",5.01629843166037,0.989616371974574,305,12302,1,"2022"
"GW265","25GOWN",5.44405109812402,0.990818169204528,2811,329556,1,"2025"
"GW373","16GOWN",4.73741295713921,0.981351307136718,571,22366,1,"2016"
"GW373","17GOWN",5.66840836012567,0.993452911217587,713,19026,1,"2017"
"GW373","21GOWN",4.44765535889373,0.973998893372882,380,15841,1,"2021"
"GW373","22GOWN",4.38582092567394,0.972678083598624,217,5681,1,"2022"
"GW373","25GOWN",5.50533500722309,0.98674107576094,2708,143579,1,"2025"
"GW760","16GOWN",4.79668150110961,0.986106452143721,347,12635,2,"2016"
"GW760","17GOWN",3.67727047183111,0.949667437636513,240,17246,1,"2017"
"GW760","21GOWN",4.12677039982199,0.95830932579775,446,27296,1,"2021"
"GW760","22GOWN",2.90888313378174,0.889318062441549,118,7434,1,"2022"
"GW760","25GOWN",3.25501097719474,0.902133046956519,2005,125643,1,"2025"
