"GW","Year","Shannon","Simpson","Observed_ASVs","Total_Reads","n_samples","Year_plot"
"GW117","17GOWN",4.80418873763492,0.986706448431836,290,9141,1,"2017"
"GW117","21GOWN",6.72827164075525,0.998375330012993,1321,44770,1,"2021"
"GW117","22GOWN",5.23505175617816,0.989899603959824,393,12456,1,"2022"
"GW117","24GOWN",7.19860687654926,0.997560911920609,6043,327419,1,"2024"
"GW218","17GOWN",3.68503382832589,0.959729803929034,277,22344,1,"2017"
"GW218","21GOWN",4.23957790378903,0.979472523807749,193,9269,1,"2021"
"GW218","22GOWN",5.32635343255831,0.99056236875233,500,17905,1,"2022"
"GW218","24GOWN",3.03404524984871,0.884316335739325,674,134752,1,"2024"
"GW3004","17GOWN",4.3159074936234,0.969245487573822,503,19938,1,"2017"
"GW3004","21GOWN",4.63602543901594,0.966261200139647,497,19204,1,"2021"
"GW3004","22GOWN",4.80316148868736,0.983134766254607,345,16719,2,"2022"
"GW3004","24GOWN",4.83087617486471,0.969801939763048,601,8292,1,"2024"
"GW3026","17GOWN",5.75148168974459,0.994563867835306,589,13318,1,"2017"
"GW3026","21GOWN",6.67127391352806,0.997787896969592,1417,42158,1,"2021"
"GW3026","22GOWN",3.57553567178842,0.949220774535945,117,9306,1,"2022"
"GW3026","24GOWN",6.07661914532362,0.99061171181119,3173,150783,1,"2024"
"GW3104","17GOWN",5.22110433840236,0.990111133464654,459,12317,1,"2017"
"GW3104","21GOWN",5.34024116988992,0.986765118758667,594,17775,1,"2021"
"GW3104","22GOWN",4.14437942167893,0.954806604678653,298,13622,1,"2022"
"GW3104","24GOWN",5.54962995822715,0.989070616181936,694,12791,1,"2024"
"GW379","17GOWN",6.08915495120192,0.996526568422221,842,13957,1,"2017"
"GW379","21GOWN",6.23928274529501,0.99654428921417,1074,22967,1,"2021"
"GW379","22GOWN",5.35980832836862,0.990252426504,479,13299,1,"2022"
"GW379","24GOWN",6.54541517221674,0.993380042800356,4999,176732,1,"2024"
"GW381","17GOWN",5.48199046147139,0.99297241007304,730,21554,1,"2017"
"GW381","21GOWN",5.41026569768918,0.990562233092052,540,17969,1,"2021"
"GW381","22GOWN",4.63583808528118,0.984231223750349,231,7851,1,"2022"
"GW381","24GOWN",6.25126764104077,0.994867286347239,3310,161013,1,"2024"
"GW760","17GOWN",3.67727047183111,0.949667437636513,240,17246,1,"2017"
"GW760","21GOWN",4.12677039982199,0.95830932579775,446,27296,1,"2021"
"GW760","22GOWN",2.90888313378174,0.889318062441549,118,7434,1,"2022"
"GW760","24GOWN",3.18160789663253,0.887544536989185,570,41434,1,"2024"
"GW983","17GOWN",5.4512574594973,0.991967206377184,781,38054,1,"2017"
"GW983","21GOWN",6.19692364378414,0.994764845175172,1150,37306,1,"2021"
"GW983","22GOWN",4.08033683365266,0.962129661506609,217,6722,1,"2022"
"GW983","24GOWN",5.51385822205384,0.989206481747141,3672,238794,1,"2024"
"GW986","17GOWN",4.16715020065839,0.978050305492054,213,14660.3333333333,3,"2017"
"GW986","21GOWN",5.29675991328531,0.991090994280571,581,28655,1,"2021"
"GW986","22GOWN",4.33444516772604,0.979152800201829,145,3677,1,"2022"
"GW986","24GOWN",3.46328874507133,0.885633836094485,148,1377,1,"2024"
