"Run","Sample","Shannon","Simpson","Observed_ASVs","Total_Reads","GW","Year","Primer"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE065-GW3004_20180807_S29",4.3159074936234,0.969245487573822,503,19938,"GW3004","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE079-GW3104_20180807_S46",5.22110433840236,0.990111133464654,459,12317,"GW3104","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE084-GW983_20180807_S60",5.4512574594973,0.991967206377184,781,38054,"GW983","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE096-GW117_20180807_S94",4.80418873763492,0.986706448431836,290,9141,"GW117","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE102-GW3026_20180807_S48",5.75148168974459,0.994563867835306,589,13318,"GW3026","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE104-GW760_20180807_S18",3.67727047183111,0.949667437636513,240,17246,"GW760","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE108-GW379_20180807_S122",6.08915495120192,0.996526568422221,842,13957,"GW379","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE120-GW218_20180807_S145",3.68503382832589,0.959729803929034,277,22344,"GW218","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE121-GW986_20180807_S147",4.12031948026645,0.977568012938604,173,11748,"GW986","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE122-GW986_20180807_S142",4.20274595989627,0.97860902472395,233,15304,"GW986","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE123-GW986_20180807_S148",4.17838516181245,0.977973878813609,233,16929,"GW986","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE138-GW381_20180807_S73",5.48199046147139,0.99297241007304,730,21554,"GW381","17GOWN","BACT"
"run210917-DMO_2021","DMO_21GOWN_BACT-L1-GW986_20210917_S223",5.29675991328531,0.991090994280571,581,28655,"GW986","21GOWN","BACT"
"run210917-DMO_2021","DMO_21GOWN_BACT-L2-GW218_20210917_S224",4.23957790378903,0.979472523807749,193,9269,"GW218","21GOWN","BACT"
"run210917-DMO_2021","DMO_21GOWN_BACT-L5-GW760_20211115_S343",4.12677039982199,0.95830932579775,446,27296,"GW760","21GOWN","BACT"
"run210917-DMO_2021","DMO_21GOWN_BACT-L6-GW3026_20211115_S344",6.67127391352806,0.997787896969592,1417,42158,"GW3026","21GOWN","BACT"
"run210917-DMO_2021","DMO_21GOWN_BACT-L7-GW983_20211115_S345",6.19692364378414,0.994764845175172,1150,37306,"GW983","21GOWN","BACT"
"run210917-DMO_2021","DMO_21GOWN_BACT-L8-GW117_20211115_S346",6.72827164075525,0.998375330012993,1321,44770,"GW117","21GOWN","BACT"
"run210917-DMO_2021","DMO_21GOWN_BACT-M1-GW3004_20210917_S227",4.63602543901594,0.966261200139647,497,19204,"GW3004","21GOWN","BACT"
"run210917-DMO_2021","DMO_21GOWN_BACT-M2-GW3104_20210917_S228",5.34024116988992,0.986765118758667,594,17775,"GW3104","21GOWN","BACT"
"run210917-DMO_2021","DMO_21GOWN_BACT-M7-GW381_20210917_S233",5.41026569768918,0.990562233092052,540,17969,"GW381","21GOWN","BACT"
"run210917-DMO_2021","DMO_21GOWN_BACT-O13-GW379_20210917_S247",6.23928274529501,0.99654428921417,1074,22967,"GW379","21GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G1-GW986_20230321_S191",4.33444516772604,0.979152800201829,145,3677,"GW986","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G10-GW760_20230321_S200",2.90888313378174,0.889318062441549,118,7434,"GW760","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G15-GW218_20230321_S205",5.32635343255831,0.99056236875233,500,17905,"GW218","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G6-GW3026_20230321_S196",3.57553567178842,0.949220774535945,117,9306,"GW3026","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G7-GW983_20230321_S197",4.08033683365266,0.962129661506609,217,6722,"GW983","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G9-GW117_20230321_S199",5.23505175617816,0.989899603959824,393,12456,"GW117","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-N21-GW3004_20230321_S174",4.77521134717685,0.978792223749801,361,16038,"GW3004","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-N23-GW3004_20230321_S176",4.83111163019787,0.987477308759413,329,17400,"GW3004","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-N24-GW3104_20230321_S177",4.14437942167893,0.954806604678653,298,13622,"GW3104","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-N34-GW381_20230321_S187",4.63583808528118,0.984231223750349,231,7851,"GW381","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-S11-GW379_20230321_S225",5.35980832836862,0.990252426504,479,13299,"GW379","22GOWN","BACT"
"run240806-LB_23-24","LB_24GOWN_BACT-L27-GW760_20240806_S219",3.18160789663253,0.887544536989185,570,41434,"GW760","24GOWN","BACT"
"run240806-LB_23-24","LB_24GOWN_BACT-L29-GW3004_20240806_S221",4.83087617486471,0.969801939763048,601,8292,"GW3004","24GOWN","BACT"
"run240806-LB_23-24","LB_24GOWN_BACT-L37-GW986_20240806_S229",3.46328874507133,0.885633836094485,148,1377,"GW986","24GOWN","BACT"
"run240806-LB_23-24","LB_24GOWN_BACT-L42-GW218_20240806_S234",3.03404524984871,0.884316335739325,674,134752,"GW218","24GOWN","BACT"
"run240806-LB_23-24","LB_24GOWN_BACT-L44-GW3104_20240806_S236",5.54962995822715,0.989070616181936,694,12791,"GW3104","24GOWN","BACT"
"run251210-GLC_2024","GLC_24GOWN_BACT-P14-GW117_20251021_S263",7.19860687654926,0.997560911920609,6043,327419,"GW117","24GOWN","BACT"
"run251210-GLC_2024","GLC_24GOWN_BACT-P21-GW983_20251021_S270",5.51385822205384,0.989206481747141,3672,238794,"GW983","24GOWN","BACT"
"run251210-GLC_2024","GLC_24GOWN_BACT-P50-GW381_20251021_S301",6.25126764104077,0.994867286347239,3310,161013,"GW381","24GOWN","BACT"
"run251210-GLC_2024","GLC_24GOWN_BACT-P52-GW379_20251021_S303",6.54541517221674,0.993380042800356,4999,176732,"GW379","24GOWN","BACT"
"run251210-GLC_2024","GLC_24GOWN_BACT-P6-GW3026_20251021_S102",6.07661914532362,0.99061171181119,3173,150783,"GW3026","24GOWN","BACT"
