"GW","Year","Shannon","Simpson","Observed_ASVs","Total_Reads","n_samples","Year_plot"
"GW117","17GOWN",4.80418873763492,0.986706448431836,290,9141,1,"2017"
"GW117","22GOWN",5.23505175617816,0.989899603959824,393,12456,1,"2022"
"GW117","24GOWN",7.19860687654926,0.997560911920609,6043,327419,1,"2024"
"GW150","17GOWN",5.65514899046684,0.994570932050677,670,18680,1,"2017"
"GW150","22GOWN",4.17319670127963,0.964622426935826,239,17723,1,"2022"
"GW150","24GOWN",5.86916349958346,0.992589927941958,3131,129754,1,"2024"
"GW218","17GOWN",3.68503382832589,0.959729803929034,277,22344,1,"2017"
"GW218","22GOWN",5.32635343255831,0.99056236875233,500,17905,1,"2022"
"GW218","24GOWN",3.03404524984871,0.884316335739325,674,134752,1,"2024"
"GW273","17GOWN",4.91733792564623,0.983206322213343,501,23720,1,"2017"
"GW273","22GOWN",4.32784332943964,0.968637135574688,263,19390,1,"2022"
"GW273","24GOWN",5.12273184094002,0.982109295099363,1815,66012,1,"2024"
"GW275","17GOWN",5.03500929573674,0.98629489459393,407,9015,1,"2017"
"GW275","22GOWN",4.16232474062618,0.968538888906959,201,8802,1,"2022"
"GW275","24GOWN",5.73902583701161,0.991196496835309,2281,131898,1,"2024"
"GW3004","17GOWN",4.3159074936234,0.969245487573822,503,19938,1,"2017"
"GW3004","22GOWN",4.80316148868736,0.983134766254607,345,16719,2,"2022"
"GW3004","24GOWN",4.83087617486471,0.969801939763048,601,8292,1,"2024"
"GW3026","17GOWN",5.75148168974459,0.994563867835306,589,13318,1,"2017"
"GW3026","22GOWN",3.57553567178842,0.949220774535945,117,9306,1,"2022"
"GW3026","24GOWN",6.07661914532362,0.99061171181119,3173,150783,1,"2024"
"GW3104","17GOWN",5.22110433840236,0.990111133464654,459,12317,1,"2017"
"GW3104","22GOWN",4.14437942167893,0.954806604678653,298,13622,1,"2022"
"GW3104","24GOWN",5.54962995822715,0.989070616181936,694,12791,1,"2024"
"GW312","17GOWN",4.54084214722673,0.977577178162125,414,11450,1,"2017"
"GW312","22GOWN",4.48198077038726,0.978149406293827,318,18322,1,"2022"
"GW312","24GOWN",5.6647307202288,0.989124005436121,3078,140087,1,"2024"
"GW313","17GOWN",5.31601439597599,0.992484100274226,412,6719,1,"2017"
"GW313","22GOWN",5.84720766908852,0.993968928884934,732,16673,1,"2022"
"GW313","24GOWN",7.18835470698205,0.997061487901502,4440,95833,1,"2024"
"GW379","17GOWN",6.08915495120192,0.996526568422221,842,13957,1,"2017"
"GW379","22GOWN",5.35980832836862,0.990252426504,479,13299,1,"2022"
"GW379","24GOWN",6.54541517221674,0.993380042800356,4999,176732,1,"2024"
"GW381","17GOWN",5.48199046147139,0.99297241007304,730,21554,1,"2017"
"GW381","22GOWN",4.63583808528118,0.984231223750349,231,7851,1,"2022"
"GW381","24GOWN",6.25126764104077,0.994867286347239,3310,161013,1,"2024"
"GW760","17GOWN",3.67727047183111,0.949667437636513,240,17246,1,"2017"
"GW760","22GOWN",2.90888313378174,0.889318062441549,118,7434,1,"2022"
"GW760","24GOWN",3.18160789663253,0.887544536989185,570,41434,1,"2024"
"GW983","17GOWN",5.4512574594973,0.991967206377184,781,38054,1,"2017"
"GW983","22GOWN",4.08033683365266,0.962129661506609,217,6722,1,"2022"
"GW983","24GOWN",5.51385822205384,0.989206481747141,3672,238794,1,"2024"
"GW985","17GOWN",5.37927317107463,0.991992770367774,481,11538,1,"2017"
"GW985","22GOWN",4.41598418914689,0.979730938815203,214,6649,1,"2022"
"GW985","24GOWN",5.89718693358474,0.990330838605319,1174,23961,1,"2024"
"GW986","17GOWN",4.16715020065839,0.978050305492054,213,14660.3333333333,3,"2017"
"GW986","22GOWN",4.33444516772604,0.979152800201829,145,3677,1,"2022"
"GW986","24GOWN",3.46328874507133,0.885633836094485,148,1377,1,"2024"
"GW991","17GOWN",3.82249811366012,0.955803814636547,349,19180.3333333333,3,"2017"
"GW991","22GOWN",3.86765906785331,0.959200545195631,213,19536,1,"2022"
"GW991","24GOWN",4.47466898789502,0.975725702562718,2170,147338,1,"2024"
