"Run","Sample","Shannon","Simpson","Observed_ASVs","Total_Reads","GW","Year","Primer"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE065-GW3004_20180807_S29",4.3159074936234,0.969245487573822,503,19938,"GW3004","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE066-GW150_20180807_S55",5.65514899046684,0.994570932050677,670,18680,"GW150","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE074-GW312_20180807_S76",4.54084214722673,0.977577178162125,414,11450,"GW312","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE075-GW991_20180807_S139",3.81559481031042,0.956522852260944,351,21046,"GW991","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE076-GW991_20180807_S140",3.87404860608168,0.956816735239826,364,19295,"GW991","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE077-GW991_20180807_S141",3.77785092458826,0.95407185640887,332,17200,"GW991","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE079-GW3104_20180807_S46",5.22110433840236,0.990111133464654,459,12317,"GW3104","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE084-GW983_20180807_S60",5.4512574594973,0.991967206377184,781,38054,"GW983","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE096-GW117_20180807_S94",4.80418873763492,0.986706448431836,290,9141,"GW117","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE102-GW3026_20180807_S48",5.75148168974459,0.994563867835306,589,13318,"GW3026","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE104-GW760_20180807_S18",3.67727047183111,0.949667437636513,240,17246,"GW760","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE108-GW379_20180807_S122",6.08915495120192,0.996526568422221,842,13957,"GW379","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE111-GW985_20180807_S62",5.37927317107463,0.991992770367774,481,11538,"GW985","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE115-GW313_20180807_S40",5.31601439597599,0.992484100274226,412,6719,"GW313","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE120-GW218_20180807_S145",3.68503382832589,0.959729803929034,277,22344,"GW218","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE121-GW986_20180807_S147",4.12031948026645,0.977568012938604,173,11748,"GW986","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE122-GW986_20180807_S142",4.20274595989627,0.97860902472395,233,15304,"GW986","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE123-GW986_20180807_S148",4.17838516181245,0.977973878813609,233,16929,"GW986","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE136-GW273_20180807_S84",4.91733792564623,0.983206322213343,501,23720,"GW273","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE137-GW275_20180807_S88",5.03500929573674,0.98629489459393,407,9015,"GW275","17GOWN","BACT"
"run180807-ERU_16-17","ERU_17GOWN_BACT-BE138-GW381_20180807_S73",5.48199046147139,0.99297241007304,730,21554,"GW381","17GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G1-GW986_20230321_S191",4.33444516772604,0.979152800201829,145,3677,"GW986","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G10-GW760_20230321_S200",2.90888313378174,0.889318062441549,118,7434,"GW760","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G15-GW218_20230321_S205",5.32635343255831,0.99056236875233,500,17905,"GW218","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G18-GW273_20230321_S208",4.32784332943964,0.968637135574688,263,19390,"GW273","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G19-GW275_20230321_S209",4.16232474062618,0.968538888906959,201,8802,"GW275","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G2-GW985_20230321_S192",4.41598418914689,0.979730938815203,214,6649,"GW985","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G6-GW3026_20230321_S196",3.57553567178842,0.949220774535945,117,9306,"GW3026","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G7-GW983_20230321_S197",4.08033683365266,0.962129661506609,217,6722,"GW983","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-G9-GW117_20230321_S199",5.23505175617816,0.989899603959824,393,12456,"GW117","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-N11-GW312_20230321_S164",4.48198077038726,0.978149406293827,318,18322,"GW312","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-N12-GW313_20230321_S165",5.84720766908852,0.993968928884934,732,16673,"GW313","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-N19-GW991_20230321_S172",3.86765906785331,0.959200545195631,213,19536,"GW991","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-N21-GW3004_20230321_S174",4.77521134717685,0.978792223749801,361,16038,"GW3004","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-N23-GW3004_20230321_S176",4.83111163019787,0.987477308759413,329,17400,"GW3004","22GOWN","BACT"
"run230321-DMO_2022","DMO_22GOWN_BACT-N24-GW3104_20230321_S177",4.14437942167893,0.954806604678653,298,13622,"GW3104","22GOWN","BACT"
