"","20GWC20082-GOWN113","22GWC22040-GOWN3026","22GWC22042-GOWN983","22GWC22050-GOWN117","21GWC21030-GOWN265","21GWC21030-GOWN265-ST","AOB-NOB-GOWN983","21GWO10014-01-GOWN246"
"OTU_1",0,0,0,0,0,0,0,0
"OTU_2",5.21,10.06,3.76,10.69,15.96,1.28,2.05,1.03
"OTU_3",92.25,22.58,41.11,77.58,69.84,38.8,42.94,19.66
"OTU_4",0.24,1.57,0.98,1.36,0.19,0,0.18,0
"OTU_5",1.4,2.57,1.7,2.32,1.5,0,0,0
"OTU_6",0,0,0,0,0,0,0,0
"OTU_7",0,0,0,0,0,0,0,0
"OTU_8",0,0,0,0,0,0,0,0
"OTU_9",10.48,9.5,3.73,43.28,3.8,0.2,1.82,3.1
"OTU_10",0.79,1,0.77,1.24,1,0,0,1.06
"OTU_11",1.96,19.23,4.68,0.81,0.66,1.65,2.04,0.74
"OTU_12",1.85,3.58,2.27,3.93,1.48,0,0.26,0
"OTU_13",1.76,1.16,1.17,2.26,3.22,0.65,0,1.26
"OTU_14",5.45,2.37,0.66,2.69,1.62,0,0,0.46
"OTU_15",6.9,3.02,4.94,5.88,7.08,0,0.91,3.57
"OTU_16",0.74,0.57,0.59,0.53,0,0,0.07,0
"OTU_17",4.11,4.5,1.71,2.06,9.88,0,1.24,1.31
"OTU_18",0.85,0.52,0.44,0,0.85,0.4,0,0.21
"OTU_19",0.07,0.06,0.06,0.13,0.07,0,0,0
"OTU_20",1.29,0.61,0.2,0,0.52,0,0,0
"OTU_21",1.35,0.49,0.78,2.26,0.58,0,0,0
"OTU_22",0.78,0.66,1.06,0.67,0,0,0.39,0
"OTU_23",1.23,0.67,0.72,2,2.04,0.52,0,0.45
"OTU_24",0.65,0.13,0,1.07,0,0,0,0
"OTU_25",3.05,3.25,1.91,2.28,1.03,0,0,0.3
"OTU_26",0.01,0,0,0,0.13,0,0,0
"OTU_27",0.06,0.2,0,0.19,0,0,0,0
"OTU_28",1.12,1.9,0.88,1.91,1.49,0,0,0.07
"OTU_29",0.32,0,0,0.39,0,0,0,0
"OTU_30",0.55,1.95,0.45,1.76,0,0,0,0
"OTU_31",0.19,0,0,0.32,0,0,0,0
"OTU_32",0,0,0,0,0,0,0,0
"OTU_33",0,0,0,0,0,0,0,0
"OTU_34",0,0,0,0,0,0,0,0
"OTU_35",0,0,0,0,0,0,0,0
"OTU_36",0,0,0,0,0,0,0,0
"OTU_37",0,0,0,0,0,0,0,0
"OTU_38",0,0,0,0,0,0,0,0
"OTU_39",0,0,0,0,0,0,0,0
"OTU_40",0,0,0,0,0,0,0,0
"OTU_41",0,0,0,0,0,0,0,0
"OTU_42",0,0,0,0,0,0,0,0
"OTU_43",0,0,0,0,0,0,0,0
"OTU_44",0,0,0,0,0,0,0,0
"OTU_45",0.42,0.41,0,0,0.3,0,0,0
"OTU_46",0.55,0,0.43,0,0,0,0,0
"OTU_47",0,0,0,0,0,0,0,0
"OTU_48",3.54,3.01,1.27,6.9,0.9,0,0.67,0
"OTU_49",1.09,1.08,0.56,1.01,0,0,0,0
"OTU_50",0,0.3,0.37,0.73,0,0,0,0
"OTU_51",15.33,8.74,2.92,38.72,0.52,0,0.9,2.23
"OTU_52",10.55,41.43,4.65,29.59,0.59,0,2.57,2.17
"OTU_53",2.06,1.51,0.84,3.62,0,0,0,0.13
"OTU_54",9.82,17.1,3.51,19.86,0,0,2.22,0.32
"OTU_55",2.89,0.67,0,8.02,0,0,0,0
"OTU_56",2.59,0,0,1.86,0,0,0,0
"OTU_57",0.22,0.46,0,0.46,0.57,0.07,0,0
"OTU_58",0.13,0.13,0,0.95,0,0,0,0
"OTU_59",0,0,0,0,0,0,0,0
"OTU_60",2.13,0.26,0,0.35,0,0,0,5.07
"OTU_61",6.75,43.02,17.66,8.23,5.08,47.34,26.49,0.69
"OTU_62",2.94,48.42,17.96,6.14,4.62,6.68,19.25,0
"OTU_63",1,1.73,1.29,0.45,1.29,0,0,0
"OTU_64",0.71,1.16,0.71,1.32,0.14,0,0.14,0
"OTU_65",0.78,0,0,0.13,0,0,0,0
"OTU_66",2.65,3.89,1.42,2.6,1.72,0.51,1.67,0.14
"OTU_67",0,0,0,0.13,0.58,0,0,0.06
"OTU_68",0,0,0,0,0,0,0,0
"OTU_69",0,0,0,0,0,0,0,0
"OTU_70",10.98,5.92,1.7,18.41,0.4,0,0,0.41
"OTU_71",4.97,1.55,3.21,3.44,1.96,0,0,0.98
"OTU_72",0.25,0,0,0.77,0,0,0,0
"OTU_73",0,0,0,0,0,0,0,0
"OTU_74",0,0,0,0,0,0,0,0
"OTU_75",0,0,0.06,0.13,0,0,0,0
"OTU_76",0,0,0,0.07,0,0,0,0
"OTU_77",0,0,0,0,0,0,0,0
