"","ASVs","Kingdom","Phylum","Class","Order","Family","Genus","C1","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C24","C3","C4","C5","C8","C9","E1","E10","E11","E12","E13","E14","E15","E16","E17","E18","E19","E2","E20","E21","E22","E23","E24","E6","E9"
"1","ASV21","Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanosarcinaceae","ANME-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,185,8,0,0,0,0
"2","ASV23","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","GW2011","AR15",0,0,0,89,0,44,0,0,0,0,0,8,0,75,0,6,0,0,0,0,13,4,0,98,9,10,0,0,8,62,0,0,0,7,0,0,0,0
"3","ASV24","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","GW2011","AR20",0,0,0,0,0,465,0,0,0,0,0,7,5,241,0,334,0,0,0,0,0,0,0,12,0,20,40,0,0,0,0,0,0,0,0,0,0,0
"4","ASV43","Archaea","Aenigmarchaeota","Aenigmarchaeia","Aenigmarchaeales","Aenigmarchaeales","Aenigmarchaeales",0,0,0,0,0,0,0,0,0,0,0,37,8,0,108,0,0,0,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"5","ASV80","Archaea","Archaea","Archaea","Archaea","Archaea","Archaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,41,0,0,0,0,0,0,0,0,0,0,0,0
"6","ASV114","Archaea","Thermoproteota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia",0,0,7,0,0,0,8,70,0,0,0,79,25,0,0,0,0,0,0,0,14,803,34,0,0,187,72,18,0,0,0,0,0,1560,8,211,0,0
"7","ASV131","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Incertae Sedis","CG1-02-57-44",0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0
"8","ASV132","Archaea","Micrarchaeota","Micrarchaeia","Micrarchaeales","Incertae Sedis","CG1_02_55_22",0,0,0,42,60,220,0,0,0,0,0,7,0,6,0,48,0,0,3,0,13,46,0,127,108,90,102,23,22,60,0,0,0,4,0,0,0,0
"9","ASV133","Archaea","Micrarchaeota","Micrarchaeia","Micrarchaeales","Incertae Sedis","CG1_02_55_41",0,0,0,12,41,25,0,0,0,0,0,45,47,140,0,15,10,0,0,0,0,0,0,515,89,450,7,0,0,200,0,0,0,109,2,0,0,0
"10","ASV149","Archaea","Altiarchaeota","Altiarchaeia","Altiarchaeales","Altiarchaeaceae","Candidatus Altiarchaeum",0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,12,0,0,0,180,0,0,0,0,0,0,0,47,0,0,0,0
"11","ASV170","Archaea","Iainarchaeota","Iainarchaeia","Iainarchaeales","Iainarchaeaceae","Candidatus Iainarchaeum",0,0,0,2,70,209,15,0,0,0,0,112,0,405,5,48,0,0,4,0,0,4,0,103,140,454,214,3,5,46,5,0,0,33,0,0,0,0
"12","ASV181","Archaea","Methanobacteriota","Thermococci","Methanofastidiosales","Methanofastidiosaceae","Candidatus Methanofastidiosum",0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"13","ASV182","Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanoperedenaceae","Candidatus Methanoperedens",0,0,0,24,382,0,5,0,0,15,750,0,675,0,10,0,0,0,205,0,6,0,0,0,109,0,0,7,6,0,22,0,0,22,0,0,97,0
"14","ASV188","Archaea","Thermoproteota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrosocosmicus",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
"15","ASV189","Archaea","Thermoproteota","Nitrososphaeria","Nitrosotaleales","Nitrosotaleaceae","Candidatus Nitrosotalea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","ASV263","Archaea","Aenigmarchaeota","Deep Sea Euryarchaeotic Group(DSEG)","Deep Sea Euryarchaeotic Group(DSEG)","Deep Sea Euryarchaeotic Group(DSEG)","Deep Sea Euryarchaeotic Group(DSEG)",0,0,0,0,7,99,0,0,0,0,0,0,20,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","ASV361","Archaea","Nanoarchaeota","Nanoarchaeia","Pacearchaeales","Incertae Sedis","GW2011_GWC1_47_15",0,0,0,26,324,481,7,15,0,20,0,910,68,408,0,133,0,0,37,14,6,18,81,513,74,1834,4,21,11,24,0,0,0,1095,11,16,0,0
"18","ASV388","Archaea","Thermoproteota","Nitrososphaeria","Group 1.1c","Group 1.1c","Group 1.1c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","ASV391","Archaea","Hadarchaeota","Hadarchaeia","Hadarchaeales","Hadarchaeaceae","Hadarchaeum",0,0,5,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,8,0,19,0,0,0,24,0,0,0,0,0,0,0,227,5,44,0,0
"20","ASV394","Archaea","Halobacteriota","Halobacteriota","Halobacteriota","Halobacteriota","Halobacteriota",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
