"","ASVs","Domain","Phylum","Class","Order","Family","Genus","C1","C3","C4","C5","C8","C9","C10","C12","C13","C15","C17","C18","C19","C20","C21","C24","E1","E2","E6","E9","E10","E14","E19","E21","E23"
"1","ASV1"," d__Eukaryota"," Amoebozoa"," Amoebozoa"," Amoebozoa"," Amoebozoa"," Amoebozoa",1,11,17,33,17,5,9,12,0,26,3,1,0,6,10,69,11,7,27,0,9,18,8,7,3
"2","ASV2"," d__Eukaryota"," Cryptophyceae"," Cryptophyceae"," Cryptophyceae"," Cryptophyceae"," Cryptophyceae",3,10,77,8,1,9,1,17,6,10,3,10,12,26,27,215,0,3,3,0,8,157,14,6,2
"3","ASV3"," d__Eukaryota"," Fungi"," Fungi"," Fungi"," Fungi"," Fungi",14,21,139,40,22,42,173,60,125,78,31,73,11,58,57,212,94,86,100,54,162,540,104,29,32
"4","ASV4"," d__Eukaryota"," Glaucocystophyceae"," Glaucocystophyceae"," Glaucocystophyceae"," Glaucocystophyceae"," Glaucocystophyceae",1,0,58,6,5,1,3,4,10,2,0,1,0,2,3,15,3,0,5,0,0,30,1,1,0
"5","ASV5"," d__Eukaryota"," Metazoa"," Metazoa"," Metazoa"," Metazoa"," Metazoa",5,20,220,54,29,9,54,45,57,100,12,57,28,60,80,172,29,14,226,22,183,179,68,22,21
"6","ASV6"," d__Eukaryota"," Rhodophyta"," Rhodophyta"," Rhodophyta"," Rhodophyta"," Rhodophyta",4,0,25,8,4,3,7,19,15,9,4,21,3,8,21,114,4,4,7,1,15,77,14,5,3
"7","ASV7"," d__Eukaryota"," Sar"," Sar"," Sar"," Sar"," Sar",13,2,66,7,9,2,13,47,8,21,0,7,3,52,21,108,3,2,5,3,14,102,19,15,3
"8","ASV8"," d__Eukaryota"," Viridiplantae"," Viridiplantae"," Viridiplantae"," Viridiplantae"," Viridiplantae",246,74,1727,428,377,86,862,714,436,446,64,1291,1841,1097,461,1763,58,136,692,726,1004,3112,628,380,314
"9","ASV9"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," c__ABY1"," c__ABY1"," c__ABY1",2,1,238,8,0,0,1,14,127,14,0,74,44,27,52,256,0,1,4,0,22,776,30,13,2
"10","ASV10"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," c__Acidimicrobiia"," c__Acidimicrobiia"," c__Acidimicrobiia",1,0,1,0,1,0,0,19,0,1,0,0,0,1,0,4,0,0,2,0,0,49,18,0,0
"11","ASV11"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," c__Actinomycetes"," c__Actinomycetes"," c__Actinomycetes",21,0,13,155,8,5,1,73,101,13,8,20,0,2,14,202,250,5,76,3,25,81,268,9,100
"12","ASV12"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," c__Alphaproteobacteria"," c__Alphaproteobacteria"," c__Alphaproteobacteria",127,53,626,359,125,89,24,563,125,629,5,340,15,8,162,248,298,5,193,7,257,137,318,146,273
"13","ASV13"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," c__Bacteroidia"," c__Bacteroidia"," c__Bacteroidia",27,19,17,38,57,26,28,27,35,20,1,56,6,11,33,33,6,9,35,10,24,44,161,33,6
"14","ASV15"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," c__Coriobacteriia"," c__Coriobacteriia"," c__Coriobacteriia",12,0,0,3,7,2,0,4,0,4,8,0,3,0,3,0,0,4,5,2,6,2,6,6,4
