"","Kingdom","Phylum","Class","Order","Family","Genus","DMO-GOWN-C1-20200316","DMO-GOWN-C10-20200316","DMO-GOWN-C11-20200316","DMO-GOWN-C12-20200316","DMO-GOWN-C13-20200316","DMO-GOWN-C14-20200316","DMO-GOWN-C15-20200316","DMO-GOWN-C16-20200316","DMO-GOWN-C17-20200316","DMO-GOWN-C18-20200316","DMO-GOWN-C19-20200316","DMO-GOWN-C20-20200316","DMO-GOWN-C21-20200316","DMO-GOWN-C24-20200316","DMO-GOWN-C3-20200316","DMO-GOWN-C4-20200316","DMO-GOWN-C5-20200316","DMO-GOWN-C8-20200316","DMO-GOWN-C9-20200316","DMO-GOWN-E1-20200316","DMO-GOWN-E10-20200316","DMO-GOWN-E11-20200316","DMO-GOWN-E12-20200316","DMO-GOWN-E13-20200316","DMO-GOWN-E14-20200316","DMO-GOWN-E15-20200316","DMO-GOWN-E16-20200316","DMO-GOWN-E17-20200316","DMO-GOWN-E18-20200316","DMO-GOWN-E19-20200316","DMO-GOWN-E2-20200316","DMO-GOWN-E20-20200316","DMO-GOWN-E21-20200316","DMO-GOWN-E22-20200316","DMO-GOWN-E23-20200316","DMO-GOWN-E24-20200316","DMO-GOWN-E6-20200316","DMO-GOWN-E9-20200316","MDI-GOWN-C1-20200316","MDI-GOWN-C10-20200316","MDI-GOWN-C11-20200316","MDI-GOWN-C12-20200316","MDI-GOWN-C13-20200316","MDI-GOWN-C14-20200316","MDI-GOWN-C15-20200316","MDI-GOWN-C16-20200316","MDI-GOWN-C17-20200316","MDI-GOWN-C18-20200316","MDI-GOWN-C19-20200316","MDI-GOWN-C20-20200316","MDI-GOWN-C21-20200316","MDI-GOWN-C24-20200316","MDI-GOWN-C3-20200316","MDI-GOWN-C4-20200316","MDI-GOWN-C5-20200316","MDI-GOWN-C8-20200316","MDI-GOWN-C9-20200316","MDI-GOWN-E1-20200316","MDI-GOWN-E10-20200316","MDI-GOWN-E11-20200316","MDI-GOWN-E12-20200316","MDI-GOWN-E13-20200316","MDI-GOWN-E14-20200316","MDI-GOWN-E15-20200316","MDI-GOWN-E16-20200316","MDI-GOWN-E17-20200316","MDI-GOWN-E18-20200316","MDI-GOWN-E19-20200316","MDI-GOWN-E2-20200316","MDI-GOWN-E20-20200316","MDI-GOWN-E21-20200316","MDI-GOWN-E22-20200316","MDI-GOWN-E23-20200316","MDI-GOWN-E24-20200316","MDI-GOWN-E6-20200316","MDI-GOWN-E9-20200316"
"ASV1","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","0319-6G20","0319-6G20",0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,176,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"ASV2","Bacteria","Bdellovibrionota","Oligoflexia","053A03-B-DI-P58","053A03-B-DI-P58","053A03-B-DI-P58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,16,0,0,0,0,4,7,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV3","Bacteria","Pseudomonadota","Gammaproteobacteria","1013-28-CG33","1013-28-CG33","1013-28-CG33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV4","Bacteria","Patescibacteria","Parcubacteria","32-520","32-520","32-520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"ASV5","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","37-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV6","Bacteria","Elusimicrobiota","4-29","4-29","4-29","4-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV7","Bacteria","Nitrospirota","4-29-1","4-29-1","4-29-1","4-29-1",4,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,5,93,0,0,9,0,0,0,0,0,8,0,0,15,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
"ASV8","Bacteria","Chloroflexota","Dehalococcoidia","661239","661239","661239",0,0,0,0,0,46,0,0,0,0,0,9,0,48,0,0,0,0,0,0,0,17,0,0,25,39,9,0,0,0,0,0,0,328,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,172,0,0,0,0,0,0,0,28,0,0,17,0,0,0,0,0,0,0,0,25,0,15,0,0
"ASV9","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","67-14","67-14",0,0,0,0,0,6,0,0,0,0,0,7,0,46,0,15,0,0,0,0,0,21,10,84,7,0,34,0,10,14,0,0,0,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,80,0,100,0,0,0,0,17,59,38,34,12,0,77,0,13,5,0,0,0,0,0,0,5,0
"ASV10","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","A0839","A0839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV11","Bacteria","Chloroflexota","Anaerolineae","Aggregatilineales","A4b","A4b",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV12","Bacteria","Balneolota","Balneolia","Balneolales","Balneolaceae","A815",89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV13","Bacteria","Chloroflexota","Dehalococcoidia","GIF9","AB-539-J10","AB-539-J10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV14","Bacteria","Patescibacteria","ABY1","ABY1","ABY1","ABY1",0,0,0,0,7,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,5,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
