"","Domain","Phylum","Class","Order","Family","Genus","19GWC19006-C1-GOWN986--Li17090_S14_L002_R1_paired","19GWC19014-C3-GOWN972--Li16960_S26_L002_R1_paired","19GWC19018-C4-GOWN3026--Li16946_S12_L001_R1_paired","19GWC19019-C5-GOWN983--Li17091_S15_L002_R1_paired","19GWC19024-C8-GOWN980--Li17092_S16_L002_R1_paired","19GWC19026-C9-GOWN218--Li16961_S27_L002_R1_paired","19GWC19028-C10-GOWN114--Li17093_S17_L002_R1_paired","19GWC19036-C12-GOWN137--Li17086_S18_L002_R1_paired","19GWC19038-C13-GOWN144--Li17094_S19_L002_R1_paired","19GWC19041-C15-GOWN150--Li17095_S20_L002_R1_paired","19GWC19045-C17-GOWN265--Li16962_S28_L002_R1_paired","19GWC19047-C18-GOWN139--Li17096_S21_L002_R1_paired","19GWC19048-C19-GOWN142--Li16947_S13_L001_R1_paired","19GWC19049-C20-GOWN123--Li16963_S29_L002_R1_paired","19GWC19053-C21-GOWN760--Li16964_S30_L002_R1_paired","19GWC19059-C24-GOWN117--Li16965_S31_L002_R1_paired","19GWE00021-E1-GOWN449--Li17097_S22_L002_R1_paired","19GWE00050-E2-GOWN991--Li16966_S32_L002_R1_paired","19GWE00506-E6-GOWN200--Li17085_S8_L001_R1_paired","19GWE00515-E9-GOWN33--Li17098_S23_L002_R1_paired","19GWE00520-E10-GOWN1124--Li17087_S9_L001_R1_paired","19GWE00525-E14-GOWN1153--Li17088_S10_L001_R1_paired","19GWE00534-E19-GOWN1117--Li17089_S11_L001_R1_paired","19GWE00537-E21-GOWN62--Li17099_S24_L002_R1_paired","19GWE00545-E23-GOWN186--Li17100_S25_L002_R1_paired"
"ASV1"," d__Eukaryota"," Amoebozoa"," Amoebozoa"," Amoebozoa"," Amoebozoa"," Amoebozoa",1,11,17,33,17,5,9,12,0,26,3,1,0,6,10,69,11,7,27,0,9,18,8,7,3
"ASV2"," d__Eukaryota"," Cryptophyceae"," Cryptophyceae"," Cryptophyceae"," Cryptophyceae"," Cryptophyceae",3,10,77,8,1,9,1,17,6,10,3,10,12,26,27,215,0,3,3,0,8,157,14,6,2
"ASV3"," d__Eukaryota"," Fungi"," Fungi"," Fungi"," Fungi"," Fungi",14,21,139,40,22,42,173,60,125,78,31,73,11,58,57,212,94,86,100,54,162,540,104,29,32
"ASV4"," d__Eukaryota"," Glaucocystophyceae"," Glaucocystophyceae"," Glaucocystophyceae"," Glaucocystophyceae"," Glaucocystophyceae",1,0,58,6,5,1,3,4,10,2,0,1,0,2,3,15,3,0,5,0,0,30,1,1,0
"ASV5"," d__Eukaryota"," Metazoa"," Metazoa"," Metazoa"," Metazoa"," Metazoa",5,20,220,54,29,9,54,45,57,100,12,57,28,60,80,172,29,14,226,22,183,179,68,22,21
"ASV6"," d__Eukaryota"," Rhodophyta"," Rhodophyta"," Rhodophyta"," Rhodophyta"," Rhodophyta",4,0,25,8,4,3,7,19,15,9,4,21,3,8,21,114,4,4,7,1,15,77,14,5,3
"ASV7"," d__Eukaryota"," Sar"," Sar"," Sar"," Sar"," Sar",13,2,66,7,9,2,13,47,8,21,0,7,3,52,21,108,3,2,5,3,14,102,19,15,3
"ASV8"," d__Eukaryota"," Viridiplantae"," Viridiplantae"," Viridiplantae"," Viridiplantae"," Viridiplantae",246,74,1727,428,377,86,862,714,436,446,64,1291,1841,1097,461,1763,58,136,692,726,1004,3112,628,380,314
"ASV9"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," c__ABY1"," c__ABY1"," c__ABY1",2,1,238,8,0,0,1,14,127,14,0,74,44,27,52,256,0,1,4,0,22,776,30,13,2
"ASV10"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," c__Acidimicrobiia"," c__Acidimicrobiia"," c__Acidimicrobiia",1,0,1,0,1,0,0,19,0,1,0,0,0,1,0,4,0,0,2,0,0,49,18,0,0
"ASV11"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," c__Actinomycetes"," c__Actinomycetes"," c__Actinomycetes",21,0,13,155,8,5,1,73,101,13,8,20,0,2,14,202,250,5,76,3,25,81,268,9,100
"ASV12"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," c__Alphaproteobacteria"," c__Alphaproteobacteria"," c__Alphaproteobacteria",127,53,626,359,125,89,24,563,125,629,5,340,15,8,162,248,298,5,193,7,257,137,318,146,273
