"","Creator","Metagenome_Code","Year"
"DMO-GOWN-C1-20200316","DMO","C1",2019
"DMO-GOWN-C10-20200316","DMO","C10",2019
"DMO-GOWN-C12-20200316","DMO","C12",2019
"DMO-GOWN-C13-20200316","DMO","C13",2019
"DMO-GOWN-C15-20200316","DMO","C15",2019
"DMO-GOWN-C17-20200316","DMO","C17",2019
"DMO-GOWN-C18-20200316","DMO","C18",2019
"DMO-GOWN-C19-20200316","DMO","C19",2019
"DMO-GOWN-C20-20200316","DMO","C20",2019
"DMO-GOWN-C21-20200316","DMO","C21",2019
"DMO-GOWN-C24-20200316","DMO","C24",2019
"DMO-GOWN-C3-20200316","DMO","C3",2019
"DMO-GOWN-C4-20200316","DMO","C4",2019
"DMO-GOWN-C5-20200316","DMO","C5",2019
"DMO-GOWN-C8-20200316","DMO","C8",2019
"DMO-GOWN-C9-20200316","DMO","C9",2019
"DMO-GOWN-E1-20200316","DMO","E1",2019
"DMO-GOWN-E10-20200316","DMO","E10",2019
"DMO-GOWN-E14-20200316","DMO","E14",2019
"DMO-GOWN-E19-20200316","DMO","E19",2019
"DMO-GOWN-E2-20200316","DMO","E2",2019
"DMO-GOWN-E21-20200316","DMO","E21",2019
"DMO-GOWN-E23-20200316","DMO","E23",2019
"DMO-GOWN-E6-20200316","DMO","E6",2019
"DMO-GOWN-E9-20200316","DMO","E9",2019
"MDI-GOWN-C1-20200316","MDI","C1",2019
"MDI-GOWN-C10-20200316","MDI","C10",2019
"MDI-GOWN-C12-20200316","MDI","C12",2019
"MDI-GOWN-C13-20200316","MDI","C13",2019
"MDI-GOWN-C15-20200316","MDI","C15",2019
"MDI-GOWN-C17-20200316","MDI","C17",2019
"MDI-GOWN-C18-20200316","MDI","C18",2019
"MDI-GOWN-C19-20200316","MDI","C19",2019
"MDI-GOWN-C20-20200316","MDI","C20",2019
"MDI-GOWN-C21-20200316","MDI","C21",2019
"MDI-GOWN-C24-20200316","MDI","C24",2019
"MDI-GOWN-C3-20200316","MDI","C3",2019
"MDI-GOWN-C4-20200316","MDI","C4",2019
"MDI-GOWN-C5-20200316","MDI","C5",2019
"MDI-GOWN-C8-20200316","MDI","C8",2019
"MDI-GOWN-C9-20200316","MDI","C9",2019
"MDI-GOWN-E1-20200316","MDI","E1",2019
"MDI-GOWN-E10-20200316","MDI","E10",2019
"MDI-GOWN-E14-20200316","MDI","E14",2019
"MDI-GOWN-E19-20200316","MDI","E19",2019
"MDI-GOWN-E2-20200316","MDI","E2",2019
"MDI-GOWN-E21-20200316","MDI","E21",2019
"MDI-GOWN-E23-20200316","MDI","E23",2019
"MDI-GOWN-E6-20200316","MDI","E6",2019
"MDI-GOWN-E9-20200316","MDI","E9",2019
