"","Metagenome_Code","Year"
"19GWC19006-C1-GOWN986--Li17090_S14_L002_R1_paired","C1","2019"
"19GWC19014-C3-GOWN972--Li16960_S26_L002_R1_paired","C3","2019"
"19GWC19018-C4-GOWN3026--Li16946_S12_L001_R1_paired","C4","2019"
"19GWC19019-C5-GOWN983--Li17091_S15_L002_R1_paired","C5","2019"
"19GWC19024-C8-GOWN980--Li17092_S16_L002_R1_paired","C8","2019"
"19GWC19026-C9-GOWN218--Li16961_S27_L002_R1_paired","C9","2019"
"19GWC19028-C10-GOWN114--Li17093_S17_L002_R1_paired","C10","2019"
"19GWC19036-C12-GOWN137--Li17086_S18_L002_R1_paired","C12","2019"
"19GWC19038-C13-GOWN144--Li17094_S19_L002_R1_paired","C13","2019"
"19GWC19041-C15-GOWN150--Li17095_S20_L002_R1_paired","C15","2019"
"19GWC19045-C17-GOWN265--Li16962_S28_L002_R1_paired","C17","2019"
"19GWC19047-C18-GOWN139--Li17096_S21_L002_R1_paired","C18","2019"
"19GWC19048-C19-GOWN142--Li16947_S13_L001_R1_paired","C19","2019"
"19GWC19049-C20-GOWN123--Li16963_S29_L002_R1_paired","C20","2019"
"19GWC19053-C21-GOWN760--Li16964_S30_L002_R1_paired","C21","2019"
"19GWC19059-C24-GOWN117--Li16965_S31_L002_R1_paired","C24","2019"
"19GWE00021-E1-GOWN449--Li17097_S22_L002_R1_paired","E1","2019"
"19GWE00050-E2-GOWN991--Li16966_S32_L002_R1_paired","E2","2019"
"19GWE00506-E6-GOWN200--Li17085_S8_L001_R1_paired","E6","2019"
"19GWE00515-E9-GOWN33--Li17098_S23_L002_R1_paired","E9","2019"
"19GWE00520-E10-GOWN1124--Li17087_S9_L001_R1_paired","E10","2019"
"19GWE00525-E14-GOWN1153--Li17088_S10_L001_R1_paired","E14","2019"
"19GWE00534-E19-GOWN1117--Li17089_S11_L001_R1_paired","E19","2019"
"19GWE00537-E21-GOWN62--Li17099_S24_L002_R1_paired","E21","2019"
"19GWE00545-E23-GOWN186--Li17100_S25_L002_R1_paired","E23","2019"
