"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV1","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","0319-6G20","0319-6G20"
"ASV2","Bacteria","Bdellovibrionota","Oligoflexia","053A03-B-DI-P58","053A03-B-DI-P58","053A03-B-DI-P58"
"ASV3","Bacteria","Pseudomonadota","Gammaproteobacteria","1013-28-CG33","1013-28-CG33","1013-28-CG33"
"ASV4","Bacteria","Patescibacteria","Parcubacteria","32-520","32-520","32-520"
"ASV5","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","37-13"
"ASV6","Bacteria","Elusimicrobiota","4-29","4-29","4-29","4-29"
"ASV7","Bacteria","Nitrospirota","4-29-1","4-29-1","4-29-1","4-29-1"
"ASV8","Bacteria","Chloroflexota","Dehalococcoidia","661239","661239","661239"
"ASV9","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","67-14","67-14"
"ASV10","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","A0839","A0839"
"ASV11","Bacteria","Chloroflexota","Anaerolineae","Aggregatilineales","A4b","A4b"
"ASV12","Bacteria","Balneolota","Balneolia","Balneolales","Balneolaceae","A815"
"ASV13","Bacteria","Chloroflexota","Dehalococcoidia","GIF9","AB-539-J10","AB-539-J10"
"ASV14","Bacteria","Patescibacteria","ABY1","ABY1","ABY1","ABY1"
"ASV15","Bacteria","Chloroflexota","AD3","AD3","AD3","AD3"
"ASV16","Bacteria","Chloroflexota","Anaerolineae","ADurb.Bin180","ADurb.Bin180","ADurb.Bin180"
"ASV17","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","ADurb.Bin408","ADurb.Bin408"
"ASV18","Bacteria","Gemmatimonadota","AKAU4049","AKAU4049","AKAU4049","AKAU4049"
"ASV19","Bacteria","Chloroflexota","Chloroflexia","Thermomicrobiales","AKYG1722","AKYG1722"
"ASV20","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","AKYH767"
"ASV21","Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanosarcinaceae","ANME-3"
"ASV22","Bacteria","Acetothermia","Acetothermiia","Incertae Sedis","Incertae Sedis","AOM-SR-B11"
"ASV23","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","GW2011","AR15"
"ASV24","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","GW2011","AR20"
"ASV25","Bacteria","Acidobacteriota","AT-s3-28","AT-s3-28","AT-s3-28","AT-s3-28"
"ASV26","Bacteria","Abditibacteriota","Abditibacteriia","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"ASV27","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)"
"ASV28","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Ac37b"
"ASV29","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacteraceae"
"ASV30","Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Acetobacterium"
"ASV31","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Acidaminobacteraceae","Acidaminobacter"
"ASV32","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidiferrimicrobium"
"ASV33","Bacteria","Pseudomonadota","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Acidiferrobacteraceae"
"ASV34","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidimicrobiaceae"
"ASV35","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiia","Acidimicrobiia","Acidimicrobiia"
"ASV36","Bacteria","Acidobacteriota","Acidobacteriota","Acidobacteriota","Acidobacteriota","Acidobacteriota"
"ASV37","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"ASV38","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV39","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Actimicrobium"
