"","Domain","Phylum","Class","Order","Family","Genus"
"ASV1"," d__Eukaryota"," Amoebozoa"," Amoebozoa"," Amoebozoa"," Amoebozoa"," Amoebozoa"
"ASV2"," d__Eukaryota"," Cryptophyceae"," Cryptophyceae"," Cryptophyceae"," Cryptophyceae"," Cryptophyceae"
"ASV3"," d__Eukaryota"," Fungi"," Fungi"," Fungi"," Fungi"," Fungi"
"ASV4"," d__Eukaryota"," Glaucocystophyceae"," Glaucocystophyceae"," Glaucocystophyceae"," Glaucocystophyceae"," Glaucocystophyceae"
"ASV5"," d__Eukaryota"," Metazoa"," Metazoa"," Metazoa"," Metazoa"," Metazoa"
"ASV6"," d__Eukaryota"," Rhodophyta"," Rhodophyta"," Rhodophyta"," Rhodophyta"," Rhodophyta"
"ASV7"," d__Eukaryota"," Sar"," Sar"," Sar"," Sar"," Sar"
"ASV8"," d__Eukaryota"," Viridiplantae"," Viridiplantae"," Viridiplantae"," Viridiplantae"," Viridiplantae"
"ASV9"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," c__ABY1"," c__ABY1"," c__ABY1"
"ASV10"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," c__Acidimicrobiia"," c__Acidimicrobiia"," c__Acidimicrobiia"
"ASV11"," d__Bacteria"," p__Actinomycetota"," c__Actinomycetes"," c__Actinomycetes"," c__Actinomycetes"," c__Actinomycetes"
"ASV12"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," c__Alphaproteobacteria"," c__Alphaproteobacteria"," c__Alphaproteobacteria"
"ASV13"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," c__Bacteroidia"," c__Bacteroidia"," c__Bacteroidia"
"ASV14"," d__Bacteria"," p__Chloroflexota"," c__Chloroflexia"," c__Chloroflexia"," c__Chloroflexia"," c__Chloroflexia"
"ASV15"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," c__Coriobacteriia"," c__Coriobacteriia"," c__Coriobacteriia"
"ASV16"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," c__Dehalococcoidia"," c__Dehalococcoidia"," c__Dehalococcoidia"
"ASV17"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," c__Gammaproteobacteria"," c__Gammaproteobacteria"," c__Gammaproteobacteria"
"ASV18"," d__Archaea"," p__Micrarchaeota"," c__Micrarchaeia"," c__Micrarchaeia"," c__Micrarchaeia"," c__Micrarchaeia"
"ASV19"," d__Bacteria"," p__Patescibacteria"," c__Microgenomatia"," c__Microgenomatia"," c__Microgenomatia"," c__Microgenomatia"
"ASV20"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," c__Paceibacteria"," c__Paceibacteria"," c__Paceibacteria"
"ASV21"," d__Bacteria"," p__Acidobacteriota"," c__Terriglobia"," c__Terriglobia"," c__Terriglobia"," c__Terriglobia"
"ASV22"," d__Bacteria"," p__Nitrospirota"," c__Thermodesulfovibrionia"," c__Thermodesulfovibrionia"," c__Thermodesulfovibrionia"," c__Thermodesulfovibrionia"
"ASV23"," d__Archaea"," d__Archaea"," d__Archaea"," d__Archaea"," d__Archaea"," d__Archaea"
"ASV24"," d__Bacteria"," d__Bacteria"," d__Bacteria"," d__Bacteria"," d__Bacteria"," d__Bacteria"
"ASV25"," d__Eukaryota"," d__Eukaryota"," d__Eukaryota"," d__Eukaryota"," d__Eukaryota"," d__Eukaryota"
"ASV26"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Acetobacterales"," f__Acetobacteraceae"," f__Acetobacteraceae"
"ASV27"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Anaerosomatales"," f__Anaerosomataceae"," f__Anaerosomataceae"
"ASV28"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Peptostreptococcales"," f__Anaerovoracaceae"," f__Anaerovoracaceae"
"ASV29"," d__Archaea"," p__Halobacteriota"," c__Archaeoglobi"," o__Archaeoglobales"," f__Archaeoglobaceae"," f__Archaeoglobaceae"
"ASV30"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Coriobacteriales"," f__Atopobiaceae"," f__Atopobiaceae"
"ASV31"," d__Bacteria"," p__Desulfobacterota_C"," c__Deferrisomatia"," o__Deferrisomatales"," f__BM512"," f__BM512"
"ASV32"," d__Bacteria"," p__Bacteroidota"," c__UBA10030"," o__UBA10030"," f__BY39"," f__BY39"
"ASV33"," d__Bacteria"," p__Bacteroidota"," c__Rhodothermia"," o__Balneolales"," f__Balneolaceae"," f__Balneolaceae"
"ASV34"," d__Bacteria"," p__Acidobacteriota"," c__Terriglobia"," o__Bryobacterales"," f__Bryobacteraceae"," f__Bryobacteraceae"
"ASV35"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," f__Burkholderiaceae"
"ASV36"," d__Bacteria"," p__CSP1-3"," c__CSP1-3"," o__CSP1-3"," f__CSP1-3"," f__CSP1-3"
