"","OTUs","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C3","C4","C5","C8","C9","C10","C12","C13","C15","C17","C18","C19","C20","C21","C24","E1","E2","E6","E9","E10","E14","E19","E21","E23"
"1","uOTU_1","d__Unassigned","d__Unassigned","d__Unassigned","d__Unassigned","d__Unassigned","d__Unassigned","d__Unassigned",53,26,260,77,47,54,28,170,113,80,42,82,94,202,73,446,74,55,80,48,227,909,137,131,22
"2","aOTU_2","d__Archaea","d__Archaea","d__Archaea","d__Archaea","d__Archaea","d__Archaea","d__Archaea",412,68,211,26,16,128,188,104,210,44,218,89,119,260,91,697,68,84,75,97,156,1182,234,84,37
"3","aOTU_3","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__Aenigmatarchaeales","f__Aenigmatarchaeaceae","g__CS1-C013","g__CS1-C013",1,7,3,1,1,1,0,12,4,2,0,0,2,0,9,1,5,1,4,0,1,6,1,1,0
"4","aOTU_4","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__Aenigmatarchaeales","f__Aenigmatarchaeaceae","g__JAFGAZ01","g__JAFGAZ01",4,1,0,1,0,1,1,1,6,10,0,1,0,2,4,6,0,1,2,0,7,24,2,0,5
"5","aOTU_5","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__Aenigmatarchaeales","f__Aenigmatarchaeaceae","g__JAGGXH01","g__JAGGXH01",1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"6","aOTU_6","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__Aenigmatarchaeales","f__DAIDAN01","g__DAIDAN01","g__DAIDAN01",12,0,0,0,0,4,0,0,8,0,0,0,0,0,159,0,4,0,0,0,0,2,0,0,0
"7","aOTU_7","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__Aenigmatarchaeales","f__JAADFI01","f__JAADFI01","f__JAADFI01",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8","aOTU_8","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__GW2011-AR5","f__GW2011-AR5","g__JACPAG01","g__JACPAG01",1,0,3,0,0,0,2,0,1,1,0,0,0,1,6,5,0,0,13,0,1,3,0,0,0
"9","aOTU_9","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__GW2011-AR5","f__GW2011-AR5","g__JACPDL01","g__JACPDL01",2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,0
"10","aOTU_10","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__GW2011-AR5","f__JAHLMP01","g__JAGGUE01","g__JAGGUE01",1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,1,0,0,0,0
"11","aOTU_11","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__PWEA01","f__JAGHBM01","g__JAGHBM01","g__JAGHBM01",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0
"12","aOTU_12","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__QMZP01","f__QMZT01","g__QMZT01","g__QMZT01",1,0,1,6,2,0,1,3,1,3,0,5,0,2,0,1,0,0,12,0,8,2,8,0,3
"13","aOTU_13","d__Archaea","p__Asgardarchaeota","c__Heimdallarchaeia","o__Hodarchaeales","f__Hodarchaeaceae","g__Hodarchaeum","g__Hodarchaeum",1,0,2,2,0,0,0,1,1,0,0,1,0,2,0,2,0,0,0,0,0,0,2,2,0
