"","User","Experiment","Year","Domain","GenomeCode","Well"
"GLC_25GOWN_ARCH.P09.GW110","GLC","GOWN","2025","ARCH","P09","GW110"
"GLC_25GOWN_ARCH.P1.GW222","GLC","GOWN","2025","ARCH","P1","GW222"
"GLC_25GOWN_ARCH.P10.GW150","GLC","GOWN","2025","ARCH","P10","GW150"
"GLC_25GOWN_ARCH.P11.GW3103","GLC","GOWN","2025","ARCH","P11","GW3103"
"GLC_25GOWN_ARCH.P12.GW339","GLC","GOWN","2025","ARCH","P12","GW339"
"GLC_25GOWN_ARCH.P13.GW980","GLC","GOWN","2025","ARCH","P13","GW980"
"GLC_25GOWN_ARCH.P14.GW117","GLC","GOWN","2025","ARCH","P14","GW117"
"GLC_25GOWN_ARCH.P15.GW160","GLC","GOWN","2025","ARCH","P15","GW160"
"GLC_25GOWN_ARCH.P16.GW984","GLC","GOWN","2025","ARCH","P16","GW984"
"GLC_25GOWN_ARCH.P17.GW3022","GLC","GOWN","2025","ARCH","P17","GW3022"
"GLC_25GOWN_ARCH.P18.GW982","GLC","GOWN","2025","ARCH","P18","GW982"
"GLC_25GOWN_ARCH.P19.GW989","GLC","GOWN","2025","ARCH","P19","GW989"
"GLC_25GOWN_ARCH.P2.GW250","GLC","GOWN","2025","ARCH","P2","GW250"
"GLC_25GOWN_ARCH.P20.GW162","GLC","GOWN","2025","ARCH","P20","GW162"
"GLC_25GOWN_ARCH.P21.GW983","GLC","GOWN","2025","ARCH","P21","GW983"
"GLC_25GOWN_ARCH.P22.GW200","GLC","GOWN","2025","ARCH","P22","GW200"
"GLC_25GOWN_ARCH.P23.GW949","GLC","GOWN","2025","ARCH","P23","GW949"
"GLC_25GOWN_ARCH.P24.GW247","GLC","GOWN","2025","ARCH","P24","GW247"
"GLC_25GOWN_ARCH.P25.GW242","GLC","GOWN","2025","ARCH","P25","GW242"
"GLC_25GOWN_ARCH.P26.GW992","GLC","GOWN","2025","ARCH","P26","GW992"
"GLC_25GOWN_ARCH.P27.GW1153","GLC","GOWN","2025","ARCH","P27","GW1153"
"GLC_25GOWN_ARCH.P28.GW1143","GLC","GOWN","2025","ARCH","P28","GW1143"
"GLC_25GOWN_ARCH.P29.GW243","GLC","GOWN","2025","ARCH","P29","GW243"
"GLC_25GOWN_ARCH.P3.GW112","GLC","GOWN","2025","ARCH","P3","GW112"
"GLC_25GOWN_ARCH.P30.GW945","GLC","GOWN","2025","ARCH","P30","GW945"
"GLC_25GOWN_ARCH.P31.GW244","GLC","GOWN","2025","ARCH","P31","GW244"
"GLC_25GOWN_ARCH.P32.GW1144","GLC","GOWN","2025","ARCH","P32","GW1144"
"GLC_25GOWN_ARCH.P33.GW246","GLC","GOWN","2025","ARCH","P33","GW246"
"GLC_25GOWN_ARCH.P34.GW950","GLC","GOWN","2025","ARCH","P34","GW950"
"GLC_25GOWN_ARCH.P35.GW991","GLC","GOWN","2025","ARCH","P35","GW991"
"GLC_25GOWN_ARCH.P36.GW1151","GLC","GOWN","2025","ARCH","P36","GW1151"
"GLC_25GOWN_ARCH.P37.GW313","GLC","GOWN","2025","ARCH","P37","GW313"
"GLC_25GOWN_ARCH.P38.GW3010","GLC","GOWN","2025","ARCH","P38","GW3010"
"GLC_25GOWN_ARCH.P39.GW1150","GLC","GOWN","2025","ARCH","P39","GW1150"
"GLC_25GOWN_ARCH.P4.GW192","GLC","GOWN","2025","ARCH","P4","GW192"
"GLC_25GOWN_ARCH.P40.GW312","GLC","GOWN","2025","ARCH","P40","GW312"
"GLC_25GOWN_ARCH.P41.GW248","GLC","GOWN","2025","ARCH","P41","GW248"
"GLC_25GOWN_ARCH.P42a.GW50","GLC","GOWN","2025","ARCH","P42a","GW50"
"GLC_25GOWN_ARCH.P42b.GW50","GLC","GOWN","2025","ARCH","P42b","GW50"
"GLC_25GOWN_ARCH.P42c.GW50","GLC","GOWN","2025","ARCH","P42c","GW50"
"GLC_25GOWN_ARCH.P43.GW44","GLC","GOWN","2025","ARCH","P43","GW44"
"GLC_25GOWN_ARCH.P44.GW387","GLC","GOWN","2025","ARCH","P44","GW387"
"GLC_25GOWN_ARCH.P45.GW3098","GLC","GOWN","2025","ARCH","P45","GW3098"
"GLC_25GOWN_ARCH.P46.GW281","GLC","GOWN","2025","ARCH","P46","GW281"
"GLC_25GOWN_ARCH.P47.GW369","GLC","GOWN","2025","ARCH","P47","GW369"
"GLC_25GOWN_ARCH.P48.GW275","GLC","GOWN","2025","ARCH","P48","GW275"
"GLC_25GOWN_ARCH.P49.GW239","GLC","GOWN","2025","ARCH","P49","GW239"
"GLC_25GOWN_ARCH.P5.GW972","GLC","GOWN","2025","ARCH","P5","GW972"
"GLC_25GOWN_ARCH.P50.GW381","GLC","GOWN","2025","ARCH","P50","GW381"
"GLC_25GOWN_ARCH.P51.GW277","GLC","GOWN","2025","ARCH","P51","GW277"
"GLC_25GOWN_ARCH.P52.GW379","GLC","GOWN","2025","ARCH","P52","GW379"
"GLC_25GOWN_ARCH.P53.GW389","GLC","GOWN","2025","ARCH","P53","GW389"
"GLC_25GOWN_ARCH.P54.GW273","GLC","GOWN","2025","ARCH","P54","GW273"
"GLC_25GOWN_ARCH.P55.GW238","GLC","GOWN","2025","ARCH","P55","GW238"
"GLC_25GOWN_ARCH.P56.GW1119","GLC","GOWN","2025","ARCH","P56","GW1119"
"GLC_25GOWN_ARCH.P57.GW3099","GLC","GOWN","2025","ARCH","P57","GW3099"
"GLC_25GOWN_ARCH.P58.GW234","GLC","GOWN","2025","ARCH","P58","GW234"
"GLC_25GOWN_ARCH.P59.GW3073","GLC","GOWN","2025","ARCH","P59","GW3073"
"GLC_25GOWN_ARCH.P6.GW3026","GLC","GOWN","2025","ARCH","P6","GW3026"
"GLC_25GOWN_ARCH.P60.GW235","GLC","GOWN","2025","ARCH","P60","GW235"
"GLC_25GOWN_ARCH.P61.GW333","GLC","GOWN","2025","ARCH","P61","GW333"
"GLC_25GOWN_ARCH.P62.GW1145","GLC","GOWN","2025","ARCH","P62","GW1145"
"GLC_25GOWN_ARCH.P63.GW311","GLC","GOWN","2025","ARCH","P63","GW311"
"GLC_25GOWN_ARCH.P64.GW148","GLC","GOWN","2025","ARCH","P64","GW148"
"GLC_25GOWN_ARCH.P7.GW3016","GLC","GOWN","2025","ARCH","P7","GW3016"
"GLC_25GOWN_ARCH.P8.GW193","GLC","GOWN","2025","ARCH","P8","GW193"
"GLC_25GOWN_ARCH.G1.GW265","GLC","GOWN","2025","ARCH","G1","GW265"
"GLC_25GOWN_ARCH.G10.GW222","GLC","GOWN","2025","ARCH","G10","GW222"
"GLC_25GOWN_ARCH.G11.GW3050","GLC","GOWN","2025","ARCH","G11","GW3050"
"GLC_25GOWN_ARCH.G12.GW114","GLC","GOWN","2025","ARCH","G12","GW114"
"GLC_25GOWN_ARCH.G13.GW126","GLC","GOWN","2025","ARCH","G13","GW126"
"GLC_25GOWN_ARCH.G14.GW328","GLC","GOWN","2025","ARCH","G14","GW328"
"GLC_25GOWN_ARCH.G15.GW3089","GLC","GOWN","2025","ARCH","G15","GW3089"
"GLC_25GOWN_ARCH.G16.GW340","GLC","GOWN","2025","ARCH","G16","GW340"
"GLC_25GOWN_ARCH.G17.GW628","GLC","GOWN","2025","ARCH","G17","GW628"
"GLC_25GOWN_ARCH.G18.GW626","GLC","GOWN","2025","ARCH","G18","GW626"
"GLC_25GOWN_ARCH.G19.GW175","GLC","GOWN","2025","ARCH","G19","GW175"
"GLC_25GOWN_ARCH.G2.GW146","GLC","GOWN","2025","ARCH","G2","GW146"
"GLC_25GOWN_ARCH.G20.GW3103","GLC","GOWN","2025","ARCH","G20","GW3103"
"GLC_25GOWN_ARCH.G21.GW292","GLC","GOWN","2025","ARCH","G21","GW292"
"GLC_25GOWN_ARCH.G22.GW429","GLC","GOWN","2025","ARCH","G22","GW429"
"GLC_25GOWN_ARCH.G23.GW374","GLC","GOWN","2025","ARCH","G23","GW374"
"GLC_25GOWN_ARCH.G24.GW373","GLC","GOWN","2025","ARCH","G24","GW373"
"GLC_25GOWN_ARCH.G25.GW364","GLC","GOWN","2025","ARCH","G25","GW364"
"GLC_25GOWN_ARCH.G26.GW449","GLC","GOWN","2025","ARCH","G26","GW449"
"GLC_25GOWN_ARCH.G27.GW143","GLC","GOWN","2025","ARCH","G27","GW143"
"GLC_25GOWN_ARCH.G28.GW178","GLC","GOWN","2025","ARCH","G28","GW178"
"GLC_25GOWN_ARCH.G29.GW176","GLC","GOWN","2025","ARCH","G29","GW176"
"GLC_25GOWN_ARCH.G3.GW112","GLC","GOWN","2025","ARCH","G3","GW112"
"GLC_25GOWN_ARCH.G30.GW148","GLC","GOWN","2025","ARCH","G30","GW148"
"GLC_25GOWN_ARCH.G31.GW339","GLC","GOWN","2025","ARCH","G31","GW339"
"GLC_25GOWN_ARCH.G32.GW376","GLC","GOWN","2025","ARCH","G32","GW376"
"GLC_25GOWN_ARCH.G33.GW237","GLC","GOWN","2025","ARCH","G33","GW237"
"GLC_25GOWN_ARCH.G34.GW267","GLC","GOWN","2025","ARCH","G34","GW267"
"GLC_25GOWN_ARCH.G35.GW294","GLC","GOWN","2025","ARCH","G35","GW294"
"GLC_25GOWN_ARCH.G36.GW3021","GLC","GOWN","2025","ARCH","G36","GW3021"
"GLC_25GOWN_ARCH.G37.GW4016","GLC","GOWN","2025","ARCH","G37","GW4016"
"GLC_25GOWN_ARCH.G38.GW481","GLC","GOWN","2025","ARCH","G38","GW481"
"GLC_25GOWN_ARCH.G39.GW931","GLC","GOWN","2025","ARCH","G39","GW931"
"GLC_25GOWN_ARCH.G4.GW109","GLC","GOWN","2025","ARCH","G4","GW109"
"GLC_25GOWN_ARCH.G40.GW456","GLC","GOWN","2025","ARCH","G40","GW456"
"GLC_25GOWN_ARCH.G41.GW162","GLC","GOWN","2025","ARCH","G41","GW162"
"GLC_25GOWN_ARCH.G42.GW274","GLC","GOWN","2025","ARCH","G42","GW274"
"GLC_25GOWN_ARCH.G43.GW295","GLC","GOWN","2025","ARCH","G43","GW295"
"GLC_25GOWN_ARCH.G44.NC","GLC","GOWN","2025","ARCH","G44","NC"
"GLC_25GOWN_ARCH.G45.NC","GLC","GOWN","2025","ARCH","G45","NC"
"GLC_25GOWN_ARCH.G46.GW760","GLC","GOWN","2025","ARCH","G46","GW760"
"GLC_25GOWN_ARCH.G47.GW218","GLC","GOWN","2025","ARCH","G47","GW218"
"GLC_25GOWN_ARCH.G48.GW217","GLC","GOWN","2025","ARCH","G48","GW217"
"GLC_25GOWN_ARCH.G5.GW101","GLC","GOWN","2025","ARCH","G5","GW101"
"GLC_25GOWN_ARCH.G6.GW332","GLC","GOWN","2025","ARCH","G6","GW332"
"GLC_25GOWN_ARCH.G7.GW277","GLC","GOWN","2025","ARCH","G7","GW277"
"GLC_25GOWN_ARCH.G8.GW281","GLC","GOWN","2025","ARCH","G8","GW281"
"GLC_25GOWN_ARCH.G9.GW275","GLC","GOWN","2025","ARCH","G9","GW275"
