#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19019-C5-GOWN983_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19019-C5-GOWN983_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWC19019-C5-GOWN983.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWC19019-C5-GOWN983_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#92371822 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 43382443
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	53.03498	-	48989379
k__Bacteria	2	45.80811480242113	10.823625590674476	42592425
k__Archaea	2157	1.1569033824534716	0.2733556315559992	790018
k__Bacteria|p__Pseudomonadota	2|1224	40.29495706872416	9.520967369774892	36531503
k__Bacteria|p__Bacteroidota	2|976	3.216117480282028	0.7599101919073006	2764791
k__Archaea|p__Methanobacteriota	2157|28890	1.1569033824534716	0.2733556315559992	790018
k__Bacteria|p__Acidobacteriota	2|57723	0.9569122455168201	0.22610076843930998	1120254
k__Bacteria|p__Myxococcota	2|2818505	0.451681365891213	0.10672453544263288	972545
k__Bacteria|p__Actinomycetota	2|201174	0.4053081069354678	0.09576678264478962	420499
k__Bacteria|p__Nitrospirota	2|40117	0.23979868635015122	0.05665961988530249	258425
k__Bacteria|p__Chloroflexota	2|200795	0.11073411987629733	0.026164961430661226	116866
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.046439009981204	0.010973171373798416	204484
k__Bacteria|p__Firmicutes	2|1239	0.041690846642713185	0.009851155681269281	75787
k__Bacteria|p__Ignavibacteriota	2|1134404	0.012215601229885882	0.002886164722371444	48731
k__Bacteria|p__Spirochaetota	2|203691	0.011830488080769912	0.002795363463119993	15276
k__Bacteria|p__Campylobacterota	2|29547	0.010952242240712758	0.002588100818579943	37116
k__Bacteria|p__Candidatus_Cryosericota	2|2498705	0.004518034749384937	0.0010678937333176161	8075
k__Bacteria|p__Mycoplasmatota	2|544448	0.004259727149368126	0.0010067745703371863	6559
k__Bacteria|p__Planctomycetota	2|203682	0.00036163064002353443	8.544149347890917e-05	3336
k__Bacteria|p__Thermomicrobiota	2|3027942	0.0003287551272941222	7.729529331854237e-05	8178
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	35.59300261162543	8.409980300075464	30749243
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	2.6854597398111295	0.6345254025435261	2967030
k__Bacteria|p__Bacteroidota|c__Chitinophagia	2|976|1853228	2.3768901773328666	0.561616011960958	1783848
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	1.911020679448003	0.4515399430839997	2710833
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	1.1567108258789136	0.2733094353488334	780803
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria	2|57723|1813735	0.9569122455168201	0.22610076843930998	1120254
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	0.7227023963306689	0.17076193913388246	847644
k__Bacteria|p__Myxococcota|c__Myxococcia	2|2818505|32015	0.451681365891213	0.10672453544263288	972545
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.3116410746675539	0.07363566295083745	177938
k__Bacteria|p__Nitrospirota|c__Nitrospiria	2|40117|203693	0.23720152084452764	0.056045920401329705	239393
k__Bacteria|p__Chloroflexota|c__CFGB91799	2|200795|	0.10648378573056617	0.025160734703296186	104988
k__Bacteria|p__Bacteroidota|c__CFGB4833	2|976|	0.10608458307599475	0.02506599162004657	67573
k__Bacteria|p__Pseudomonadota|c__CFGB33292	2|1224|	0.10547403783959138	0.024921724071901963	104397
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.0777505876050599	0.01837122018206553	204227
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.027413481114511303	0.006477597678119014	54983
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB8790	2|200940|	0.01726903718657839	0.004080086328471468	77049
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB2255	2|200940|	0.014530976626400202	0.003433660381660212	56053
k__Bacteria|p__Actinomycetota|c__CFGB14186	2|201174|	0.012304834764437146	0.002907836613542698	16734
k__Bacteria|p__Ignavibacteriota|c__CFGB2452	2|1134404|	0.012215601229885882	0.002886164722371444	48731
