#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWE00506-E6-GOWN200_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWE00506-E6-GOWN200_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWE00506-E6-GOWN200.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWE00506-E6-GOWN200_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#111642474 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 51353602
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	54.00173	-	60288872
k__Bacteria	2	41.37383019918566	11.887946729357365	47682968
k__Archaea	2157	4.6244356579468135	1.3287393927009055	3670634
k__Bacteria|p__Pseudomonadota	2|1224	33.58509563587475	9.650009037235467	37057050
k__Archaea|p__Methanobacteriota	2157|28890	4.6244356579468135	1.3287393927009055	3670634
k__Bacteria|p__Thermodesulfobacteriota	2|200940	4.578377594344066	1.3155055509324356	6121248
k__Bacteria|p__Nitrospirota	2|40117	0.8241233304027282	0.2367953734607117	967876
k__Bacteria|p__Bacteroidota	2|976	0.7734608403876826	0.22223792581767932	1119107
k__Bacteria|p__Campylobacterota	2|29547	0.765047757562413	0.21982178717774453	845833
k__Bacteria|p__Actinomycetota	2|201174	0.42463299126011844	0.12201012406869126	422370
k__Bacteria|p__Chloroflexota	2|200795	0.17795809094807413	0.051133327214644544	206279
k__Bacteria|p__Myxococcota	2|2818505	0.13407574532036975	0.03852464558893054	716388
k__Bacteria|p__Acidobacteriota	2|57723	0.05486673151438762	0.01576438218696799	81805
k__Bacteria|p__Firmicutes	2|1239	0.020759017381323887	0.005964945082663089	54943
k__Bacteria|p__Thermomicrobiota	2|3027942	0.012088344267254416	0.003472883170916921	20734
k__Bacteria|p__Candidatus_Zixiibacteriota	2|1379697	0.011002785193026087	0.0031614604675004043	12851
k__Bacteria|p__Candidatus_Roizmanbacteria	2|1752723	0.0046320253718132405	0.0013306878396000135	5142
k__Bacteria|p__Candidatus_Omnitrophota	2|67812	0.003988049649813386	0.001146078855937621	6797
k__Bacteria|p__Planctomycetota	2|203682	0.0011039583805711793	0.0003169073651667344	16476
k__Bacteria|p__Elusimicrobiota	2|74152	0.0008049696524998184	0.0002310495623828529	2613
k__Bacteria|p__Ignavibacteriota	2|1134404	0.0006485755485855679	0.0001866159922784826	7259
k__Bacteria|p__Kiritimatiellota	2|134625	0.0005887778029712958	0.00016926870957347084	5976
k__Bacteria|p__Verrucomicrobiota	2|74201	0.00043238369905704527	0.0001246237137094299	7376
k__Bacteria|p__Spirochaetota	2|203691	0.00013799479757139742	4.0054914364466154e-05	4845
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	29.319653443809926	8.42441894897495	30483375
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	4.616569954485244	1.3264798147725012	3644609
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB8790	2|200940|	3.990998138654828	1.1467344021813253	5161775
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	2.9094639126890005	0.8359769597805996	4200966
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	1.2965025216225503	0.3725242082022481	2292662
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria	2|29547|3031852	0.765047757562413	0.21982178717774453	845833
k__Bacteria|p__Nitrospirota|c__Nitrospiria	2|40117|203693	0.7393071279887617	0.21242470823055182	899646
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.3888877388625408	0.11173948724214888	268268
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.31991793903635635	0.09192242205684643	466981
k__Bacteria|p__Bacteroidota|c__Chitinophagia	2|976|1853228	0.30717641939393064	0.08826101209605705	292861
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB10823	2|200940|	0.24167948863995975	0.06944165112326967	290628
k__Bacteria|p__Chloroflexota|c__CFGB91799	2|200795|	0.17674833655603153	0.0507844651081621	199603
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.10506463904427629	0.030188299246110852	180720
