#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19038-C13-GOWN144_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19038-C13-GOWN144_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWC19038-C13-GOWN144.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWC19038-C13-GOWN144_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#104133572 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 37616135
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	63.87703	-	66517437
k__Bacteria	2	36.11690836280974	7.891830311528703	37607126
k__Archaea	2157	0.006057821429096853	0.001323625662774204	9009
k__Bacteria|p__Bacteroidota	2|976	21.678320367392658	4.7368849135679465	17329016
k__Bacteria|p__Pseudomonadota	2|1224	13.256709563207915	2.8966955408833557	18907986
k__Bacteria|p__Nitrospirota	2|40117	0.6995284647510219	0.15285275948931984	697687
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.15818246892078186	0.03456410366248186	277260
k__Bacteria|p__Chloroflexota	2|200795	0.1470421461495626	0.03212993023406869	124953
k__Bacteria|p__Candidatus_Omnitrophota	2|67812	0.05082862571784247	0.011106317237217831	20926
k__Bacteria|p__Candidatus_Roizmanbacteria	2|1752723	0.03757872172146366	0.00821108535735893	30727
k__Bacteria|p__Myxococcota	2|2818505	0.01816623969405371	0.003969685578923626	44175
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.01783752070177714	0.0038980241215608767	18866
k__Bacteria|p__Kiritimatiellota	2|134625	0.01708616300514497	0.00373312748100508	44241
k__Bacteria|p__Acidobacteriota	2|57723	0.014871825178051128	0.003249225475029662	25884
k__Bacteria|p__Candidatus_Parcubacteria	2|221216	0.008286608442664389	0.0018108757360304696	4238
k__Bacteria|p__Thermomicrobiota	2|3027942	0.007885643518019337	0.001723346414485911	13071
k__Archaea|p__Methanobacteriota	2157|28890	0.006057821429096853	0.001323625662774204	9009
k__Bacteria|p__Actinomycetota	2|201174	0.0044936969933193115	0.000982074620686739	60045
k__Bacteria|p__Planctomycetota	2|203682	8.669511884217321e-05	1.9301669231837163e-05	8051
k__Bacteria|p__Bacteroidota|c__Chitinophagia	2|976|1853228	21.620704236328802	4.724294582250159	17245893
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	12.63690087252889	2.7612627437330612	14309427
k__Bacteria|p__Nitrospirota|c__Nitrospiria	2|40117|203693	0.5854340760581036	0.12792169145754465	551131
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.3657341957255629	0.07991604786635625	3963408
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	0.23279084327770877	0.05086663593341238	504450
k__Bacteria|p__Chloroflexota|c__Chloroflexota_unclassified	2|200795|	0.1470421461495626	0.03212993023406869	124953
k__Bacteria|p__Nitrospirota|c__CFGB5004	2|40117|	0.11286982013927267	0.024662825077678835	138526
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobaccia	2|200940|3031647	0.08364634049622345	0.01827749693444852	133648
k__Bacteria|p__Candidatus_Omnitrophota|c__CFGB25749	2|67812|	0.05082862571784247	0.011106317237217831	20926
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB2255	2|200940|	0.03867685989346452	0.008451517063021429	53486
k__Bacteria|p__Candidatus_Roizmanbacteria|c__CFGB4327	2|1752723|	0.037286125695371326	0.008147125327102963	23776
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.03141614369043252	0.006864841510499181	33240
k__Bacteria|p__Myxococcota|c__Myxococcia	2|2818505|32015	0.01816623969405371	0.003969685578923626	44175
k__Bacteria|p__Kiritimatiellota|c__CFGB56764	2|134625|	0.01708616300514497	0.00373312748100508	44241
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria	2|57723|1813735	0.014871825178051128	0.003249225475029662	25884
k__Bacteria|p__Pseudomonadota|c__CFGB74353	2|1224|	0.014553943075629827	0.0031804693886377136	3479
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB11088	2|200940|	0.014503370922971891	0.003169309161161249	35830
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB12416	2|200940|	0.014095181405089993	0.0030796889386937327	13735
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB86280	2|95818|	0.011591859848522243	0.0025329552127310523	8001
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.011425694204074743	0.0024967394679150925	19077
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	0.010211962540284319	0.0022313997075460467	13779
k__Bacteria|p__Candidatus_Parcubacteria|c__CFGB3846	2|221216|	0.008286608442664389	0.0018108757360304696	4238
k__Bacteria|p__Thermomicrobiota|c__CFGB2607	2|3027942|	0.007885643518019337	0.001723346414485911	13071
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	0.006057821429096853	0.001323625662774204	9009
k__Bacteria|p__Pseudomonadota|c__CFGB26115	2|1224|	0.004789905316030069	0.0010469391695317168	121172
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB3514	2|95818|	0.0033269251855683967	0.0007271993382675747	3779
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB8790	2|200940|	0.0030523906425681813	0.0006669255047308131	9231
k__Bacteria|p__Bacteroidota|c__CFGB4868	2|976|	0.0029765324135812804	0.000650413498021667	12968
k__Bacteria|p__Actinomycetota|c__Thermoleophilia	2|201174|1497346	0.002857326625173292	0.0006247336129609647	8689
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB40977	2|200940|	0.00205539677588319	0.0004488290342822117	7716
k__Bacteria|p__Pseudomonadota|c__CFGB33292	2|1224|	0.0019361909874752016	0.000422704792356897	6050
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB3566	2|95818|	0.0018458835720146045	0.00040305829945964456	2767
k__Bacteria|p__Bacteroidota|c__CFGB90425	2|976|	0.001589410512106509	0.00034693713380589466	4059
k__Bacteria|p__Nitrospirota|c__CFGB6263	2|40117|	0.0012028947739351533	0.0002629766353693689	4930
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.0011884455874614577	0.0002593829708085476	48158
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4227	2|95818|	0.0010728520956718934	0.00023481127110260483	4319
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB13264	2|200940|	0.000993381570066568	0.0002167373162857025	8154
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB34348	2|200940|	0.0007405208067768962	0.00016190705342233576	9717
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.0004479247806845616	9.795803691722676e-05	3198
