#mpa_vJan25_CHOCOPhlAnSGB_202503
#clade_name	relative_abundance
UNCLASSIFIED	0.0
d__Bacteria	99.97891
d__Archaea	0.02108
d__Bacteria;p__Pseudomonadota	99.48129999999999
d__Bacteria;p__Bacteroidota	0.45619
d__Bacteria;p__Desulfobacterota	0.032769999999999994
d__Archaea;p__Methanobacteriota	0.02108
d__Bacteria;p__Edwardsbacteria	0.00489
d__Bacteria;p__Actinomycetota	0.00376
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	99.41467999999999
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.45619
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria	0.06662
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.03269
d__Archaea;p__Methanobacteriota;c__Methanobacteria	0.02108
d__Bacteria;p__Edwardsbacteria;c__AC1	0.00489
d__Bacteria;p__Actinomycetota;c__Actinomycetes	0.00376
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia	8e-05
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales	66.59877999999999
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales	32.77246
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.35886
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales	0.09733
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Parvibaculales	0.05024
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales	0.0422
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales	0.03269
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales	0.02108
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales	0.01032
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales	0.00606
d__Bacteria;p__Edwardsbacteria;c__AC1;o__AC1	0.00489
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales	0.00376
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales	0.00124
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales	8e-05
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae	57.234939999999995
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae	32.77246
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	8.354550000000001
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae	0.99999
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAAYJT01	0.27716
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae	0.09733
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae	0.0817
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Parvibaculales;f__Parvibaculaceae	0.05024
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	0.0422
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae	0.03269
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.02108
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.01032
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	0.00606
d__Bacteria;p__Edwardsbacteria;c__AC1;o__AC1;f__EtOH8	0.00489
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae	0.00389
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae	0.00541
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae	0.00376
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0.00124
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae	8e-05
