#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWE00021-E1-GOWN449_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWE00021-E1-GOWN449_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWE00021-E1-GOWN449.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWE00021-E1-GOWN449_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#103328502 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 32882642
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	68.1766	-	70445860
k__Bacteria	2	31.819202004419072	3.502276475096428	32873882
k__Archaea	2157	0.004197506395476439	0.00046214379733658416	8760
k__Bacteria|p__Pseudomonadota	2|1224	30.15992677158525	3.3196434985354872	30799025
k__Bacteria|p__Bacteria_unclassified	2|	1.1859180768102107	0.1305314839603391	1642877
k__Bacteria|p__Bacteroidota	2|976	0.3705898519833376	0.04078993965777755	192202
k__Bacteria|p__Actinomycetota	2|201174	0.09406678661401673	0.01035373823350357	225718
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.00651743221981482	0.0007173928222719	10590
k__Archaea|p__Methanobacteriota	2157|28890	0.004197506395476439	0.00046214379733658416	8760
k__Bacteria|p__Campylobacterota	2|29547	0.002183085206441878	0.00024042188704852884	3470
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	17.674964310822585	1.9454482361625536	24042739
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	10.897461723185534	1.1994621520964268	5788469
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	1.5871061274231966	0.174689545256512	966556
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	1.1859180768102107	0.1305314839603391	1642877
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.20048741691813166	0.022067411619345546	96587
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.17009925272525486	0.018722528038432003	95615
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.09386948153704967	0.010332164887907521	126753
