"","Kingdom","Phylum","Class","Order","Family","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"1","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae",41877971,11517,254490,797096,953372,8262,9623947,0,8892,0,0,0,16876214,0,0,6789,220265,0,9418262,0,"bOTU_1"
"2","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Methylophilaceae",19318672,15072473,1151787,2160431,2140298,36396283,26927021,81237477,1005976,0,23571044,20285926,5157725,4476,33463480,237582,15171587,38319229,4042063,0,"bOTU_2"
"3","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Parvibaculaceae",19183914,0,46154,54804,3712321,49031,18878,86428,0,51304,36352,17297,11384,0,963227,11380,0,178886,0,0,"bOTU_3"
"4","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae",10595011,5034304,4539780,9463142,7905542,8038851,21604854,4953408,699470,280783,29201177,4349152,3517264,31706822,5856865,511538,10836993,8186146,3271320,425002,"bOTU_4"
"5","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae",4912534,7366,510986,44175,8856,0,4550770,0,0,0,0,0,972545,1401901,0,0,0,0,238192,0,"bOTU_5"
"6","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudohongiellaceae",2251245,4614,9681,0,25162,0,0,0,0,0,0,0,0,7983,5380,0,4193,7189,0,793311,"bOTU_6"
"7","k__Bacteria","p__Pseudomonadota","c__CFGB8809","o__OFGB8809","f__FGB8809",926323,0,338753,0,1030424,0,0,0,0,0,0,0,0,0,0,0,267812,0,0,0,"bOTU_7"
"8","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae",680359,74821997,56830,3838041,278314,34939975,45204,7084807,20042,16885,5444352,13506,2273506,4630,10736681,188043,1448033,18509842,2284882,28137493,"bOTU_8"
"9","k__Bacteria","p__Candidatus_Cloacimonadota","c__CFGB2808","o__OFGB2808","f__FGB2808",237505,0,0,0,3466,0,0,648034,0,0,0,0,0,0,0,0,0,51940,0,0,"bOTU_9"
"10","k__Bacteria","p__Actinomycetota","c__CFGB14186","o__OFGB14186","f__FGB14186",136438,0,0,0,3825,0,0,0,2646,0,0,0,16734,0,0,0,0,7687,0,0,"bOTU_10"
"11","k__Bacteria","p__Bacteroidota","c__CFGB43210","o__OFGB43210","f__FGB43210",255311,6887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_11"
"12","k__Bacteria","p__Nitrospirota","c__CFGB5004","o__OFGB5004","f__FGB5004",133050,0,110080,138526,47872,0,1114588,314272,72550,46235,0,0,13738,0,18915,0,206886,8941,68230,0,"bOTU_12"
"13","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomonadales","f__Hyphomonadaceae",67454,0,0,0,0,0,0,0,0,0,0,0,0,5877,7177,0,0,0,0,0,"bOTU_13"
"14","k__Bacteria","p__Pseudomonadota","c__CFGB33292","o__OFGB33292","f__FGB33292",57200,5521,86794,6050,368617,0,575463,0,0,0,0,0,104397,11088,0,0,0,0,64001,0,"bOTU_14"
"15","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Lentimicrobiaceae",63387,14964,0,0,0,100431,0,0,7766,0,0,0,0,18199,6242,0,0,0,8690,18553,"bOTU_15"
"16","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Rhodocyclales","f__Zoogloeaceae",83055,184847,41391,7189,193338,916233,19152,18574,105333,80843,0,0,7431,6642,0,9524,19785,31170,77712,17235,"bOTU_16"
"17","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae",26469,0,7901,108245,1301509,0,0,6068,5294,8302,0,0,0,9996,8400,0,3550848,0,0,55551,"bOTU_17"
"18","k__Bacteria","p__Bacteroidota","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae",54739,555408,48336,33240,26142,69182,93661,37230,0,0,2768327,1589928,4350,339123,179131,96587,531296,138100,180720,14314,"bOTU_18"
"19","k__Bacteria","p__Campylobacterota","c__Epsilonproteobacteria","o__Campylobacterales","f__Sulfurimonadaceae",13471,1420475,42944,0,63071,0,159754,6350415,3963014,670658,0,0,37116,29566,6478,3470,323818,0,845833,0,"bOTU_19"
"20","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Sphaerotilaceae",31341,0,278735,0,0,0,72059,0,0,0,0,0,117110,0,29025,0,0,0,0,0,"bOTU_20"
"21","k__Bacteria","p__Thermodesulfobacteriota","c__Desulfobulbia","o__Desulfobulbales","f__Thiovibrionaceae",21550,348554,22218,0,0,0,0,0,38097,468219,0,0,0,8687,0,0,41299,10219,92029,0,"bOTU_21"
"22","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Sterolibacteriaceae",24730,0,78236,25676,49669,0,293496,0,12339,585013,0,1222188,611953,504224,21635,0,413942,0,115691,0,"bOTU_22"
"23","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Peptococcaceae",13702,11054,0,0,0,0,0,104787,98243,0,0,0,0,0,0,0,0,0,0,0,"bOTU_23"
"24","k__Archaea","p__Thermoplasmatota","c__CFGB14502","o__OFGB14502","f__FGB14502",13030,4482,0,0,0,0,0,6602,0,5167,8913,0,0,0,4417,0,0,0,0,0,"aOTU_24"
"25","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Thiobacillaceae",292017,1451284,12167046,607877,1388985,83203,5449205,41047,1396015,125461,0,0,504349,0,0,0,1230781,2231148,4141784,0,"bOTU_25"
"26","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB34348","o__OFGB34348","f__FGB34348",49030,0,15761,9717,27834,0,19313,100636,556251,25798,12473,0,11054,0,11929,0,143089,0,114272,0,"bOTU_26"
"27","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae",43319,265445,83290,0,15906,290872,79751,0,0,28694,0,172689,19059,0,194801,23839730,2750415,95537,0,8054,"bOTU_27"
"28","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Reyranellaceae",55034,0,0,22523,45974,0,85061,15757,0,26339,0,0,91251,0,92438,0,19441,0,320296,0,"bOTU_28"
"29","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Propionibacteriales","f__Propionibacteriaceae",11751,0,10046,0,12657,0,9069,0,0,18138,0,9863,10137,0,0,0,12064,0,0,0,"bOTU_29"
"30","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB2255","o__OFGB2255","f__FGB2255",46264,0,165030,53486,58410,0,571429,20031,268120,187146,0,0,56053,0,0,0,875101,0,156499,38436,"bOTU_30"
"31","k__Bacteria","p__Candidatus_Saccharibacteria","c__CFGB86280","o__OFGB86280","f__FGB86280",3422,0,0,8001,0,0,0,10391,0,35537,0,0,0,0,3173,0,0,0,0,0,"bOTU_31"
