"","Kingdom","Phylum","Class","Order","Family","Genus","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"1","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__GGB38197",41865541,7325,246881,797096,953372,8262,9623947,0,8892,0,0,0,16848749,0,0,6789,220265,0,9409456,0,"bOTU_1"
"2","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Methylophilaceae","g__GGB15285",14400447,2683460,1076397,1703725,1849849,21727051,4391338,52147213,1001305,0,11927843,15385355,26815,0,30927056,47289,15104779,15454296,3617983,0,"bOTU_2"
"3","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Parvibaculaceae","g__Parvibaculum",19036095,0,46154,54804,2561119,49031,9748,86428,0,51304,36352,17297,11384,0,963227,11380,0,178886,0,0,"bOTU_3"
"4","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__GGB65385",8024639,426939,495506,63431,139266,235309,407053,114968,72133,68370,1342272,1571428,66745,28690269,1413915,16547,0,3769308,33455,25797,"bOTU_4"
"5","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Methylophilaceae","g__GGB123072",4186501,12361642,10459,248773,201476,14669232,270909,29090264,4671,0,11643201,15979,21571,4476,2526108,190293,7534,22803499,0,0,"bOTU_5"
"6","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae","g__GGB44951",4912534,0,112547,11028,0,0,3386391,0,0,0,0,0,972545,18768,0,0,0,0,9918,0,"bOTU_6"
"7","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudohongiellaceae","g__GGB124104",2251245,4614,9681,0,25162,0,0,0,0,0,0,0,0,7983,5380,0,4193,7189,0,793311,"bOTU_7"
"8","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Hydrogenophaga",2314465,3899786,744471,1540350,241368,577729,4418125,4830428,471704,0,21822371,316963,1853242,54364,4081305,43675,3622446,3613360,1614300,399205,"bOTU_8"
"9","k__Bacteria","p__Pseudomonadota","c__CFGB8809","o__OFGB8809","f__FGB8809","g__GGB124110",926323,0,338753,0,1030424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_9"
"10","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylicorpusculum",674530,3930792,0,63293,14931,58279,37906,50832,14489,16885,0,0,2273506,0,0,42683,36868,255916,2134229,28127961,"bOTU_10"
"11","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Methylophilaceae","g__Methylotenera",731724,27371,33569,0,46721,0,22256254,0,0,0,0,4884592,0,0,0,0,14476,61434,0,0,"bOTU_11"
"12","k__Bacteria","p__Candidatus_Cloacimonadota","c__CFGB2808","o__OFGB2808","f__FGB2808","g__GGB123276",237505,0,0,0,3466,0,0,648034,0,0,0,0,0,0,0,0,0,51940,0,0,"bOTU_12"
"13","k__Bacteria","p__Actinomycetota","c__CFGB14186","o__OFGB14186","f__FGB14186","g__GGB38751",136438,0,0,0,3825,0,0,0,2646,0,0,0,16734,0,0,0,0,7687,0,0,"bOTU_13"
"14","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__GGB134262",106308,0,11647,0,0,30274,213975,0,41694,0,14247,0,0,2863193,0,0,0,184966,0,0,"bOTU_14"
"15","k__Bacteria","p__Bacteroidota","c__CFGB43210","o__OFGB43210","f__FGB43210","g__GGB43210",255311,6887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_15"
"16","k__Bacteria","p__Nitrospirota","c__CFGB5004","o__OFGB5004","f__FGB5004","g__GGB14416",125178,0,88981,124464,40951,0,202216,314272,43618,33354,0,0,7936,0,18915,0,10210,8941,9091,0,"bOTU_16"
"17","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomonadales","f__Hyphomonadaceae","g__Hyphomonas",67454,0,0,0,0,0,0,0,0,0,0,0,0,5877,7177,0,0,0,0,0,"bOTU_17"
