"","Kingdom","Phylum","Class","Order","Family","Genus","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"1","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae","g__Nitrosomonas",32.6355103034948,0.0004860650939395,4.24215625840595,1.00154174812759,11.1417532966005,0.00389,6.5939371290083,0,0.0055763850797411,0,0,0,19.6184152562586,0,0,0.0009547019853244,0.251660821675902,0,8.9722791434681,0,"aOTU_1"
"2","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","g__Methylotenera",19.7898540337204,19.7250164147074,1.91887977733146,3.41954447086479,2.29008669608185,57.23494,25.3556085471765,60.0725733784525,1.90197130180109,0,43.0273746281772,13.9169401306518,0.030696335885634,0.0008784176351526,66.6190712500456,0.740454130457829,12.9150685938108,57.7295869331728,4.69560417488097,0,"aOTU_2"
"3","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Parvibaculales","f__Parvibaculaceae","g__Parvibaculum",13.4533899711384,0,0.0501058733571801,0.0588406996175066,1.86139385387414,0.05024,0.0010973250274864,0.0438381464878961,0,0.101162336522763,0.0411559065341262,0.0127677798920222,0.0004696501818487,0,1.30213560680652,0.0013715885189161,0,0.183918020469316,0,0,"aOTU_3"
"4","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Hydrogenophaga",6.60066110635709,3.54918545311634,1.02556741249118,1.65031022079652,0.216113641225669,0.66865,1.99732750092315,2.3237537592459,0.597295362198221,0.0961507251695775,23.2556420452294,1.29505770699394,1.74935299735021,49.8600404343157,6.43037413871856,0.0888095610148301,3.13851789158213,6.72847708668956,1.14715075221103,0.0373692989819785,"aOTU_4"
"5","d__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae","g__Archangium_A",1.53044179934415,0,0.0144566682100465,0.0034316817875026,0,0,0.920910434228249,0,0,0,0,0,0.451681365891213,0.0137210196498653,0,0,0,0,0.0020745217901566,0,"aOTU_5"
"6","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudohongiellaceae","g__Pseudohongiella",1.52711340578903,0.0003711769808265,0.0094493860110935,0.0004370878908292,0.0167429910274998,0,0,0,0,0.000351562372153,0,0,0,0.0120663259650429,0.0036392834175699,0,0.0001116359054588,0.0051335924632395,0,1.01724911575867,"aOTU_6"
"7","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudohongiellaceae","g__UBA5078",0.651111183882416,0,0.389219515718222,0,0.749542237994513,0,0,0,0,0,0,0,0,0,0,0,0.198371422205116,0,0,0,"aOTU_7"
"8","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylomonadaceae","g__Methylicorpusculum",0.368600235104028,2.87816817215923,0,0.05452400515849,0.0004129823069475,0.0474,0.0159242762917382,0.0187245398495928,0.0001689813660527,0.0014928204030764,0,0,1.93501510723866,0,0,0.0706829526534701,0.023982183390199,0.213176926428415,1.29019155954695,29.9251155948304,"aOTU_8"
"9","d__Bacteria","p__Cloacimonadota","c__Cloacimonadia","o__Cloacimonadales","f__Cloacimonadaceae","g__JAUYAR01",0.2337074107202,0,0,0,0.0011116107095339,0,0,0.457504399193439,0,0,0,0,0,0,0,0,0,0.0748698894137906,0,0,"aOTU_9"
"10","d__Bacteria","p__Actinomycetota","c__Aquicultoria","o__Aquicultorales","f__Aquicultoraceae","g__Aquicultor",0.112592587564536,0,0,0,0.0005644091528283,0,0,0,0.0005038717096845,0,0,0,0.0123048347644371,0,0,0,0,0.0060848925691153,0,0,"aOTU_10"
"11","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__UBA2334",0.0710108894759418,0,0.0006048400279923,0,0,0.02696,0.125898451814297,0,0.0483317430795633,0,0.0070153071576302,0,0,5.28279003893011,0,0,0,0.183943731282989,0,0,"aOTU_11"
"12","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__UBA7662","f__UBA7662","g__PNNG01",0.0668465273069799,0.0045159866000563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"aOTU_12"
"13","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Caulobacterales","f__Hyphomonadaceae","g__Hyphomonas",0.0431530094646147,0,0,0,0,0,0,0,0,0,0,0,0,0.0001498076587082,0.0018906521169326,0,0,0,0,0,"aOTU_13"
"14","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__SG8-41","g__Ga0077527",0.041078568830262,0.0002916390563637,0.10721863665613,0.0019361909874752,0.273521623410608,0,0.35796310003791,0,0,0,0,0,0.105474037839591,0.0169282654340274,0,0,0,0,0.0568078583335586,0,"aOTU_14"
"15","d__Bacteria","p__Nitrospirota","c__Thermodesulfovibrionia","o__Thermodesulfovibrionales","f__UBA1546","g__UBA1546",0.0464581816693485,0,0.117957026005567,0.0935476455273233,0.0671233909558802,0,0.0720576768049452,0.386339343484546,0.0631022506668115,0.0491754466441986,0,0,0.0006762962618621,0,0.0425529870825127,0,0.0072926155240998,0.0029224624874201,0.002870291789485,0,"aOTU_15"
"16","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Lentimicrobiaceae","g__Lentimicrobium",0.0329433557455427,0.0091115111245756,0,0,0,0.0817,0,0,0.0042875181150296,0,0,0,0,0.0142112992601831,0.0021746937495234,0,0,0,0.0015179427732853,0.0174901847555359,"aOTU_16"
"17","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Sulfuricystis",0.0236625560418524,0.0652476107010105,0.0033018316282205,0,0.0068864799683509,0.99999,5.87852693296327e-05,0.0003688837637823,0.0457325024308245,0,0,0,0.002409305432884,0.0008852270741848,0,0.0006460150100695,0,0.0052450059891529,0.0308004388179359,0.0018413546258897,"aOTU_17"
"18","d__Bacteria","p__Campylobacterota","c__Campylobacteria","o__Campylobacterales","f__Sulfurimonadaceae","g__Sulfuricurvum",0.0150242136988013,2.14953892124954,0.0591949994608902,0,0.0714562636596052,0,0.0645788842068975,5.57295572739372,8.41223190103279,0.844312404111401,0,0,0.0019631377601277,0.0103299190118341,0.0105184167068789,0.0021830852064418,0.004297982360166,0,0.763318222766185,0,"aOTU_18"
"19","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Polaromonas",0.0147610383944431,0,0.635442289299347,5.80604074249609,0.789952556729333,0.47003,5.75078654270997,0,0,0.0584395902347189,0.290823268237769,1.58178856641502,0.14575123743494,0.0002791870003198,0,0,0.185845873612632,0.0130525230743135,0.65655624771178,0,"aOTU_19"
"20","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Methylibium",0.0140256956322658,0,0.261710644461847,0,0,0,0.0374592799561603,0,0,0,0,0.0007481023295541,0.0914268009004953,0,0.0251820659893801,0,0,0,0,0,"aOTU_20"
"21","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium",0.0162162430185413,0,0.0398302031548402,0,0.0014626456704393,0,0,0,0,0,0,1.86004009876298,0,0,0.0005148254590708,0,0.214695382480838,0,0,0,"aOTU_21"
"22","d__Bacteria","p__Desulfobacterota","c__Desulfobulbia","o__Desulfobulbales","f__Desulfurivibrionaceae","g__Thiovibrio",0.0123073157038094,0.39736263306915,0.006150859519638,0,0,0,0,0,0.050109119811591,1.13207623527586,0,0,0,0.0015865992945005,0,0,0.0476908588120238,0.0013026812260641,0.0931694874936218,0.0003382079925103,"aOTU_22"
"23","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Perlucidibaca",0.0184067904048168,0,0.0097237123625873,0.179715369063207,1.44400640231912,0,0,0.0011730503688279,8.29544887895373e-05,0.0153272748315866,0,0,0,0.0031187230767435,0.0088407958143893,0,0,0,0,0.10528468490656,"aOTU_23"
"24","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Methyloversatilis",0.0106353784761221,0,0.0617002931287493,0.0034569678638316,0.0011460259017795,0,0.129543138512734,0,0.0005699280618688,0.721977144545005,0,0.150388584356218,0.57651438422661,0.867134394676332,0.0115480676250206,0,0.0009014599365802,0,0.0934592765685217,0,"aOTU_24"
"25","d__Bacteria","p__Bacillota_B","c__Desulfotomaculia","o__Ammonifexales","f__Desulforudaceae","g__SURF-60",0.0101554705681748,0.0086519586721237,0,0,0,0,0,0.0882074855956389,0.200677661741549,0,0,0,0,0,0,0,0,0,0,0,"aOTU_25"
"26","d__Archaea","p__Thermoplasmatota","c__JASEFT01","o__JASEFT01","f__JAUWIS01","g__JASEEW01",0.0100935469671493,0.0003269892450138,0,0,0,0,0,0.0021911695568672,0,0.002422929862136,0.0104217784216718,0,0,0,0.0008343722957355,0,0,0,0,0,"aOTU_26"
"27","d__Bacteria","p__Desulfobacterota","c__BSN033","o__BSN033","f__UBA1163","g__RBG-16-49-23",0.0077017478775411,0,0.0027928405664127,0.0007405208067768,0.0072925792368493,0,0.0015480120923469,0.0146004193705059,0.201992644008286,0.0139674780287844,0.002057373733728,0,0.0006669032582252,0,0.0014645896680464,0,0.0301444853715279,0,0.0236293091708089,0,"aOTU_27"
"28","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E",0.0062465432534428,0.141515642713705,0.0141955624056127,0,0,0.0422,0.0015218853059782,0,0,0.0171167589781316,0,0.0659430936378872,0.0007561367927764,0,0.0456863213420302,17.4288516860258,1.76907744842069,0.0309643899326952,0,0,"aOTU_28"
"29","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Thiobacillaceae","g__Thiobacillus",0.0079494422816429,0.201672826249094,0.293396990627763,0.0430332896152837,0.0033279490901525,0.00233,0.0411039666545975,0.000730389852289,0.337486511892101,0,0,0,0.0001596810618285,0,0,0,1.67371247618246,0,0.153399616806951,0,"aOTU_29"
"30","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Reyranellales","f__Reyranellaceae","g__Reyranella",0.0044739801740892,0,0.195812827641566,0.0127333455799441,0.0538150361144944,0,0.105186441920489,0.0002729739851989,0,0.0043612737518449,0,0.0140963495809628,0.0277469327436239,0,0.0091780952530909,0,0.0011972950860462,0,0.0146504476754966,0,"aOTU_30"
"31","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium",0.0029181496983246,0,0.0041446415032918,0,0.0055133137977502,0,0.0002743312568716,0,0,0.0050242802674969,0,0.0005954794462671,0.0041704936148168,0,0,0,0.006642336374802,0,0,0,"aOTU_31"
"32","d__Bacteria","p__Nitrospirota","c__Thermodesulfovibrionia","o__Thermodesulfovibrionales","f__UBA1546","g__SCSY01",0.0027788215960173,0,0.0355665767280089,0.0193221746119493,0.0005368769990318,0,0.919884957863276,0,0.0542384099202258,0.0288481736308793,0,0,0.0003898096509344,0,0,0,0.32525958324729,0,0.0819505104510672,0,"aOTU_32"
"33","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__JAHIHE01","f__JAHIHE01","g__JAHIHE01",0.0024305013402491,0,0,0,0,0,0,0,0,0.0323648530952694,0,0,0,0,0,0,0,0,0,0,"aOTU_33"
"34","d__Bacteria","p__Bacillota_D","c__Dethiobacteria","o__Dethiobacterales","f__Dethiobacteraceae","g__UBA7523",0.0023995395397364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"aOTU_34"
"35","d__Bacteria","p__Desulfobacterota","c__Syntrophia","o__Syntrophales","f__UBA5619","g__JAHJXP01",0.0022911732379418,0,0.0490614501394447,0.0067838930494,0.0094676193867733,0,0.0277139886406257,0.0031797780438039,0.269591335206338,0,0,0,0.0104591095497715,0,0,0,0.21028018241994,0,0.0582338045751297,0.0115044401261858,"aOTU_35"
"36","d__Bacteria","p__Bacillota_B","c__TC1","o__TC1","f__TC1","g__WTXA01",0.0020279979335836,0,0,0,0,0,0,0,0,0,0,0,0.0002301285891058,0,0,0,0,0,0,0,"aOTU_36"
