"","Kingdom","Phylum","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"1","k__Bacteria","p__Pseudomonadota",95624021,99439561,29250113,18907986,40966912,80756915,82443993,94281489,3276536,4395197,58814439,32199143,36531503,33092328,51931758,30799025,37666654,67648833,37057050,33801773,"bOTU_1"
"2","k__Bacteria","p__Myxococcota",4912534,7366,566883,44175,8856,0,5405774,0,0,0,0,0,972545,1401901,0,0,77437,0,716388,0,"bOTU_2"
"3","k__Bacteria","p__Candidatus_Cloacimonadota",237505,0,0,0,3466,0,0,648034,0,0,0,0,0,0,0,0,0,51940,0,0,"bOTU_3"
"4","k__Bacteria","p__Bacteroidota",388727,1035992,4137234,17329016,106840,361353,11792681,60166,579142,48650,2772725,1589928,2764791,2607553,359230,192202,779623,342886,1119107,122120,"bOTU_4"
"5","k__Bacteria","p__Actinomycetota",189508,0,415383,60045,60258,70335,27453,8682,265884,75761,14045,9863,420499,129955,97406,225718,175225,71700,422370,0,"bOTU_5"
"6","k__Bacteria","p__Nitrospirota",141640,7001,676047,697687,1318629,0,2338661,314272,95159,132729,0,45630,258425,0,18915,0,269384,8941,967876,0,"bOTU_6"
"7","k__Bacteria","p__Thermodesulfobacteriota",134128,596498,714456,277260,153009,38641,874198,1287071,1228347,822782,37172,126647,204484,253340,25658,10590,1676370,64797,6121248,56035,"bOTU_7"
"8","k__Bacteria","p__Campylobacterota",13471,1420475,42944,0,63071,0,159754,6350415,3963014,670658,0,0,37116,29566,6478,3470,323818,0,845833,0,"bOTU_8"
"9","k__Bacteria","p__Firmicutes",30888,16177,51119,0,21348,10659,22002,115824,293433,198945,5467,35430,75787,486998,0,0,6976,0,54943,52879,"bOTU_9"
"10","k__Archaea","p__Thermoplasmatota",13030,4482,0,0,0,0,0,6602,0,10297,8913,0,0,0,4417,0,4089,0,0,0,"aOTU_10"
"11","k__Bacteria","p__Candidatus_Saccharibacteria",3422,0,0,18866,0,0,1082,10391,18777,35537,0,345821,0,0,3173,0,25799,0,0,0,"bOTU_11"
"12","k__Bacteria","p__Chloroflexota",0,7125,34938,124953,171654,0,8600,4889,184999,106659,12724,2305,116866,195204,0,0,26361,20281,206279,3773,"bOTU_12"
"13","k__Bacteria","p__Elusimicrobiota",0,0,0,0,0,0,0,0,0,2952,6981,0,0,0,0,0,2499,0,2613,0,"bOTU_13"
"14","k__Archaea","p__Methanobacteriota",0,13135,7969,9009,0,45087,57552,635153,8203,1290425,3730,20295,790018,1587156,0,8760,60954,190336,3670634,7215234,"aOTU_14"
"15","k__Archaea","p__Nitrososphaerota",0,0,0,0,0,0,0,0,0,17041,0,219052,0,0,0,0,0,0,0,0,"aOTU_15"
"16","k__Bacteria","p__Candidatus_Methylomirabilota",0,0,0,0,0,0,0,0,28707,15504,0,64726,0,0,0,0,0,0,0,0,"bOTU_16"
"17","k__Bacteria","p__Candidatus_Roizmanbacteria",0,0,8341,30727,0,0,0,0,0,6191,0,41338,0,0,0,0,0,0,5142,0,"bOTU_17"
"18","k__Bacteria","p__Acidobacteriota",0,0,303486,25884,752116,0,216744,0,0,0,0,74390,1120254,0,17380,0,20589,0,81805,0,"bOTU_18"
"19","k__Bacteria","p__Candidatus_Omnitrophota",0,0,26603,20926,7727,0,9025,190292,99873,100235,0,27884,0,0,8545,0,3843,0,6797,0,"bOTU_19"
"20","k__Bacteria","p__Candidatus_Parcubacteria",0,0,0,4238,0,0,0,0,3981,2646,0,3281,0,0,0,0,2590,0,0,0,"bOTU_20"
"21","k__Bacteria","p__Planctomycetota",0,0,4341,8051,0,0,29206,0,28390,8773,0,11994,3336,0,0,0,10314,0,16476,0,"bOTU_21"
"22","k__Bacteria","p__Cyanobacteriota",0,0,0,0,0,0,0,0,0,0,0,3405,0,0,0,0,0,0,0,0,"bOTU_22"
"23","k__Bacteria","p__Ignavibacteriota",0,0,55369,0,0,0,11233,0,6097,0,0,0,48731,9191,0,0,0,0,7259,0,"bOTU_23"
"24","k__Bacteria","p__Spirochaetota",0,0,0,0,0,0,0,0,0,0,0,0,15276,6323,0,0,0,0,4845,0,"bOTU_24"
"25","k__Bacteria","p__Candidatus_Cryosericota",0,0,0,0,0,0,0,0,0,0,0,0,8075,0,0,0,5476,0,0,0,"bOTU_25"
"26","k__Bacteria","p__Mycoplasmatota",0,0,0,0,0,0,23881,0,2585,0,0,0,6559,0,0,0,2975,0,0,0,"bOTU_26"
"27","k__Bacteria","p__Thermomicrobiota",0,0,119297,13071,115235,0,10547,9253,11820,12337,0,0,8178,0,8901,0,9940,0,20734,0,"bOTU_27"
"28","k__Bacteria","p__Gemmatimonadota",0,7474,7082,0,0,0,0,0,0,3447,0,0,0,8565,0,0,0,0,0,0,"bOTU_28"
