"","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"1","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__GGB38197|s__GGB38197_SGB102711",NA,NA,NA,NA,NA,NA,41865541,7325,246881,797096,953372,8262,9623947,0,8892,0,0,0,16848749,0,0,6789,220265,0,9409456,0,"bOTU_1"
"2","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__GGB15285|s__GGB15285_SGB163133",NA,NA,NA,NA,NA,NA,14400447,2683460,1076397,1615900,1849849,21727051,4391338,50860124,1001305,0,11927843,12722624,26815,0,30492244,47289,5269094,15454296,3617983,0,"bOTU_2"
"3","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Parvibaculaceae|g__Parvibaculum|s__Parvibaculum_SGB184089",NA,NA,NA,NA,NA,NA,18997874,0,46154,54804,2561119,49031,9748,86428,0,51304,36352,17297,11384,0,963227,11380,0,178886,0,0,"bOTU_3"
"4","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__GGB65385|s__GGB65385_SGB88404",NA,NA,NA,NA,NA,NA,6966648,32107,40432,9145,12208,186725,211140,0,20209,54793,0,0,52238,28045528,0,0,0,3472407,12922,25797,"bOTU_4"
"5","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__GGB123072|s__GGB123072_SGB163128",NA,NA,NA,NA,NA,NA,4186501,12361642,10459,248773,201476,14669232,270909,29090264,4671,0,11643201,15979,21571,4476,2526108,190293,7534,22803499,0,0,"bOTU_5"
"6","k__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae|g__GGB44951|s__GGB44951_SGB173772",NA,NA,NA,NA,NA,NA,4912534,0,112547,11028,0,0,3386391,0,0,0,0,0,972545,18768,0,0,0,0,9918,0,"bOTU_6"
"7","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudohongiellaceae|g__GGB124104|s__GGB124104_SGB164206",NA,NA,NA,NA,NA,NA,2251245,4614,9681,0,25162,0,0,0,0,0,0,0,0,7983,5380,0,4193,7189,0,793311,"bOTU_7"
"8","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hydrogenophaga|s__Hydrogenophaga_SGB178659",NA,NA,NA,NA,NA,NA,2267263,3781947,21486,1517537,136108,17836,2447347,4830428,464919,0,72628,33590,1685004,54364,3652142,43675,0,1048939,871654,26653,"bOTU_8"
"9","k__Bacteria|p__Pseudomonadota|c__CFGB8809|o__OFGB8809|f__FGB8809|g__GGB124110|s__GGB124110_SGB164208",NA,NA,NA,NA,NA,NA,926323,0,338753,0,1030424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_9"
"10","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__GGB65385|s__GGB65385_SGB178643",NA,NA,NA,NA,NA,NA,1057991,394832,455074,54286,127058,48584,195913,114968,51924,13577,1342272,1571428,14507,644741,1413915,16547,0,296901,20533,0,"bOTU_10"
"11","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Methylicorpusculum|s__Methylicorpusculum_SGB165343",NA,NA,NA,NA,NA,NA,674530,3930792,0,63293,14931,58279,37906,50832,14489,16885,0,0,2273506,0,0,42683,36868,255916,1771510,28127961,"bOTU_11"
"12","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Methylotenera|s__Methylotenera_mobilis",NA,NA,NA,NA,NA,NA,667678,27371,33569,0,46721,0,22194526,0,0,0,0,4884592,0,0,0,0,14476,61434,0,0,"bOTU_12"
"13","k__Bacteria|p__Candidatus_Cloacimonadota|c__CFGB2808|o__OFGB2808|f__FGB2808|g__GGB123276|s__GGB123276_SGB153695",NA,NA,NA,NA,NA,NA,237505,0,0,0,3466,0,0,648034,0,0,0,0,0,0,0,0,0,51940,0,0,"bOTU_13"
"14","k__Bacteria|p__Actinomycetota|c__CFGB14186|o__OFGB14186|f__FGB14186|g__GGB38751|s__GGB38751_SGB83034",NA,NA,NA,NA,NA,NA,136438,0,0,0,3825,0,0,0,2646,0,0,0,16734,0,0,0,0,7687,0,0,"bOTU_14"
"15","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__GGB134262|s__GGB134262_SGB178936",NA,NA,NA,NA,NA,NA,106308,0,11647,0,0,30274,213975,0,41694,0,14247,0,0,2863193,0,0,0,184966,0,0,"bOTU_15"
"16","k__Bacteria|p__Bacteroidota|c__CFGB43210|o__OFGB43210|f__FGB43210|g__GGB43210|s__GGB43210_SGB60505",NA,NA,NA,NA,NA,NA,255311,6887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_16"
"17","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomonadales|f__Hyphomonadaceae|g__Hyphomonas|s__Hyphomonas_SGB10518",NA,NA,NA,NA,NA,NA,67454,0,0,0,0,0,0,0,0,0,0,0,0,5877,7177,0,0,0,0,0,"bOTU_17"
"18","k__Bacteria|p__Pseudomonadota|c__CFGB33292|o__OFGB33292|f__FGB33292|g__GGB133806|s__GGB133806_SGB179331",NA,NA,NA,NA,NA,NA,57200,5521,11315,6050,356539,0,514809,0,0,0,0,0,97602,11088,0,0,0,0,64001,0,"bOTU_18"
"19","k__Bacteria|p__Nitrospirota|c__CFGB5004|o__OFGB5004|f__FGB5004|g__GGB14416|s__GGB14416_SGB166674",NA,NA,NA,NA,NA,NA,55578,0,50664,31084,40951,0,81131,314272,31674,19362,0,0,7936,0,18915,0,10210,8941,9091,0,"bOTU_19"
"20","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Lentimicrobiaceae|g__GGB13972|s__GGB13972_SGB21397",NA,NA,NA,NA,NA,NA,63387,14964,0,0,0,100431,0,0,7766,0,0,0,0,18199,6242,0,0,0,8690,18553,"bOTU_20"
"21","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae|g__GGB26459|s__GGB26459_SGB88238",NA,NA,NA,NA,NA,NA,83055,184847,11895,0,27751,0,5944,18574,105333,0,0,0,7431,6642,0,9524,0,31170,70033,17235,"bOTU_21"
"22","k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Sulfurimonadaceae|g__GGB34283|s__GGB34283_SGB204197",NA,NA,NA,NA,NA,NA,13471,1420475,0,0,0,0,34828,6350415,3963014,6396,0,0,0,29566,6478,3470,0,0,0,0,"bOTU_22"
"23","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Polaromonas|s__Polaromonas_SGB179188",NA,NA,NA,NA,NA,NA,95383,0,44077,5913614,151054,649188,13479354,0,0,0,278073,714431,257817,59303,0,0,1047318,41218,1305808,0,"bOTU_23"
"24","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae|g__Methylibium|s__Methylibium_sp_Root1272",NA,NA,NA,NA,NA,NA,31341,0,248032,0,0,0,72059,0,0,0,0,0,97424,0,29025,0,0,0,0,0,"bOTU_24"
"25","k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_azooxidireducens",NA,NA,NA,NA,NA,NA,29668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_25"
"26","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Thiovibrionaceae|g__Thiovibrio|s__Thiovibrio_SGB52009",NA,NA,NA,NA,NA,NA,21550,348554,13233,0,0,0,0,0,38097,444060,0,0,0,8687,0,0,41299,10219,92029,0,"bOTU_26"
"27","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__GGB42936|s__GGB42936_SGB165576",NA,NA,NA,NA,NA,NA,13709,0,7901,108245,1301509,0,0,6068,5294,8302,0,0,0,0,8400,0,0,0,0,21112,"bOTU_27"
"28","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Sterolibacteriaceae|g__Methyloversatilis|s__Methyloversatilis_SGB179884",NA,NA,NA,NA,NA,NA,24730,0,61518,13369,13121,0,211920,0,12339,381830,0,778215,599955,504224,0,0,0,0,115691,0,"bOTU_28"
"29","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__GGB60800|s__GGB60800_SGB82832",NA,NA,NA,NA,NA,NA,13702,11054,0,0,0,0,0,104787,98243,0,0,0,0,0,0,0,0,0,0,0,"bOTU_29"
"30","k__Archaea|p__Thermoplasmatota|c__CFGB14502|o__OFGB14502|f__FGB14502|g__GGB73713|s__GGB73713_SGB147456",NA,NA,NA,NA,NA,NA,13030,4482,0,0,0,0,0,6602,0,5167,8913,0,0,0,4417,0,0,0,0,0,"aOTU_30"
"31","k__Bacteria|p__Nitrospirota|c__CFGB5004|o__OFGB5004|f__FGB5004|g__GGB14416|s__GGB14416_SGB21930",NA,NA,NA,NA,NA,NA,46026,0,25256,65566,0,0,84525,0,11944,13992,0,0,0,0,0,0,0,0,0,0,"bOTU_31"
"32","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hydrogenophaga|s__Hydrogenophaga_SGB178651",NA,NA,NA,NA,NA,NA,40580,111062,0,0,0,559893,230180,0,0,0,21749743,64336,0,0,422875,0,51512,2564421,0,0,"bOTU_32"
"33","k__Bacteria|p__Thermodesulfobacteriota|c__CFGB34348|o__OFGB34348|f__FGB34348|g__GGB63020|s__GGB63020_SGB85259",NA,NA,NA,NA,NA,NA,34106,0,15761,9717,27834,0,19313,74525,417915,25798,12473,0,11054,0,11929,0,86146,0,80086,0,"bOTU_33"
"34","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Ectopseudomonas|s__Ectopseudomonas_chengduensis",NA,NA,NA,NA,NA,NA,33215,19452,0,0,0,40224,39416,0,0,28694,0,0,0,0,116304,0,0,0,0,0,"bOTU_34"
