"","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"1","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae","g__Nitrosomonas","s__Nitrosomonas sp016708955",32.635401937193,0.0004418773581268,0.311938807879331,1.00154174812759,0.779717478555483,0.00389,6.5939371290083,0,0.0055763850797411,0,0,0,19.6184152562586,0,0,0.0009547019853244,0.251660821675902,0,8.9722791434681,0,"aOTU_1"
"2","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","g__Methylotenera","s__Methylotenera sp030652995",15.3092093320708,3.67574796603103,1.85256881841555,2.68187015382321,2.02821805676561,35.18691,4.06905102603125,39.0796639779081,1.90043357137001,0,22.4982418279923,5.91068394738715,0.0006105452364033,0,61.869406956571,0.150737896462875,2.72418122847158,24.2864517354143,4.69560417488097,0,"aOTU_2"
"3","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Parvibaculales","f__Parvibaculaceae","g__Parvibaculum","s__Parvibaculum sp030694575",13.4523837126218,0,0.0501058733571801,0.0588406996175066,1.8537812133494,0.05024,0.0003069897398325,0.0438381464878961,0,0.101162336522763,0.0411559065341262,0.0127677798920222,0.0004696501818487,0,1.30213560680652,0.0013715885189161,0,0.183918020469316,0,0,"aOTU_3"
"4","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Hydrogenophaga","s__Hydrogenophaga sp018333605",4.5488225863786,0.0203086833795099,0.0388948494503493,0.001918129504383,0.0040093698966161,0.17765,0.118106137779824,0,0.0178336788955136,0.0949989097100609,0,0,0.0467301930939502,48.9372797321854,0,0,0,3.42074662666092,0.0049448135796417,0.0139255798820934,"aOTU_4"
"5","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","g__Methylotenera","s__Methylotenera sp030684185",4.13939921729854,16.0144220002145,0.0121562930216166,0.388885404753042,0.20361748492128,22.04803,0.232770071455569,20.99279135774,0.0015377304310801,0,20.5291328001849,0.0198935171313872,0.0300857906492306,0.0008784176351526,4.74838610612792,0.589716233994953,0.0047668531630932,33.4420981949404,0,0,"aOTU_5"
"6","d__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae","g__Archangium_A","s__Archangium_A sp030695565",1.53044179934415,0,0.0144566682100465,0.0034316817875026,0,0,0.920910434228249,0,0,0,0,0,0.451681365891213,0.0137210196498653,0,0,0,0,0.0020745217901566,0,"aOTU_6"
"7","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudohongiellaceae","g__Pseudohongiella","s__Pseudohongiella sp030651695",1.5263083989757,8.83754716253698e-05,0.0094493860110935,0,0.0167120173544787,0,0,0,0,0,0,0,0,0.0084505138389493,0.0036392834175699,0,0.0001116359054588,0.0051335924632395,0,1.01724911575867,"aOTU_7"
"8","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Hydrogenophaga","s__Hydrogenophaga sp022844385",1.48663085161864,3.19277601359838,0.0139807285158886,1.58856884699442,0.0881028921488173,0.00286,1.38453679003788,2.28115506220431,0.532644627740672,0,0.0783319753538277,0.0244521875141551,1.62640797274584,0.0826597804117697,4.59103591797362,0.0750554877462561,0,0.999302195001993,0.68521776716736,0.0204911096414612,"aOTU_8"
"9","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudohongiellaceae","g__UBA5078","s__UBA5078 sp030682575",0.651111183882416,0,0.389219515718222,0,0.749542237994513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"aOTU_9"
"10","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Hydrogenophaga","s__Hydrogenophaga sp030656115",0.557087936175388,0.260813691860791,0.385236825916415,0.0412741011621113,0.0681799373578211,0.01859,0.0886089959695329,0.0425986970415874,0.0456434031650876,0.0011518154595165,1.24139738809666,1.21890889629167,0.0030527261820168,0.840100921718533,1.39737831673463,0.013754073268574,0,0.22688079011576,0.0084958797038123,0,"aOTU_10"
"11","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylomonadaceae","g__Methylicorpusculum","s__Methylicorpusculum sp030651835",0.368600235104028,2.87816817215923,0,0.05452400515849,0.0004129823069475,0.0474,0.0159242762917382,0.0187245398495928,0.0001689813660527,0.0014928204030764,0,0,1.93501510723866,0,0,0.0706829526534701,0.023982183390199,0.213176926428415,1.20034314684821,29.9251155948304,"aOTU_11"
"12","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","g__Methylotenera","s__Methylotenera mobilis_B",0.335649138908357,0.0348464484618833,0.0541546658942874,0,0.0501188444673135,0,21.0530689630646,0,0,0,0,7.91965145404996,0,0,0,0,0.0002148991180083,0.0010370028181168,0,0,"aOTU_12"
"13","d__Bacteria","p__Cloacimonadota","c__Cloacimonadia","o__Cloacimonadales","f__Cloacimonadaceae","g__JAUYAR01","s__JAUYAR01 sp030693415",0.2337074107202,0,0,0,0.0011116107095339,0,0,0.457504399193439,0,0,0,0,0,0,0,0,0,0.0748698894137906,0,0,"aOTU_13"
"14","d__Bacteria","p__Actinomycetota","c__Aquicultoria","o__Aquicultorales","f__Aquicultoraceae","g__Aquicultor","s__Aquicultor sp018333515",0.112592587564536,0,0,0,0.0005644091528283,0,0,0,0.0005038717096845,0,0,0,0.0123048347644371,0,0,0,0,0.0060848925691153,0,0,"aOTU_14"
"15","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__UBA2334","s__UBA2334 sp030695205",0.0710108894759418,0,0.0006048400279923,0,0,0.02696,0.125898451814297,0,0.0483317430795633,0,0.0070153071576302,0,0,5.28279003893011,0,0,0,0.183943731282989,0,0,"aOTU_15"
"16","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__UBA7662","f__UBA7662","g__PNNG01","s__",0.0668465273069799,0.0045159866000563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"aOTU_16"
"17","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Caulobacterales","f__Hyphomonadaceae","g__Hyphomonas","s__Hyphomonas sp002841155",0.0431530094646147,0,0,0,0,0,0,0,0,0,0,0,0,0.0001498076587082,0.0018906521169326,0,0,0,0,0,"aOTU_17"
