Plate_Location,Sample,Day,Setup,DilutionCorr,Rock_Type,REP,Absorbance (640nm),Amount NH3 (mg NH3-N/L),Amount NH3_Dilution_Corr (mg NH3-N/L),Amount_NH3,,,,,,,,,
P1-A7,D0-CL-1,0,CL,1,No_Rocks,1,0.055,-0.087842278,-0.087842278,0,,,,,,,,,
P1-A8,D0-CL-2,0,CL,1,No_Rocks,2,0.056,-0.085651698,-0.085651698,0,,,,,,,,,
P1-A9,D0-CL-3,0,CL,1,No_Rocks,3,0.392,0.650383352,0.650383352,0.650383352,,,,,,,,,
P1-A10,D0-SH-1,0,SH,1,Shale,1,0.242,0.321796276,0.321796276,0.321796276,,,,,,,,,
P1-A11,D0-SH-2,0,SH,1,Shale,2,0.087,-0.017743702,-0.017743702,0,,,,,,,,,
P1-A12,D0-SH-3,0,SH,1,Shale,3,0.106,0.023877327,0.023877327,0.023877327,,,,,,,,,
P1-B1,D0-SA-1,0,SA,1,Sand,1,0.054,-0.090032859,-0.090032859,0,,,,,,,,,
P1-B2,D0-SA-2,0,SA,1,Sand,2,0.175,0.175027382,0.175027382,0.175027382,,,,,,,,,
P1-B3,D0-SA-3,0,SA,1,Sand,3,0.195,0.218838992,0.218838992,0.218838992,,,,,,,,,
P1-B4,D0-CO-1,0,CO,1,Coal,1,0.566,1.031544359,1.031544359,1.031544359,,,,,,,,,
P1-B5,D0-CO-2,0,CO,1,Coal,2,0.622,1.154216867,1.154216867,1.154216867,,,,,,,,,
P1-B6,D0-CO-3,0,CO,1,Coal,3,0.622,1.154216867,1.154216867,1.154216867,,,,,,,,,
P1-B7,D0-SS-1,0,SS,1,Sandstone,1,0.226,0.286746988,0.286746988,0.286746988,,,,,,,,,
P1-B8,D0-SS-2,0,SS,1,Sandstone,2,0.252,0.343702081,0.343702081,0.343702081,,,,,,,,,
P1-B9,D0-SS-3,0,SS,1,Sandstone,3,0.267,0.376560789,0.376560789,0.376560789,,,,,,,,,
P1-B10,D7-CL-1,7,CL,1,No_Rocks,1,0.093,-0.004600219,-0.004600219,0,,,,,,,,,
P1-B11,D7-CL-2,7,CL,1,No_Rocks,2,0.046,-0.107557503,-0.107557503,0,,,,,,,,,
P1-B12,D7-CL-3,7,CL,1,No_Rocks,3,0.047,-0.105366922,-0.105366922,0,,,,,,,,,
P1-C1,D7-SH-1,7,SH,1,Shale,1,0.155,0.131215772,0.131215772,0.131215772,,,,,,,,,
P1-C2,D7-SH-2,7,SH,1,Shale,2,0.063,-0.070317634,-0.070317634,0,,,,,,,,,
P1-C3,D7-SH-3,7,SH,1,Shale,3,0.06,-0.076889376,-0.076889376,0,,,,,,,,,
P1-C4,D7-SA-1,7,SA,1,Sand,1,0.07,-0.054983571,-0.054983571,0,,,,,,,,,
P1-C5,D7-SA-2,7,SA,1,Sand,2,0.071,-0.05279299,-0.05279299,0,,,,,,,,,
P1-C6,D7-SA-3,7,SA,1,Sand,3,0.055,-0.087842278,-0.087842278,0,,,,,,,,,
P1-C7,D7-CO-1,7,CO,1,Coal,1,0.952,1.877108434,1.877108434,1.877108434,,,,,,,,,
P1-C8,D7-CO-2,7,CO,1,Coal,2,0.711,1.349178532,1.349178532,1.349178532,,,,,,,,,
P1-C9,D7-CO-3,7,CO,1,Coal,3,0.921,1.809200438,1.809200438,1.809200438,,,,,,,,,
P1-C10,D7-SS-1,7,SS,1,Sandstone,1,0.094,-0.002409639,-0.002409639,0,,,,,,,,,
P1-C11,D7-SS-2,7,SS,1,Sandstone,2,0.103,0.017305586,0.017305586,0.017305586,,,,,,,,,
P1-C12,D7-SS-3,7,SS,1,Sandstone,3,0.13,0.07645126,0.07645126,0.07645126,,,,,,,,,
P1-D1,D15-CL-1,15,CL,1,No_Rocks,1,0.061,-0.074698795,-0.074698795,0,,,,,,,,,
P1-D2,D15-CL-2,15,CL,1,No_Rocks,2,0.054,-0.090032859,-0.090032859,0,,,,,,,,,
P1-D3,D15-CL-3,15,CL,1,No_Rocks,3,0.06,-0.076889376,-0.076889376,0,,,,,,,,,
P1-D4,D15-SH-1,15,SH,1,Shale,1,0.14,0.098357065,0.098357065,0.098357065,,,,,,,,,
P1-D5,D15-SH-2,15,SH,1,Shale,2,0.084,-0.024315444,-0.024315444,0,,,,,,,,,
P1-D6,D15-SH-3,15,SH,1,Shale,3,0.052,-0.09441402,-0.09441402,0,,,,,,,,,
P1-D7,D15-SA-1,15,SA,1,Sand,1,0.06,-0.076889376,-0.076889376,0,,,,,,,,,
P1-D8,D15-SA-2,15,SA,1,Sand,2,0.074,-0.046221249,-0.046221249,0,,,,,,,,,
P1-D9,D15-SA-3,15,SA,1,Sand,3,0.101,0.012924425,0.012924425,0.012924425,,,,,,,,,
P1-D11,D15-CO-2,15,CO,1,Coal,2,0.897,1.756626506,1.756626506,1.756626506,,,,,,,,,
P1-D12,D15-CO-3,15,CO,1,Coal,3,0.694,1.311938664,1.311938664,1.311938664,,,,,,,,,
P1-E1,D15-SS-1,15,SS,1,Sandstone,1,0.151,0.12245345,0.12245345,0.12245345,,,,,,,,,
P1-E2,D15-SS-2,15,SS,1,Sandstone,2,0.056,-0.085651698,-0.085651698,0,,,,,,,,,
