Summary,,,,,,,
,,,,,,,
Sequence Details,,,,,,,
Name:,,Exp2-D28-Anions-20250728,,,Created On:,23-Jun-21 12:28:18,
Directory:,,Gama\Mesocosm,,,Created By:,Thermo Fisher Scient,
Data Vault:,,ChromeleonLocal,,,Updated On:,29-Jul-25 09:57:26,
No. of Injections:,,35,,,Updated By:,Thermo Fisher Scient,
,,,,,,,
By Component,,Acetate,,,,,
,,,,,,,
No. ,Injection Name,Ret.Time,Area,Height,Amount,Rel.Area ,Peak Type 
,,min,µS*min,µS,mM,%,
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Acetate,Acetate,Acetate,Acetate,Acetate,Acetate
1,Exp2-D28_20250728-1600H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2,Exp2-D28_20250728-1600H_STD-NO3005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3,Exp2-D28_20250728-1600H_STD-NO3020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4,Exp2-D28_20250728-1600H_STD-NO3050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
5,Exp2-D28_20250728-1600H_STD-NO3200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
6,Exp2-D28_20250728-1600H_STD-NO3500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
7,Exp2-D28_20250728-1600H_STD-NO2005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8,Exp2-D28_20250728-1600H_STD-NO2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
9,Exp2-D28_20250728-1600H_STD-NO2050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10,Exp2-D28_20250728-1600H_STD-NO2200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
11,Exp2-D28_20250728-1600H_STD-NO2500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
12,Exp2-D28_20250728-1600H_STD-OAC005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
13,Exp2-D28_20250728-1600H_STD-OAC020,3.520,0.265,0.939,11.792,100.00,BMB*
14,Exp2-D28_20250728-1600H_STD-OAC050,3.520,0.770,2.344,51.344,100.00, M 
15,Exp2-D28_20250728-1600H_STD-OAC200,3.563,2.808,8.296,211.116,100.00, M 
16,Exp2-D28_20250728-1600H_STD-OAC500,3.603,6.439,17.174,495.747,100.00, M 
17,Exp2-D28_20250728-1600H_STD-SO4050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
18,Exp2-D28_20250728-1600H_STD-SO4200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
19,Exp2-D28_20250728-1600H_STD-SO4500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
20,Exp2-D28_20250728-1600H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
21,Exp2-D28_20250728-1600H_SA1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
22,Exp2-D28_20250728-1600H_SS1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
23,Exp2-D28_20250728-1600H_SH1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
24,Exp2-D28_20250728-1600H_CO1,3.750,0.782,3.639,52.335,0.51,BM 
25,Exp2-D28_20250728-1600H_CL1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
26,Exp2-D28_20250728-1600H_SA2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
27,Exp2-D28_20250728-1600H_SS2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
28,Exp2-D28_20250728-1600H_SH2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
29,Exp2-D28_20250728-1600H_CO2,3.703,0.803,3.709,53.984,0.55,BM 
30,Exp2-D28_20250728-1600H_CL2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
31,Exp2-D28_20250728-1600H_SA3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
32,Exp2-D28_20250728-1600H_SS3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
33,Exp2-D28_20250728-1600H_SH3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
34,Exp2-D28_20250728-1600H_CO3,3.707,0.713,3.245,46.907,0.48,BM 
35,Exp2-D28_20250728-1600H_CL3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
