Summary,,,,,,,
,,,,,,,
Sequence Details,,,,,,,
Name:,,Exp2-D50-Anions-20250819,,,Created On:,23-Jun-21 12:28:18,
Directory:,,Gama\Mesocosm,,,Created By:,Thermo Fisher Scient,
Data Vault:,,ChromeleonLocal,,,Updated On:,17-Sep-25 10:06:12,
No. of Injections:,,110,,,Updated By:,Thermo Fisher Scient,
,,,,,,,
By Component,,Nitrate,,,,,
,,,,,,,
No. ,Injection Name,Ret.Time,Area,Height,Amount,Rel.Area ,Peak Type 
,,min,µS*min,µS,mM,%,
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Nitrate,Nitrate,Nitrate,Nitrate,Nitrate,Nitrate
1,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2,Exp2-D50_20250916-1230H_STD-NO3005,6.260,0.416,1.950,10.609,100.00, M 
3,Exp2-D50_20250916-1230H_STD-NO3020,6.257,1.847,8.764,26.069,100.00, M 
4,Exp2-D50_20250916-1230H_STD-NO3050,6.287,4.263,20.680,52.181,100.00, M 
5,Exp2-D50_20250916-1230H_STD-NO3200,6.207,15.887,73.306,177.762,100.00, M 
6,Exp2-D50_20250916-1230H_STD-NO3500,6.170,46.487,193.044,508.378,100.00, M 
7,Exp2-D50_20250916-1230H_STD-NO2005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8,Exp2-D50_20250916-1230H_STD-NO2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
9,Exp2-D50_20250916-1230H_STD-NO2050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10,Exp2-D50_20250916-1230H_STD-NO2200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
11,Exp2-D50_20250916-1230H_STD-NO2500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
12,Exp2-D50_20250916-1230H_STD-OAC005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
13,Exp2-D50_20250916-1230H_STD-OAC020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
14,Exp2-D50_20250916-1230H_STD-OAC050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
15,Exp2-D50_20250916-1230H_STD-OAC200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
16,Exp2-D50_20250916-1230H_STD-OAC500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
17,Exp2-D50_20250916-1230H_STD-SO4050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
18,Exp2-D50_20250916-1230H_STD-SO4200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
19,Exp2-D50_20250916-1230H_STD-SO4500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
20,Exp2-D50_20250916-1230H_STD-HCOO1000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
21,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
22,Exp2-D50_20250916-1230H_SA1,6.273,0.387,2.544,10.303,0.37,BMB*
23,Exp2-D50_20250916-1230H_SH1,6.257,0.845,4.384,15.244,0.70,BMB*
24,Exp2-D50_20250916-1230H_SS1,6.253,3.289,13.203,41.655,2.95,BMB
25,Exp2-D50_20250916-1230H_CO1,6.243,4.862,22.840,58.650,4.03,BMB
26,Exp2-D50_20250916-1230H_CL1,6.273,0.289,2.038,9.243,0.28,BMB*
27,Exp2-D50_20250916-1230H_SA2,6.263,0.311,2.234,9.479,0.30,BMB*
28,Exp2-D50_20250916-1230H_SH2,6.247,4.009,15.083,49.435,3.30,BMB
29,Exp2-D50_20250916-1230H_SS2,6.257,3.269,13.081,41.435,2.97,BMB
30,Exp2-D50_20250916-1230H_CO2,6.247,4.971,23.293,59.822,4.16,BMB
31,Exp2-D50_20250916-1230H_CL2,6.270,0.319,2.121,9.569,0.31,BMB*
32,Exp2-D50_20250916-1230H_SA3,6.270,0.388,2.445,10.309,0.38,BMB*
33,Exp2-D50_20250916-1230H_SH3,6.250,4.108,15.096,50.497,3.39,BMB
34,Exp2-D50_20250916-1230H_SS3,6.263,3.505,14.374,43.986,3.19,BMB
35,Exp2-D50_20250916-1230H_CO3,6.243,4.981,23.262,59.939,4.14,BMB
