 ,Area,Mean,Min,Max
1,1.889,255,255,255
2,34.242,255,255,255
3,1.732,255,255,255
4,4.093,255,255,255
5,38.257,255,255,255
6,9.919,255,255,255
7,1.732,255,255,255
8,50.537,255,255,255
9,26.056,255,255,255
10,14.169,255,255,255
11,2.047,255,255,255
12,11.493,255,255,255
13,3.227,255,255,255
14,2.125,255,255,255
15,1.811,255,255,255
16,22.513,255,255,255
17,28.890,255,255,255
18,2.283,255,255,255
19,72.421,255,255,255
20,1.496,255,255,255
21,37.627,255,255,255
22,17.554,255,255,255
23,36.840,255,255,255
24,6.612,255,255,255
25,12.674,255,255,255
26,17.397,255,255,255
27,10.391,255,255,255
28,21.962,255,255,255
29,2.125,255,255,255
30,24.875,255,255,255
31,3.464,255,255,255
32,18.656,255,255,255
33,34.321,255,255,255
34,4.330,255,255,255
35,22.041,255,255,255
36,6.455,255,255,255
37,15.429,255,255,255
38,52.899,255,255,255
39,2.440,255,255,255
40,18.735,255,255,255
41,19.129,255,255,255
42,31.409,255,255,255
43,132.168,255,255,255
44,24.167,255,255,255
45,10.942,255,255,255
46,6.297,255,255,255
47,1.496,255,255,255
48,22.356,255,255,255
49,11.335,255,255,255
50,1.496,255,255,255
51,128.390,255,255,255
52,10.076,255,255,255
53,134.451,255,255,255
54,1.811,255,255,255
55,17.161,255,255,255
56,1.102,255,255,255
