 ,Area,Mean,Min,Max
1,2.755,255,255,255
2,19.365,255,255,255
3,1.811,255,255,255
4,2.440,255,255,255
5,8.344,255,255,255
6,2.913,255,255,255
7,11.493,255,255,255
8,12.831,255,255,255
9,2.283,255,255,255
10,2.283,255,255,255
11,1.732,255,255,255
12,3.227,255,255,255
13,7.478,255,255,255
14,1.811,255,255,255
15,11.335,255,255,255
16,1.181,255,255,255
17,1.496,255,255,255
18,2.676,255,255,255
19,4.881,255,255,255
20,10.470,255,255,255
21,14.248,255,255,255
22,1.259,255,255,255
23,2.204,255,255,255
24,8.502,255,255,255
25,9.682,255,255,255
26,9.289,255,255,255
27,3.857,255,255,255
28,2.991,255,255,255
29,2.125,255,255,255
30,12.831,255,255,255
31,2.519,255,255,255
32,7.006,255,255,255
33,4.172,255,255,255
34,10.391,255,255,255
35,2.047,255,255,255
36,13.540,255,255,255
37,3.542,255,255,255
