 ,Area,Mean,Min,Max
1,10.863,255,255,255
2,2.047,255,255,255
3,7.478,255,255,255
4,5.668,255,255,255
5,1.338,255,255,255
6,16.924,255,255,255
7,8.580,255,255,255
8,11.414,255,255,255
9,1.732,255,255,255
10,2.125,255,255,255
11,17.948,255,255,255
12,16.531,255,255,255
13,22.671,255,255,255
14,13.933,255,255,255
15,44.082,255,255,255
16,21.333,255,255,255
17,7.793,255,255,255
18,16.688,255,255,255
19,15.822,255,255,255
20,10.942,255,255,255
21,17.318,255,255,255
22,17.318,255,255,255
23,4.959,255,255,255
24,38.336,255,255,255
25,10.470,255,255,255
26,2.204,255,255,255
27,100.681,255,255,255
28,22.435,255,255,255
29,4.723,255,255,255
30,2.913,255,255,255
31,24.167,255,255,255
32,10.627,255,255,255
33,6.297,255,255,255
34,1.417,255,255,255
35,4.644,255,255,255
36,1.811,255,255,255
37,2.125,255,255,255
38,1.417,255,255,255
39,1.417,255,255,255
40,1.968,255,255,255
41,1.496,255,255,255
42,2.125,255,255,255
43,2.283,255,255,255
44,1.417,255,255,255
45,1.574,255,255,255
46,4.644,255,255,255
47,1.102,255,255,255
48,10.233,255,255,255
49,2.362,255,255,255
50,8.423,255,255,255
51,14.091,255,255,255
52,8.502,255,255,255
53,2.598,255,255,255
