 ,Area,Mean,Min,Max
1,1.259,255,255,255
2,2.991,255,255,255
3,1.968,255,255,255
4,3.464,255,255,255
5,9.761,255,255,255
6,2.519,255,255,255
7,2.125,255,255,255
8,2.598,255,255,255
9,8.423,255,255,255
10,1.496,255,255,255
11,4.644,255,255,255
12,1.889,255,255,255
13,3.464,255,255,255
14,6.612,255,255,255
15,3.936,255,255,255
16,2.204,255,255,255
17,6.691,255,255,255
18,2.204,255,255,255
19,8.974,255,255,255
20,5.589,255,255,255
21,1.889,255,255,255
22,1.259,255,255,255
23,3.936,255,255,255
24,4.566,255,255,255
25,9.682,255,255,255
26,9.761,255,255,255
27,4.015,255,255,255
28,1.259,255,255,255
29,18.656,255,255,255
30,4.172,255,255,255
31,4.251,255,255,255
32,1.811,255,255,255
33,2.519,255,255,255
34,5.825,255,255,255
35,17.869,255,255,255
36,3.857,255,255,255
37,2.834,255,255,255
38,5.195,255,255,255
39,3.070,255,255,255
40,4.487,255,255,255
41,2.598,255,255,255
42,24.639,255,255,255
43,5.038,255,255,255
44,3.542,255,255,255
45,1.259,255,255,255
46,26.764,255,255,255
47,1.259,255,255,255
48,1.259,255,255,255
49,16.295,255,255,255
50,3.936,255,255,255
51,2.834,255,255,255
52,9.761,255,255,255
53,2.913,255,255,255
54,5.353,255,255,255
55,4.566,255,255,255
56,1.259,255,255,255
57,9.840,255,255,255
58,2.283,255,255,255
59,5.825,255,255,255
60,2.598,255,255,255
61,3.464,255,255,255
62,3.542,255,255,255
63,4.487,255,255,255
64,1.181,255,255,255
65,1.259,255,255,255
66,1.811,255,255,255
67,1.811,255,255,255
68,19.758,255,255,255
69,1.181,255,255,255
70,1.259,255,255,255
71,3.149,255,255,255
72,7.006,255,255,255
73,1.811,255,255,255
74,8.344,255,255,255
75,4.015,255,255,255
76,1.889,255,255,255
77,1.181,255,255,255
78,1.574,255,255,255
79,2.047,255,255,255
80,2.598,255,255,255
81,2.519,255,255,255
82,3.306,255,255,255
83,1.574,255,255,255
84,4.802,255,255,255
85,4.015,255,255,255
86,3.621,255,255,255
87,2.676,255,255,255
88,2.440,255,255,255
89,3.306,255,255,255
90,1.811,255,255,255
91,1.889,255,255,255
92,4.487,255,255,255
93,3.385,255,255,255
94,1.889,255,255,255
95,1.417,255,255,255
96,1.574,255,255,255
97,1.811,255,255,255
98,15.429,255,255,255
99,4.487,255,255,255
100,3.227,255,255,255
101,3.778,255,255,255
102,3.070,255,255,255
103,6.612,255,255,255
104,1.811,255,255,255
105,2.598,255,255,255
106,14.563,255,255,255
107,6.297,255,255,255
108,4.172,255,255,255
109,1.889,255,255,255
110,2.913,255,255,255
111,2.991,255,255,255
112,2.047,255,255,255
113,5.432,255,255,255
114,2.362,255,255,255
115,2.440,255,255,255
116,1.259,255,255,255
117,3.227,255,255,255
118,3.385,255,255,255
119,2.834,255,255,255
120,1.889,255,255,255
121,2.598,255,255,255
122,1.574,255,255,255
123,8.895,255,255,255
124,1.181,255,255,255
125,2.125,255,255,255
126,3.778,255,255,255
127,2.362,255,255,255
128,5.825,255,255,255
129,4.330,255,255,255
