 ,Area,Mean,Min,Max
1,1.181,255,255,255
2,1.181,255,255,255
3,3.070,255,255,255
4,1.653,255,255,255
5,2.047,255,255,255
6,2.676,255,255,255
7,5.195,255,255,255
8,2.283,255,255,255
9,2.440,255,255,255
10,2.755,255,255,255
11,8.029,255,255,255
12,2.440,255,255,255
13,2.676,255,255,255
14,2.125,255,255,255
15,2.913,255,255,255
16,2.440,255,255,255
17,3.778,255,255,255
18,1.259,255,255,255
19,1.732,255,255,255
20,2.283,255,255,255
21,1.653,255,255,255
22,33.140,255,255,255
23,9.131,255,255,255
24,1.181,255,255,255
25,2.283,255,255,255
