"Setup","Replicate","slope","r2"
"Coal","1",5.22290394986214e-05,0.412676948258571
"Coal","2",0.000106985112451422,0.619940785245623
"Coal","3",-2.17842799436053e-06,0.0017333969207781
"Sand","1",0.00368338093768565,0.471743814415741
"Sand","2",0.00436635598084515,0.984995614352768
"Sand","3",0.00548869616685263,0.98968119811403
"Sandstone","1",0.0023971375663979,0.992798842961596
"Sandstone","2",0.00409874381442047,0.981486934168677
"Sandstone","3",0.00479100277974457,0.979439767530736
"Shale","1",0.0409812844477006,0.997646362369899
"Shale","2",0.0580988876657329,0.99609115490137
"Shale","3",0.0438953681517432,0.992867730608972
