RetTime,Area,Amt/Area,Amount,Filename
1.434, --, --, N2O, N20_20250122_1248PM_SHLNWO-20250121-1100AM-SMPL
1.434, 2596.06689, 1.42279e-6, 3.69367e-3, N20_20250125_325PM_SHNNN03-20250121-1100AM-SMPL
2.391,-,-,-,20202922-1248PM-20251212-1100AM-CRL
1.467,1.88761e4,1.44807e-6,2.73340e-2,N2O_20250113_1053AM_100N200AR-CALCURVE
1.469,-,-,0.00000,N2O_20250121_1100AM-SMPL
8.2388,  1.2271,  6.8625,  1.228,  2249
1.434,1045.81372,1.42279e-6,1.48798e-3,GAMA-N20-20250125-325PM-SHLNW01-20250121-1100AM-SMPL
1.434,1395.30701,1.42279e-6,1.98523e-3,N20_20250125_325PM_SHLNW03-20250121-1100AM-SMPL
1.430,4316.60693,1.42279e-6,6.14164e-3,N2O
1.434,-,-,-,N2O_20250122_1248PM_SALN02-20250121-1100AM-SMPL
2.401,1.43288,2.99094,6.0,12489P.N2060847A
1.469,-,-,-,N20_20250121_1003PM_0N20100AR-CALCURVE
1.441,4293.86963,1.42279e-6,6.10929e-3,N2O_20250125_325PM_SALNN01-20250121-1100AM-SMPL
1.434,-,-,-,N20_20250122_1248PM_SHNN02_20250121-1100AM-SMPL
1.434,-,-,-,N2_20250122_1248PM_SHLNW03-20250121-1100AM-SAMPL
1.435,3069.80005,1.42279e-6,4.36769e-3,N20_20250125_325PM_SHLNN03-20250121-1100AM-SMPL
1.438,1255.77136,1.42279e-6,1.78670e-3,N20_20250125_325PM_SALNW01-20250121-1100AM-SMPL
0.0,-,-,H2S,1248PM-202256132-1100AM-SMPL
1.434,-,-,-,N2O_20250122_1248PM_SALNW03-20250121-1100AM-SMPL
2.901,-,-,0.000,N20
1.463,4123.31445,1.448078e-6,5.97086e-3,N20_20250121_1003PM_5N2095AR-CALCURVE
1.446, -, -, -, N20_20250125_325PM_COLNW01_20250121-1100AM-SMPL
1.438,2.41329e4,1.42279e-6,3.43362e-2,N20_20250125_325PM_SANN003-20250121-1100AM-SMPL
0,2.901,-,-,12489
1.469, , , , N20
1.465,1.60886e4,1.44807e-6,2.32975e-2,N20_20250121_1003PM_25N2075AR-CALCURVE
1.434, -, -, -, N20_20250122_1248PM_SHNN01-20250121-1100AM-SMPL
1.458,2.82257e4,1.42279e-6,4.01594e-2,N20_20250125_325PM_40N2060AR-CALCURVE
1.433, 3103.29346, 1.42279e-6, 4.41535e-3, N20_20250125_325PM_SSLN01-20250121-1100AM-SMPL
1.434,-,-,-,N20_20250122_1248PM_SNNN01-20250121-1100AM-SMPL
1.446,-,-,-,N20_20250125_325PM_COLN02_20250121-1100AM-SAMPL
1.434,--,--,N2O,N20_20250122_1248PM_SHLNN02-20250121-1100AM-SMPL
1.439,6.86995e4,1.42279e-6,9.77452e-2,N20_20250125_325PM_SALNN03-20250121-1100AM-SMPL
1.432, 4393.47559, 1.42279e-6, 6.25101e-3, N2O_20250125_325PM_SSLNN02-20250121-1100AM-SMPL
1.439,1.19464e4,1.42279e-6,1.69972e-2,N20_20250125_325PM_SANN01_20250121-1100AM-SMPL
1.469,7.14194e4,1.44807e-6,1.03420e-1,N2020250121_920PM
0.00,1.2942,-,0.000,N2O
1.446, -, -, -, N20_20250125_325PM_CONN01-20250121-1100AM-SMPI
1.431,4601.88088,1.42279e-6,6.54639e-3,N20_20250125_325PM_SNNN03-20250121-1100AM-SMPL
1.434,-,-,-,N2_20250122_1248PM_SSLNW02_20250121_1100AM-SMPL
1.464,5819.33008,1.44807e-6,8.42681e-3,N2O_20250121_1003PM_10N2090AR-CALCURVE
1.434,3337.76709,1.42279e-6,4.74895e-3,N20_20250125_325PM_SHNN02_20250121-1100AM-SMPL
1.434,-,-,-,N20_20250122_1248PM_SHLNNO1-20250121-1100AM-SMPL
1.446,-,-,-,N20_20250125_325PM_COLN02-20250121-1100AM-SMPL
1.446,--,--,--,N20_20250125_325PM_COLNN01-20250121-1100AM-SAMPL
1.456,1.55344e4,1.42279e-6,2.21022e-2,N20_20250125_325PM_25N2075AR-CALCURVE
1.434,-,-,-,N20_20250122_1248PM_SHNN03-20250121-1100AM-SAMPL
1.436,3891.45166,1.42279e-6,5.53678e-3,N20_20250125_325PM_SHLNN01-20250121-1100AM-SMPL
1.436,3651.50635,1.42279e-6,5.19534e-3,N20_20250125_325PM_SHLNN02-20250121-1100AM-SMPL
