RetTime,Area,Amt/Area,Amount,Filename,ImageName
1.469,71419.4,0.00000144807,0.10342,CALIBRATION_POST3_N2020250121_920PM,IMG_20250121_220541
1.467,18876.1,0.00000144807,0.027334, N2O_20250113_1053AM_100N200AR-CALCURVE,IMG_20250121_221229
1.467,0.1887614,0.00000144807,0.027334,N2O_20250121_1003PM_40N2060AR-CALCURVE,IMG_20250121_221617
1.465,16088.6,0.00000144807,0.0232975,N20_20250121_1003PM_25N2075AR-CALCURVE,IMG_20250121_221702
1.464,5819.33008,0.00000144807,0.00842681,N2O_20250121_1003PM_10N2090AR-CALCCURVE,IMG_20250121_222058
1.463,4123.31445,0.000001448078,0.005970866,N20_20250121_1003PM_5N2095AR-CALCURVE,IMG_20250121_222435
1.469,-,-,-,N20_20250121_1003PM_0N20100AR-CALCURVE,IMG_20250121_222753
1.469,-,-,-,N20_20250121_1003PM_C1-20250121-1100AM-CTRL,IMG_20250121_223508
1.469,-,-,-,N20_20250121_1003PM_COLNNO1-20250121-1100AM-SAMPL,IMG_20250121_233006
1.469,-,-,-,N20_20250121_1003PM_SHLNNO1-20250121-1100AM-SMPL,IMG_20250122_003109
1.469,-,-,0,N2O_20250121_1003PM_SSNNNO1_20250121_1100AM-SMPL,IMG_20250122_003145
1.465,7.24E+04,1.82E-06,1.00E-01, N2O_20250122_1248PM_100N200AR-CALCURVE,IMG_20250122_130217
1.432,2.90E+04,1.38E-06,4.02E-02,N2O_20250122_1248PM_40N2060AR-CALCURVE,IMG_20250122_130918
1.43,1.72E+04,1.38E-06,2.37E-02,N20_20250122_1248PM_25N2075AR-CALCURVE,IMG_20250122_131537
1.431,5963.527,1.38E-06,8.24E-03,N2O_20250122_1248PM_10N2090AR-CALCCURVE,IMG_20250122_131839
1.43,4302.10986,1.38E-06,5.95E-03,N2O_20250122_1248PM_5N2095AR-CALCCURVE,IMG_20250122_132256
1.434,,-,,N2O_20250122_1248PM_0N20100AR-CALCCURVE,IMG_20250122_132624
2.391,-,-,-,N2O_20250122_1248PM_C1-20250121-1100AM-TRL,IMG_20250122_133031
2.901,-,-,-,N20_20250122_1248PM_COLNNO1-20250121-1100AM-SAMPL,IMG_20250122_133442
0,-,-,-,N20_20250122_1248PM_COLNNO2-20250121-1100AM-SAMPL,IMG_20250122_133815
0, , , ,N20_20250122_1248PM_COLNNO3-20250121-1100AM-SAMPL,IMG_20250122_134119
0, -,-, - ,N20_20250122_1248PM_CONNNO1-20250121-1100AM-SAMPL,IMG_20250122_134514
2.901,-,-,-,N20_20250122_1248PM_CONNNO2-20250121-1100AM-SAMPL,IMG_20250122_134842
0.2,1.34,-,-,N20_20250122_1248PM_CONNNO3-20250121-1100AM-SAMPL,IMG_20250122_135144
0,-,-,-,N20_20250122_1248PM_COLNWO1-20250121-1100AM-SAMPL,IMG_20250122_135515
-,-,-,-,N20_20250122_1248PM_COLNWO2-20250121-1100AM-SAMPL,IMG_20250122_135842
2.901,-,-,-,N20_20250122_1248PM_COLNWO3-20250121-1100AM-SAMPL,IMG_20250122_140121
2.901,-,-,-,N20_20250122_1248PM_SALNNO1-20250121-1100AM-SAMPL,IMG_20250122_145309
0,-,-,H2S,N20_20250122_1248PM_SALNNO2-20250121-1100AM-SAMPL,IMG_20250122_145855
0,-,-,-,N20_20250122_1248PM_SALNNO3-20250121-1100AM-SAMPL,IMG_20250122_150144
1.434,−,−,N2O,N20_20250122_1248PM_SANNO2-20250121-1100AM-SMPL,IMG_20250122_150509
1.434,-,-,-,N2_20250122_1248PM_SANNO3-20250121-1100AM-SAMPL,IMG_20250122_150745
1.434,-,-,-,N20_20250122_1248PM_SALNWO1-20250121-1100AM-SMPL,IMG_20250122_151119
1.434,-,-,-,N2O_20250122_1248PM_SALNWO2-20250121-1100AM-SMPL,IMG_20250122_151434
1.434, -, -, -, N2O_20250122_1248PM_SALNWO3-20250121-1100AM-SMPL,IMG_20250122_151723
1.434,-,-,-,N20_20250122_1248PM_SHLNNO1-20250121-1100AM-SAMPL,IMG_20250122_152615
2.091, , ,H2S,N20_20250122_1248PM_SHLNNO2-20250121-1100AM-SMPL,IMG_20250122_153235
1.434,--,--,N2O,N2O_20250122_1248PM_SHLNNO3-20250121-1100AM-SMPL,IMG_20250122_153546
1.434,-,-,-,N20_20250122_1248PM_SHNNO1-20250121-1100AM-SMPL,IMG_20250122_153846
1.434,-,-,-,N20_20250122_1248PM_SHNNO2_20250121-1100AM-SAMPL,IMG_20250122_154229
1.434,-,-,-,N20_20250122_1248PM_SHNNO3-20250121-1100AM-SAMPL,IMG_20250122_154506
1.434, -, -, -, N2O_20250122_1248PM_SHLNWO1-20250121-1100AM-SMPL,IMG_20250122_154826
1.434,--,--,--,N20_20250122_1248PM_SHLNWO2-20250121-1100AM-SMPL,IMG_20250122_155114
1.434,-,-,-,N2O_20250122_1248PM_SHLNWO3-20250121-1100AM-SAMPL,IMG_20250122_155610
1.434,-,-,-,N2_20250122_1248PM_SSLNNO1_20250121-1100AM-SMPL,IMG_20250122_160328
