Filename,RetTime,Area,Amount
N2O_20250113_1053AM_0N20100ARCALCURVE.D,1.333,-,0
N20_20250112_459PM_25N2075ARCALCURVE.D,1.330,1.491068e4,2.26807e-2
"N2O_20250111_551PM_DE-A50-01102025-723PM-SMPL.D",1.322,-,0
N2O_20250112_459PM_S3-01102025-SMPL.D,1.326,1.52551e4,2.32047e-2
N20_20250111_551PM_100N200ARCALCURVE.D,1.323,6.75129e4,1.02695e-1
N20_20250111_551PM_S2-01102025-SMPL.D,2.091,164.96561,2.50931e-4
N20_20250113_1119AM_DE-B10-01102025-SMPL.D,1.329,2359.50244,3.58906e-3
N20_20250111_551PM_S1-01092025-SMPL.D,1.321,1.2689904e4,1.93014e-2
N2O_20250113_1053AM_25N207SARCALCURVE.D,1.335,1.38549e4,1.98579e-2
N2_20250112_459PM_100N200ARCALCURVE.D,1.332,6.878194e4,1.04625e-1
"N20_20250112_552PM_DE-B10-01102025-723PM-SMPL.D",1.324,1245.10400,1.89394e-3
N20_20250112_459PM_S4-01102025-SMPL.D,1.326,7300.60010,1.11050e-2
N20_20250112_459PM_40N2006ARCALCURVE.D,1.331,2.65811e4,4.04327e-2
N2O_20250111_551PM_DE-C2-01102025-723PM-CTRL.D,1.322,-,0
N2O_20250111_551PM_10N2090ARCALCURVE.D,1.322,4745.37598,7.21824e-3
N2_20250111_551PM_25N2075ARCALCURVE.D,1.322,1.481084e4,2.25289e-2
N2O_20250113_1119AM_S3-01102025-SMPL.D,2.091,2.296384e4,3.49305e-2
N2_20250112_459PM_S1-01092025-SMPL.D,1.327,3.886634e4,5.7903e-2
N2_20250112_459PM_10N2090ARCALCURVE.D,1.330,5258.66357,7.99900e-3
N2_20250113_1053AM_05N2095ARCALCURVE.D,1.334,3402.66553,5.17583e-3
N20_20250113_1119AM_S2-01102025-SMPL.D,1.332,1.95912e4,2.98003e-2
N20_20250113_1119AM_C1-01102025-CTRL.D,1.333, -,  -
N2O_20250111_551PM_DE-C20-01102025-723PM-SMPL.D,1.320,199.50908,3.03475e-4
N20_20250112_459PM_05N2095ARCALCURVE.D,1.329,3714.82935,5.65066e-3
N2_20250113_1053AM_40N2060ARCALCURVE.D,1.335,2.59151e4,3.94197e-2
N2_20250111_551PM_5N2095ARCALCURVE.D,2.091,3720.53418,5.65934e-3
N20_20250111_551PM_S4-01102025-SMPL.D,1.321,163.79453,2.49149e-4
N2O_20250113_1119AM_DE-C2-01102025-CTRL.D,1.333,-,-
N2O_20250113_1119AM_S4-01102025-SMPL.D,1.331,1.0272664,1.56257e-2
N2O_20250113_1119AM_S1-01092025-SMPL.D,1.332,4.98215e4,7.57839e-2
N20_20250111_551PM_40N2060ARCALCURVE.D,1.322,2.53193e4,3.85134e-2
N2O_20250113_1053AM_100N200ARCALCURVE.D,1.335,6.58921e4,1.00229e-1
"N20_20250112_459PM_S2-01102025-5MPL.D",1.326,1.248204e4,1.89865e-2
N2_20250113_1119AM_DE-A50-01102025-SMPL.D,1.326,1677.80078,2.55212e-3
N2O_20250111_551PM_DE-B10-01102025-723PM-SMPL.D,1.320,326.24454,4.96254e-4
N20_20250113_1119AM_DE-C20-01102025-SMPL.D,1.329,1371.99329,2.08695e-3
N20_20250111_551PM_S3-01102025-SMPL.D,1.322,-,-
N20_20250112_552PM_DE-C20-01102025-723PM-SMPL.D,2.091,826.86456,1.25775e-3
N2O_20250112_552PM_DE-A50-01102025-723PM-SMPL.D,1.321,713.06140,1.08464e-3
N20_20250113_1053AM_10N2090ARCALCURVE.D,1.334,4521.58398,6.87782e-3
