Summary,,,,,,,
,,,,,,,
Sequence Details,,,,,,,
Name:,,Exp2-D15-Leaching-D6-Anions-20250715-reviewed,,,Created On:,23-Jun-21 12:28:18,
Directory:,,Gama\Mesocosm,,,Created By:,Thermo Fisher Scient,
Data Vault:,,ChromeleonLocal,,,Updated On:,22-Jul-25 11:20:43,
No. of Injections:,,51,,,Updated By:,Thermo Fisher Scient,
,,,,,,,
By Component,,Nitrite,,,,,
,,,,,,,
No. ,Injection Name,Ret.Time,Area,Height,Amount,Rel.Area ,Peak Type 
,,min,µS*min,µS,mM,%,
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Nitrite,Nitrite,Nitrite,Nitrite,Nitrite,Nitrite
1,Exp2-D15_2025015-1500H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2,Exp2-D15_2025015-1500H_STD-NO3500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3,Exp2-D15_2025015-1500H_STD-NO3200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4,Exp2-D15_2025015-1500H_STD-NO3050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
5,Exp2-D15_2025015-1500H_STD-NO3020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
6,Exp2-D15_2025015-1500H_STD-NO3005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
7,Exp2-D15_2025015-1500H_STD-NO2500,5.120,52.702,183.405,504.831,100.00, M 
8,Exp2-D15_2025015-1500H_STD-NO2200,5.027,19.025,93.254,186.591,100.00, M 
9,Exp2-D15_2025015-1500H_STD-NO2050,4.960,5.049,31.431,54.525,100.00,BMB*
10,Exp2-D15_2025015-1500H_STD-NO2020,4.940,1.534,10.317,21.310,100.00,BMB*
11,Exp2-D15_2025015-1500H_STD-NO2005,4.937,0.098,0.720,7.742,100.00,BMB*
12,Exp2-D15_2025015-1500H_STD-OAc500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
