Summary,,,,,,,
,,,,,,,
Sequence Details,,,,,,,
Name:,,Exp2-D44-Anions-20250813-reviewed,,,Created On:,23-Jun-21 12:28:18,
Directory:,,Gama\Mesocosm,,,Created By:,Thermo Fisher Scient,
Data Vault:,,ChromeleonLocal,,,Updated On:,14-Aug-25 10:40:59,
No. of Injections:,,36,,,Updated By:,Thermo Fisher Scient,
,,,,,,,
By Component,,Sulfate,,,,,
,,,,,,,
No. ,Injection Name,Ret.Time,Area,Height,Amount,Rel.Area ,Peak Type 
,,min,µS*min,µS,mM,%,
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Sulfate,Sulfate,Sulfate,Sulfate,Sulfate,Sulfate
1,Exp2-D44_20250813-1630H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2,Exp2-D44_20250813-1630H_STD-NO3005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3,Exp2-D44_20250813-1630H_STD-NO3020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4,Exp2-D44_20250813-1630H_STD-NO3050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
5,Exp2-D44_20250813-1630H_STD-NO3200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
6,Exp2-D44_20250813-1630H_STD-NO3500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
7,Exp2-D44_20250813-1630H_STD-NO2005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8,Exp2-D44_20250813-1630H_STD-NO2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
9,Exp2-D44_20250813-1630H_STD-NO2050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10,Exp2-D44_20250813-1630H_STD-NO2200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
11,Exp2-D44_20250813-1630H_STD-NO2500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
12,Exp2-D44_20250813-1630H_STD-OAC005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
13,Exp2-D44_20250813-1630H_STD-OAC020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
14,Exp2-D44_20250813-1630H_STD-OAC050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
15,Exp2-D44_20250813-1630H_STD-OAC200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
16,Exp2-D44_20250813-1630H_STD-OAC500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
17,Exp2-D44_20250813-1630H_STD-SO4050,9.770,12.524,29.240,73.683,100.00, M *
18,Exp2-D44_20250813-1630H_STD-SO4200,9.820,28.762,63.087,164.475,73.63, M 
19,Exp2-D44_20250813-1630H_STD-SO4500,10.300,90.886,130.517,511.842,100.00, M 
20,Exp2-D44_20250813-1630H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
21,Exp2-D44_20250813-1630H_SA1,9.673,13.780,30.441,80.703,10.87, M 
22,Exp2-D44_20250813-1630H_SH1,9.860,35.435,78.227,201.789,23.39, M 
23,Exp2-D44_20250813-1630H_SS1,9.717,22.273,49.486,128.192,16.87, M 
24,Exp2-D44_20250813-1630H_CO1,9.710,24.946,67.246,143.140,16.51, M 
25,Exp2-D44_20250813-1630H_CL1,9.710,12.048,26.845,71.019,10.00, M 
26,Exp2-D44_20250813-1630H_SA2,9.797,13.537,30.007,79.348,10.78, M 
27,Exp2-D44_20250813-1630H_SH2,9.727,36.928,80.502,210.136,25.84, M 
28,Exp2-D44_20250813-1630H_SS2,9.820,21.133,47.391,121.822,16.25, M 
29,Exp2-D44_20250813-1630H_CO2,9.663,27.859,61.075,159.428,19.77, M 
30,Exp2-D44_20250813-1630H_CL2,9.720,11.913,26.639,70.268,9.85, M 
31,Exp2-D44_20250813-1630H_SA3,9.753,13.196,30.199,77.440,10.52, M 
32,Exp2-D44_20250813-1630H_SH3,9.783,36.683,79.018,208.765,26.20, M 
33,Exp2-D44_20250813-1630H_SS3,9.773,21.366,47.225,123.124,16.50, M 
34,Exp2-D44_20250813-1630H_CO3,9.697,28.846,62.073,164.945,20.27, M 
35,Exp2-D44_20250813-1630H_CL3,9.720,12.053,26.802,71.051,9.82, M 
36,Exp2-D37_20250806-1630H_SH1_PT,9.780,42.125,88.083,239.195,21.71, M 
