Summary,,,,,,,
,,,,,,,
Sequence Details,,,,,,,
Name:,,Exp2-D50-Anions-20250819,,,Created On:,23-Jun-21 12:28:18,
Directory:,,Gama\Mesocosm,,,Created By:,Thermo Fisher Scient,
Data Vault:,,ChromeleonLocal,,,Updated On:,17-Sep-25 17:42:33,
No. of Injections:,,110,,,Updated By:,Thermo Fisher Scient,
,,,,,,,
By Component,,Nitrite,,,,,
,,,,,,,
No. ,Injection Name,Ret.Time,Area,Height,Amount,Rel.Area ,Peak Type 
,,min,µS*min,µS,mM,%,
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Nitrite,Nitrite,Nitrite,Nitrite,Nitrite,Nitrite
1,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2,Exp2-D50_20250916-1230H_STD-NO3005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3,Exp2-D50_20250916-1230H_STD-NO3020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4,Exp2-D50_20250916-1230H_STD-NO3050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
5,Exp2-D50_20250916-1230H_STD-NO3200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
6,Exp2-D50_20250916-1230H_STD-NO3500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
7,Exp2-D50_20250916-1230H_STD-NO2005,4.857,0.138,0.882,8.857,100.00,BMB*
8,Exp2-D50_20250916-1230H_STD-NO2020,4.867,1.465,8.508,24.893,100.00,BMB
9,Exp2-D50_20250916-1230H_STD-NO2050,4.880,3.832,21.882,53.478,100.00,BMB^
10,Exp2-D50_20250916-1230H_STD-NO2200,4.923,14.355,70.485,180.590,100.00, M ^
11,Exp2-D50_20250916-1230H_STD-NO2500,5.003,41.392,148.762,507.182,100.00, M ^
12,Exp2-D50_20250916-1230H_STD-OAC005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
13,Exp2-D50_20250916-1230H_STD-OAC020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
14,Exp2-D50_20250916-1230H_STD-OAC050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
15,Exp2-D50_20250916-1230H_STD-OAC200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
16,Exp2-D50_20250916-1230H_STD-OAC500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
17,Exp2-D50_20250916-1230H_STD-SO4050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
18,Exp2-D50_20250916-1230H_STD-SO4200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
19,Exp2-D50_20250916-1230H_STD-SO4500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
20,Exp2-D50_20250916-1230H_STD-HCOO1000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
21,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
22,Exp2-D50_20250916-1230H_SA1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
23,Exp2-D50_20250916-1230H_SH1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
24,Exp2-D50_20250916-1230H_SS1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
25,Exp2-D50_20250916-1230H_CO1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
26,Exp2-D50_20250916-1230H_CL1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
27,Exp2-D50_20250916-1230H_SA2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
28,Exp2-D50_20250916-1230H_SH2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
29,Exp2-D50_20250916-1230H_SS2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
30,Exp2-D50_20250916-1230H_CO2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
31,Exp2-D50_20250916-1230H_CL2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
32,Exp2-D50_20250916-1230H_SA3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
33,Exp2-D50_20250916-1230H_SH3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
34,Exp2-D50_20250916-1230H_SS3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
35,Exp2-D50_20250916-1230H_CO3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
36,Exp2-D50_20250916-1230H_CL3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
37,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
38,Exp2-D46_20250916-1230H_SH2_PT,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
39,Exp2-D46_20250916-1230H_SH3_PT,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
40,Exp2-D46_20250916-1230H_SS1_PT,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
41,Exp2-D46_20250916-1230H_SS2_PT,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
42,Exp2-D46_20250916-1230H_SS3_PT,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
43,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
44,PW-A100_20250916,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
45,PW-D100_20250916,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
46,PW-F100_20250916,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
47,PW-A10_20250916,4.863,988.019,1770.270,11941.724,99.12, M 
48,PW-D10_20250916,4.993,1284.911,1964.646,15527.960,99.44,BMB
49,PW-F10_20250916,5.300,2177.274,2379.311,26307.037,99.60,BMB
50,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
51,Exp2-D56_20250916-1230H_SA1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
52,Exp2-D56_20250916-1230H_SH1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
53,Exp2-D56_20250916-1230H_SS1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
54,Exp2-D56_20250916-1230H_CO1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
55,Exp2-D56_20250916-1230H_CL1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
56,Exp2-D56_20250916-1230H_SA2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
57,Exp2-D56_20250916-1230H_SH2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
58,Exp2-D56_20250916-1230H_SS2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
59,Exp2-D56_20250916-1230H_CO2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
60,Exp2-D56_20250916-1230H_CL2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
61,Exp2-D56_20250916-1230H_SA3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
62,Exp2-D56_20250916-1230H_SH3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
63,Exp2-D56_20250916-1230H_SS3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
64,Exp2-D56_20250916-1230H_CO3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
65,Exp2-D56_20250916-1230H_CL3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
66,Exp2-D65_20250916-1230H_SA1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
67,Exp2-D65_20250916-1230H_SH1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
68,Exp2-D65_20250916-1230H_SS1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
69,Exp2-D65_20250916-1230H_CO1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
70,Exp2-D65_20250916-1230H_CL1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
71,Exp2-D65_20250916-1230H_SA2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
72,Exp2-D65_20250916-1230H_SH2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
73,Exp2-D65_20250916-1230H_SS2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
74,Exp2-D65_20250916-1230H_CO2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
75,Exp2-D65_20250916-1230H_CL2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
76,Exp2-D65_20250916-1230H_SA3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
77,Exp2-D65_20250916-1230H_SH3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
78,Exp2-D65_20250916-1230H_SS3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
79,Exp2-D65_20250916-1230H_CO3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
80,Exp2-D65_20250916-1230H_CL3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
81,Exp2-D73_20250916-1230H_SA1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
82,Exp2-D73_20250916-1230H_SH1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
83,Exp2-D73_20250916-1230H_SS1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
84,Exp2-D73_20250916-1230H_CO1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
85,Exp2-D73_20250916-1230H_CL1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
86,Exp2-D73_20250916-1230H_SA2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
87,Exp2-D73_20250916-1230H_SH2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
88,Exp2-D73_20250916-1230H_SS2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
89,Exp2-D73_20250916-1230H_CO2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
90,Exp2-D73_20250916-1230H_CL2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
91,Exp2-D73_20250916-1230H_SA3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
92,Exp2-D73_20250916-1230H_SH3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
93,Exp2-D73_20250916-1230H_SS3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
94,Exp2-D73_20250916-1230H_CO3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
95,Exp2-D73_20250916-1230H_CL3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
96,Exp2-D78_20250916-1230H_SA1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
97,Exp2-D78_20250916-1230H_SH1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
98,Exp2-D78_20250916-1230H_SS1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
99,Exp2-D78_20250916-1230H_CO1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
100,Exp2-D78_20250916-1230H_CL1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
101,Exp2-D78_20250916-1230H_SA2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
102,Exp2-D78_20250916-1230H_SH2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
103,Exp2-D78_20250916-1230H_SS2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
