 ,Area,Mean,Min,Max
1,29.362,255,255,255
2,37.942,255,255,255
3,20.467,255,255,255
4,5.274,255,255,255
5,17.161,255,255,255
6,21.962,255,255,255
7,16.452,255,255,255
8,8.895,255,255,255
9,14.091,255,255,255
10,13.776,255,255,255
11,19.050,255,255,255
12,1.181,255,255,255
13,155.705,255,255,255
14,88.716,255,255,255
15,33.455,255,255,255
16,16.531,255,255,255
17,6.219,255,255,255
18,6.927,255,255,255
19,1.889,255,255,255
20,5.274,255,255,255
21,2.676,255,255,255
22,9.997,255,255,255
23,19.680,255,255,255
24,52.269,255,255,255
25,4.093,255,255,255
26,92.494,255,255,255
27,15.271,255,255,255
28,17.869,255,255,255
29,14.091,255,255,255
30,6.376,255,255,255
31,6.770,255,255,255
32,14.327,255,255,255
33,13.618,255,255,255
34,18.341,255,255,255
35,11.493,255,255,255
36,7.321,255,255,255
37,15.508,255,255,255
38,9.367,255,255,255
39,2.913,255,255,255
40,15.193,255,255,255
41,24.481,255,255,255
42,61.007,255,255,255
43,6.534,255,255,255
44,2.047,255,255,255
45,2.047,255,255,255
46,21.726,255,255,255
47,16.216,255,255,255
48,7.793,255,255,255
49,10.076,255,255,255
50,18.499,255,255,255
