 ,Area,Mean,Min,Max
1,2.598,255,255,255
2,10.312,255,255,255
3,5.746,255,255,255
4,1.653,255,255,255
5,2.991,255,255,255
6,9.604,255,255,255
7,3.621,255,255,255
8,1.181,255,255,255
9,2.440,255,255,255
10,1.417,255,255,255
11,4.802,255,255,255
12,1.417,255,255,255
13,11.650,255,255,255
14,6.376,255,255,255
15,7.872,255,255,255
16,2.440,255,255,255
17,2.755,255,255,255
18,1.181,255,255,255
19,2.125,255,255,255
20,1.417,255,255,255
21,7.085,255,255,255
22,1.732,255,255,255
23,1.181,255,255,255
24,1.653,255,255,255
25,8.187,255,255,255
26,1.181,255,255,255
27,7.951,255,255,255
28,1.968,255,255,255
29,2.283,255,255,255
30,1.102,255,255,255
31,1.181,255,255,255
32,1.889,255,255,255
33,1.181,255,255,255
34,2.598,255,255,255
35,1.653,255,255,255
36,1.181,255,255,255
37,3.857,255,255,255
38,1.181,255,255,255
39,4.723,255,255,255
40,3.700,255,255,255
