 ,Area,Mean,Min,Max
1,4.487,255,255,255
2,8.895,255,255,255
3,1.811,255,255,255
4,1.417,255,255,255
5,2.204,255,255,255
6,1.889,255,255,255
7,1.181,255,255,255
8,1.417,255,255,255
9,5.038,255,255,255
10,3.464,255,255,255
11,8.580,255,255,255
12,3.385,255,255,255
13,2.047,255,255,255
14,2.440,255,255,255
15,5.746,255,255,255
16,2.991,255,255,255
17,9.525,255,255,255
18,3.070,255,255,255
19,3.700,255,255,255
20,1.574,255,255,255
21,1.259,255,255,255
22,4.959,255,255,255
23,17.948,255,255,255
24,8.108,255,255,255
25,2.913,255,255,255
26,1.496,255,255,255
27,11.965,255,255,255
28,1.259,255,255,255
29,10.312,255,255,255
30,8.029,255,255,255
31,8.029,255,255,255
