 ,Area,Mean,Min,Max
1,7.714,255,255,255
2,3.778,255,255,255
3,3.070,255,255,255
4,1.496,255,255,255
5,11.021,255,255,255
6,10.233,255,255,255
7,9.525,255,255,255
8,5.274,255,255,255
9,1.811,255,255,255
10,12.201,255,255,255
11,2.755,255,255,255
12,2.204,255,255,255
13,5.904,255,255,255
14,1.181,255,255,255
15,4.330,255,255,255
16,1.732,255,255,255
17,12.359,255,255,255
18,3.621,255,255,255
19,2.125,255,255,255
20,2.204,255,255,255
21,4.015,255,255,255
22,2.913,255,255,255
23,1.968,255,255,255
24,2.047,255,255,255
25,1.181,255,255,255
26,3.070,255,255,255
27,2.440,255,255,255
28,1.259,255,255,255
29,1.889,255,255,255
30,1.653,255,255,255
31,2.519,255,255,255
32,5.825,255,255,255
33,2.991,255,255,255
34,1.889,255,255,255
35,1.259,255,255,255
36,4.644,255,255,255
37,1.181,255,255,255
38,3.227,255,255,255
39,4.566,255,255,255
40,2.598,255,255,255
41,2.519,255,255,255
42,2.991,255,255,255
43,5.353,255,255,255
44,1.259,255,255,255
45,1.259,255,255,255
46,10.942,255,255,255
47,1.574,255,255,255
48,2.598,255,255,255
49,1.259,255,255,255
50,4.251,255,255,255
51,2.125,255,255,255
52,10.076,255,255,255
53,3.778,255,255,255
54,4.015,255,255,255
55,2.362,255,255,255
56,2.362,255,255,255
57,3.070,255,255,255
58,2.913,255,255,255
59,4.723,255,255,255
60,3.936,255,255,255
61,1.259,255,255,255
62,2.047,255,255,255
63,1.181,255,255,255
64,5.589,255,255,255
65,1.417,255,255,255
66,11.099,255,255,255
67,4.881,255,255,255
68,1.496,255,255,255
69,2.913,255,255,255
70,1.496,255,255,255
71,6.534,255,255,255
72,4.723,255,255,255
73,1.653,255,255,255
74,4.330,255,255,255
75,5.038,255,255,255
76,1.574,255,255,255
77,6.376,255,255,255
78,3.936,255,255,255
79,3.621,255,255,255
80,1.889,255,255,255
81,2.204,255,255,255
82,1.181,255,255,255
83,2.204,255,255,255
84,2.991,255,255,255
85,1.653,255,255,255
86,2.676,255,255,255
87,1.732,255,255,255
88,4.015,255,255,255
89,2.913,255,255,255
90,1.259,255,255,255
91,3.070,255,255,255
